State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
TX,"ABERNATHY CONSULTANTS, CATHY",TENET HEALTHCARE,YEAR-END REPORT,"80,000.00",2/7/2005,2004
TX,"ABERNATHY CONSULTANTS, CATHY",TENET HEALTHCARE,YEAR-END REPORT,"80,000.00",2/14/2006,2005
TX,"ABERNATHY CONSULTANTS, CATHY",TENET HEALTHCARE,YEAR-END REPORT,,2/14/2007,2006
TX,"ABERNATHY CONSULTANTS, CATHY",TENET HEALTHCARE,YEAR-END REPORT,"80,000.00",3/3/2003,2002
TX,"ABERNATHY CONSULTANTS, CATHY",TENET HEALTHCARE,YEAR-END REPORT,"80,000.00",3/16/2004,2003
TX,"ABERNATHY CONSULTANTS, CATHY",TENET HEALTHCARE,REGISTRATION,,5/24/2002,2002
TX,"ABERNATHY CONSULTANTS, CATHY",TENET HEALTHCARE,MID-YEAR REPORT,"80,000.00",7/26/2004,2004
TX,"ABERNATHY CONSULTANTS, CATHY",TENET HEALTHCARE,MID-YEAR REPORT,"80,000.00",8/9/2005,2005
TX,"ABERNATHY CONSULTANTS, CATHY",TENET HEALTHCARE,MID-YEAR REPORT,"60,000.00",8/14/2002,2002
TX,"ABERNATHY CONSULTANTS, CATHY",TENET HEALTHCARE,MID-YEAR REPORT,,8/14/2007,2007
TX,"ABERNATHY CONSULTANTS, CATHY",TENET HEALTHCARE,MID-YEAR REPORT,"80,000.00",8/21/2003,2003
TX,"ABERNATHY CONSULTANTS, CATHY",TENET HEALTHCARE,YEAR-END TERMINATION,,11/1/2007,2007
TX,Akin Gump Strauss Hauer & Feld,CHRISTUS Health System,FOURTH QUARTER REPORT,"100,000.00",1/18/2015,2014
TX,Akin Gump Strauss Hauer & Feld,CHRISTUS Health System,FOURTH QUARTER REPORT,"100,000.00",1/18/2019,2018
TX,Akin Gump Strauss Hauer & Feld,CHRISTUS Health System,FOURTH QUARTER REPORT,"100,000.00",1/19/2017,2016
TX,Akin Gump Strauss Hauer & Feld,CHRISTUS Health System,FOURTH QUARTER REPORT,"100,000.00",1/19/2018,2017
TX,Akin Gump Strauss Hauer & Feld,CHRISTUS Health System,FOURTH QUARTER REPORT,"100,000.00",1/20/2016,2015
TX,Akin Gump Strauss Hauer & Feld,CHRISTUS Health System,FOURTH QUARTER REPORT,"110,000.00",1/20/2020,2019
TX,Akin Gump Strauss Hauer & Feld,CHRISTUS Health System,FIRST QUARTER REPORT,"100,000.00",4/18/2015,2015
TX,Akin Gump Strauss Hauer & Feld,CHRISTUS Health System,FIRST QUARTER REPORT,"100,000.00",4/19/2017,2017
TX,Akin Gump Strauss Hauer & Feld,CHRISTUS Health System,FIRST QUARTER REPORT,"100,000.00",4/20/2016,2016
TX,Akin Gump Strauss Hauer & Feld,CHRISTUS Health System,FIRST QUARTER REPORT,"100,000.00",4/20/2018,2018
TX,Akin Gump Strauss Hauer & Feld,CHRISTUS Health System,FIRST QUARTER REPORT,"110,000.00",4/22/2019,2019
TX,Akin Gump Strauss Hauer & Feld,CHRISTUS Health System,REGISTRATION,,7/8/2014,2014
TX,Akin Gump Strauss Hauer & Feld,CHRISTUS Health System,SECOND QUARTER REPORT,"100,000.00",7/18/2015,2015
TX,Akin Gump Strauss Hauer & Feld,CHRISTUS Health System,SECOND QUARTER REPORT,"40,000.00",7/19/2014,2014
TX,Akin Gump Strauss Hauer & Feld,CHRISTUS Health System,SECOND QUARTER REPORT,"100,000.00",7/19/2016,2016
TX,Akin Gump Strauss Hauer & Feld,CHRISTUS Health System,SECOND QUARTER REPORT,"100,000.00",7/20/2017,2017
TX,Akin Gump Strauss Hauer & Feld,CHRISTUS Health System,SECOND QUARTER REPORT,"100,000.00",7/20/2018,2018
TX,Akin Gump Strauss Hauer & Feld,CHRISTUS Health System,SECOND QUARTER REPORT,"110,000.00",7/22/2019,2019
TX,Akin Gump Strauss Hauer & Feld,CHRISTUS Health System,THIRD QUARTER REPORT,"100,000.00",10/18/2014,2014
TX,Akin Gump Strauss Hauer & Feld,CHRISTUS Health System,THIRD QUARTER REPORT,"100,000.00",10/19/2017,2017
TX,Akin Gump Strauss Hauer & Feld,CHRISTUS Health System,THIRD QUARTER REPORT,"100,000.00",10/20/2015,2015
TX,Akin Gump Strauss Hauer & Feld,CHRISTUS Health System,THIRD QUARTER REPORT,"100,000.00",10/20/2016,2016
TX,Akin Gump Strauss Hauer & Feld,CHRISTUS Health System,THIRD QUARTER REPORT,"110,000.00",10/20/2019,2019
TX,Akin Gump Strauss Hauer & Feld,CHRISTUS Health System,THIRD QUARTER REPORT,"100,000.00",10/22/2018,2018
TX,Akin Gump Strauss Hauer & Feld,CITY OF HOUSTON,SECOND QUARTER REPORT,"40,000.00",7/19/2014,2014
TX,Akin Gump Strauss Hauer & Feld,Legacy Heart Care,REGISTRATION,,3/13/2019,2019
TX,Akin Gump Strauss Hauer & Feld,Legacy Heart Care,FIRST QUARTER REPORT,"20,000.00",4/22/2019,2019
TX,Akin Gump Strauss Hauer & Feld,Legacy Heart Care,SECOND QUARTER REPORT,"60,000.00",7/22/2019,2019
TX,Akin Gump Strauss Hauer & Feld,Legacy Heart Care,THIRD QUARTER TERMINATION,"60,000.00",10/20/2019,2019
TX,Akin Gump Strauss Hauer & Feld,LIFECARE MANAGEMENT SERVICES,YEAR-END REPORT,"60,000.00",2/10/2007,2006
TX,Akin Gump Strauss Hauer & Feld,LIFECARE MANAGEMENT SERVICES,YEAR-END TERMINATION,,2/10/2008,2007
TX,Akin Gump Strauss Hauer & Feld,LIFECARE MANAGEMENT SERVICES,REGISTRATION,,4/17/2006,2006
TX,Akin Gump Strauss Hauer & Feld,LIFECARE MANAGEMENT SERVICES,MID-YEAR REPORT,"480,000.00",7/29/2006,2006
TX,Akin Gump Strauss Hauer & Feld,LIFECARE MANAGEMENT SERVICES,MID-YEAR AMENDMENT,"420,000.00",8/11/2006,2006
TX,Akin Gump Strauss Hauer & Feld,LIFECARE MANAGEMENT SERVICES,MID-YEAR REPORT,"180,000.00",8/11/2007,2007
TX,Akin Gump Strauss Hauer & Feld,Texas Association for Home Care & Hospice,FOURTH QUARTER REPORT,"60,000.00",1/17/2018,2017
TX,Akin Gump Strauss Hauer & Feld,Texas Association for Home Care & Hospice,FOURTH QUARTER REPORT,"80,000.00",1/18/2015,2014
TX,Akin Gump Strauss Hauer & Feld,Texas Association for Home Care & Hospice,FOURTH QUARTER REPORT,"50,000.00",1/19/2012,2011
TX,Akin Gump Strauss Hauer & Feld,Texas Association for Home Care & Hospice,FOURTH QUARTER REPORT,"80,000.00",1/19/2014,2013
TX,Akin Gump Strauss Hauer & Feld,Texas Association for Home Care & Hospice,FOURTH QUARTER REPORT,"80,000.00",1/19/2017,2016
TX,Akin Gump Strauss Hauer & Feld,Texas Association for Home Care & Hospice,FOURTH QUARTER REPORT,"80,000.00",1/20/2013,2012
TX,Akin Gump Strauss Hauer & Feld,Texas Association for Home Care & Hospice,FOURTH QUARTER REPORT,"80,000.00",1/20/2016,2015
TX,Akin Gump Strauss Hauer & Feld,Texas Association for Home Care & Hospice,FOURTH QUARTER REPORT,"60,000.00",1/20/2020,2019
TX,Akin Gump Strauss Hauer & Feld,Texas Association for Home Care & Hospice,FOURTH QUARTER REPORT,"60,000.00",1/22/2019,2018
TX,Akin Gump Strauss Hauer & Feld,Texas Association for Home Care & Hospice,FOURTH QUARTER AMENDMENT,"60,000.00",1/25/2019,2018
TX,Akin Gump Strauss Hauer & Feld,Texas Association for Home Care & Hospice,FIRST QUARTER AMENDMENT,"60,000.00",2/13/2020,2019
TX,Akin Gump Strauss Hauer & Feld,Texas Association for Home Care & Hospice,FIRST QUARTER AMENDMENT,"80,000.00",3/13/2019,2017
TX,Akin Gump Strauss Hauer & Feld,Texas Association for Home Care & Hospice,FIRST QUARTER REPORT,"60,000.00",4/17/2018,2018
TX,Akin Gump Strauss Hauer & Feld,Texas Association for Home Care & Hospice,FIRST QUARTER REPORT,"80,000.00",4/18/2015,2015
TX,Akin Gump Strauss Hauer & Feld,Texas Association for Home Care & Hospice,FIRST QUARTER REPORT,"80,000.00",4/19/2016,2016
TX,Akin Gump Strauss Hauer & Feld,Texas Association for Home Care & Hospice,FIRST QUARTER REPORT,"80,000.00",4/20/2012,2012
TX,Akin Gump Strauss Hauer & Feld,Texas Association for Home Care & Hospice,FIRST QUARTER REPORT,"80,000.00",4/20/2014,2014
TX,Akin Gump Strauss Hauer & Feld,Texas Association for Home Care & Hospice,FIRST QUARTER REPORT,"80,000.00",4/20/2017,2017
TX,Akin Gump Strauss Hauer & Feld,Texas Association for Home Care & Hospice,FIRST QUARTER REPORT,"80,000.00",4/21/2013,2013
TX,Akin Gump Strauss Hauer & Feld,Texas Association for Home Care & Hospice,FIRST QUARTER REPORT,"60,000.00",4/22/2019,2019
TX,Akin Gump Strauss Hauer & Feld,Texas Association for Home Care & Hospice,SECOND QUARTER REPORT,"80,000.00",7/19/2012,2012
TX,Akin Gump Strauss Hauer & Feld,Texas Association for Home Care & Hospice,SECOND QUARTER REPORT,"80,000.00",7/19/2014,2014
TX,Akin Gump Strauss Hauer & Feld,Texas Association for Home Care & Hospice,SECOND QUARTER REPORT,"80,000.00",7/19/2016,2016
