State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
UT,3M HEALTH INFORMATION SYSTEMS,3M HEALTH INFORMATION SYSTEMS,FOURTH QUARTER REPORT,"330,000.00",1/17/2018,2017
UT,3M HEALTH INFORMATION SYSTEMS,3M HEALTH INFORMATION SYSTEMS,FOURTH QUARTER REPORT,"170,000.00",1/21/2020,2019
UT,3M HEALTH INFORMATION SYSTEMS,3M HEALTH INFORMATION SYSTEMS,FOURTH QUARTER REPORT,"160,000.00",1/22/2019,2018
UT,3M HEALTH INFORMATION SYSTEMS,3M HEALTH INFORMATION SYSTEMS,FIRST QUARTER REPORT,"120,000.00",4/19/2018,2018
UT,3M HEALTH INFORMATION SYSTEMS,3M HEALTH INFORMATION SYSTEMS,FIRST QUARTER REPORT,"40,000.00",4/19/2019,2019
UT,3M HEALTH INFORMATION SYSTEMS,3M HEALTH INFORMATION SYSTEMS,REGISTRATION,,4/20/2017,2017
UT,3M HEALTH INFORMATION SYSTEMS,3M HEALTH INFORMATION SYSTEMS,FIRST QUARTER REPORT,"60,000.00",4/21/2017,2017
UT,3M HEALTH INFORMATION SYSTEMS,3M HEALTH INFORMATION SYSTEMS,SECOND QUARTER REPORT,"100,000.00",7/10/2019,2019
UT,3M HEALTH INFORMATION SYSTEMS,3M HEALTH INFORMATION SYSTEMS,SECOND QUARTER REPORT,"70,000.00",7/20/2017,2017
UT,3M HEALTH INFORMATION SYSTEMS,3M HEALTH INFORMATION SYSTEMS,SECOND QUARTER REPORT,"120,000.00",7/20/2018,2018
UT,3M HEALTH INFORMATION SYSTEMS,3M HEALTH INFORMATION SYSTEMS,THIRD QUARTER REPORT,"130,000.00",10/19/2017,2017
UT,3M HEALTH INFORMATION SYSTEMS,3M HEALTH INFORMATION SYSTEMS,THIRD QUARTER REPORT,"130,000.00",10/21/2019,2019
UT,3M HEALTH INFORMATION SYSTEMS,3M HEALTH INFORMATION SYSTEMS,THIRD QUARTER REPORT,"130,000.00",10/22/2018,2018
UT,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Specialty Center LLC,FOURTH QUARTER REPORT,,1/18/2014,2013
UT,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Specialty Center LLC,FOURTH QUARTER REPORT,,1/19/2011,2010
UT,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Specialty Center LLC,FOURTH QUARTER REPORT,,1/19/2012,2011
UT,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Specialty Center LLC,FOURTH QUARTER REPORT,,1/22/2013,2012
UT,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Specialty Center LLC,SECOND QUARTER AMENDMENT,,3/13/2014,2011
UT,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Specialty Center LLC,FIRST QUARTER REPORT,,4/20/2011,2011
UT,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Specialty Center LLC,FIRST QUARTER REPORT,,4/20/2012,2012
UT,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Specialty Center LLC,FIRST QUARTER AMENDMENT,,4/21/2011,2011
UT,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Specialty Center LLC,FIRST QUARTER REPORT,,4/22/2013,2013
UT,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Diabetes Specialty Center LLC,SECOND QUARTER REPORT,,7/13/2012,2012
