State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
VA,Peck Madigan Jones,NATL RIFLE ASSN,MID-YEAR TERMINATION,"$20,000.00 ",5/18/1999,1999
VA,MULTIPLAN GROUP,MULTIPLAN GROUP,MID-YEAR REPORT,"$100,000.00 ",6/2/1999,1999
VA,Society of Nuclear Medicine and Molecular Imaging,Society of Nuclear Medicine and Molecular Imaging,MID-YEAR REPORT,"$40,000.00 ",7/9/1999,1999
VA,AMERICAN ORTHOTIC & PROSTHETIC ASSOCIATION,AMERICAN ORTHOTIC & PROSTHETIC ASSOCIATION,MID-YEAR REPORT,"$100,000.00 ",8/2/1999,1999
VA,NESTLE USA,NESTLE USA,MID-YEAR REPORT,"$840,000.00 ",8/2/1999,1999
VA,"DeBrunner & Associates, Inc.",NATIONAL ALLIANCE OF SAFETY-NET HOSPITALS (FKA NATIONAL ASSOCIATION OF URBAN HOS,MID-YEAR REPORT,"$180,000.00 ",8/4/1999,1999
VA,AMERICAN SOCIETY OF CATARACT & REFRACTIVE SURGERY,AMERICAN SOCIETY OF CATARACT & REFRACTIVE SURGERY,MID-YEAR REPORT,"$230,000.00 ",8/6/1999,1999
VA,"Robert Betz Associates, LLC",AMERICAN ASSN OF EYE AND EAR HOSPITALS,MID-YEAR REPORT,"$20,000.00 ",8/6/1999,1999
VA,ACADEMY OF MANAGED CARE PHARMACY,ACADEMY OF MANAGED CARE PHARMACY,MID-YEAR REPORT,"$60,000.00 ",8/9/1999,1999
VA,National Rehabilitation Association,NATIONAL REHABILITATION ASSOCIATION,MID-YEAR REPORT,"$36,000.00 ",8/9/1999,1999
VA,Hogan Lovells US LLP,AMERICAN AMBULANCE ASSN,MID-YEAR REPORT,,8/10/1999,1999
VA,Military Officers Association of America,MILITARY OFFICERS ASSOCIATION OF AMERICA,MID-YEAR REPORT,"$180,000.00 ",8/10/1999,1999
VA,National Active and Retired Federal Employees Association,NATIONAL ACTIVE AND RETIRED FEDERAL EMPLOYEES ASSOCIATION,MID-YEAR REPORT,"$100,000.00 ",8/10/1999,1999
VA,60 Plus Association,60 PLUS ASSOCIATION,MID-YEAR REPORT,"$1,200,000.00 ",8/11/1999,1999
VA,AMERICAN CHIROPRACTIC ASSOCIATION,AMERICAN CHIROPRACTIC ASSOCIATION,MID-YEAR REPORT,"$60,000.00 ",8/11/1999,1999
VA,"Baker Healthcare Consulting, Inc.",VALLEY HEALTH/ WINCHESTER MEDICAL CENTER,MID-YEAR REPORT,,8/11/1999,1999
VA,GLOBAL DOMINION CORPORATION,FEDERATION OF RESPONSIBLE CITIZENS FORMERLY AMERICAN FEDERATION OF SENIORCITIZEN,MID-YEAR REPORT,,8/12/1999,1999
VA,National Alliance on Mental Illness,NATIONAL ALLIANCE ON MENTAL ILLNESS,MID-YEAR REPORT,"$80,000.00 ",8/12/1999,1999
VA,AMERICAN ACADEMY OF OTOLARYNGOLOGY-HEAD AND NECK SURGERY,AMERICAN ACADEMY OF OTOLARYNGOLOGY-HEAD AND NECK SURGERY,MID-YEAR REPORT,"$250,000.00 ",8/13/1999,1999
VA,American Association of Colleges of Pharmacy,AMERICAN ASSN OF COLLEGES OF PHARMACY,MID-YEAR REPORT,"$60,000.00 ",8/13/1999,1999
VA,"Capitol Associates, Inc.",AMERICAN ACADEMY OF PHYSICIAN ASSISTANTS,MID-YEAR TERMINATION,,8/13/1999,1999
VA,Crowell & Moring LLP,Helicopter Association International,MID-YEAR REPORT,"$240,000.00 ",8/13/1999,1999
VA,McDermott Will & Emery LLP,INOVA FAIRFAX HOSPITAL,MID-YEAR REPORT,,8/13/1999,1999
