State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
VT,COUNCIL ON ADMINISTRATIVE RIGHTS,COUNCIL ON ADMINISTRATIVE RIGHTS,REGISTRATION,,2/13/2001,2001
VT,"HEALTH POLICY SOURCE, INC.",National Association of Certified Professional Midwives,FOURTH QUARTER REPORT,"40,000.00",1/15/2010,2009
VT,"HEALTH POLICY SOURCE, INC.",National Association of Certified Professional Midwives,FOURTH QUARTER REPORT,"30,000.00",1/18/2011,2010
VT,"HEALTH POLICY SOURCE, INC.",National Association of Certified Professional Midwives,FOURTH QUARTER REPORT,"20,000.00",1/18/2012,2011
VT,"HEALTH POLICY SOURCE, INC.",National Association of Certified Professional Midwives,FIRST QUARTER REPORT,"20,000.00",4/18/2011,2011
VT,"HEALTH POLICY SOURCE, INC.",National Association of Certified Professional Midwives,FIRST QUARTER REPORT,"20,000.00",4/19/2010,2010
VT,"HEALTH POLICY SOURCE, INC.",National Association of Certified Professional Midwives,FIRST QUARTER REPORT,"30,000.00",4/19/2012,2012
VT,"HEALTH POLICY SOURCE, INC.",National Association of Certified Professional Midwives,THIRD QUARTER TERMINATION AMENDMENT,"20,000.00",4/22/2013,2012
VT,"HEALTH POLICY SOURCE, INC.",National Association of Certified Professional Midwives,REGISTRATION,,7/13/2009,2009
VT,"HEALTH POLICY SOURCE, INC.",National Association of Certified Professional Midwives,SECOND QUARTER REPORT,"30,000.00",7/14/2011,2011
VT,"HEALTH POLICY SOURCE, INC.",National Association of Certified Professional Midwives,SECOND QUARTER REPORT,"30,000.00",7/15/2010,2010
VT,"HEALTH POLICY SOURCE, INC.",National Association of Certified Professional Midwives,SECOND QUARTER REPORT,"10,000.00",7/17/2009,2009
VT,"HEALTH POLICY SOURCE, INC.",National Association of Certified Professional Midwives,SECOND QUARTER REPORT,"10,000.00",7/18/2012,2012
VT,"HEALTH POLICY SOURCE, INC.",National Association of Certified Professional Midwives,THIRD QUARTER REPORT,"40,000.00",10/15/2009,2009
VT,"HEALTH POLICY SOURCE, INC.",National Association of Certified Professional Midwives,THIRD QUARTER REPORT,"20,000.00",10/19/2011,2011
VT,"HEALTH POLICY SOURCE, INC.",National Association of Certified Professional Midwives,THIRD QUARTER TERMINATION,"10,000.00",10/19/2012,2012
VT,"HEALTH POLICY SOURCE, INC.",National Association of Certified Professional Midwives,THIRD QUARTER REPORT,,10/20/2010,2010
