State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
WA,Akin Gump Strauss Hauer & Feld,J K & L Inc.,FOURTH QUARTER REPORT,,1/19/2018,2017
WA,Akin Gump Strauss Hauer & Feld,J K & L Inc.,FIRST QUARTER REPORT,,4/20/2018,2018
WA,Akin Gump Strauss Hauer & Feld,J K & L Inc.,REGISTRATION,,7/19/2017,2017
WA,Akin Gump Strauss Hauer & Feld,J K & L Inc.,SECOND QUARTER REPORT,,7/19/2017,2017
WA,Akin Gump Strauss Hauer & Feld,J K & L Inc.,SECOND QUARTER REPORT,,7/20/2018,2018
WA,Akin Gump Strauss Hauer & Feld,J K & L Inc.,THIRD QUARTER REPORT,,10/20/2017,2017
WA,ALSTON & BIRD LLP,WASHINGTON2 ADVOCATES,YEAR-END REPORT,"20,000.00",2/17/2005,2004
WA,ALSTON & BIRD LLP,WASHINGTON2 ADVOCATES,REGISTRATION,,6/7/2004,2004
WA,ALSTON & BIRD LLP,WASHINGTON2 ADVOCATES,MID-YEAR (NO ACTIVITY),,8/25/2004,2004
WA,"American Cancer Society, Great West Division, Inc.",AMERICAN CANCER SOCIETY GREAT WEST DIVISION INC,YEAR-END REPORT,,2/14/2008,2007
WA,Avenue Solutions,Group Health Cooperative,FOURTH QUARTER REPORT,"20,000.00",1/20/2015,2014
WA,Avenue Solutions,Group Health Cooperative,FIRST QUARTER REPORT,"20,000.00",4/20/2015,2015
WA,Avenue Solutions,Group Health Cooperative,REGISTRATION,,10/14/2014,2014
WA,Avenue Solutions,Group Health Cooperative,THIRD QUARTER REPORT,,10/18/2014,2014
WA,Avenue Solutions,Omeros Corporation,FOURTH QUARTER REPORT,"80,000.00",1/18/2020,2019
WA,Avenue Solutions,Omeros Corporation,FOURTH QUARTER REPORT,"80,000.00",1/21/2019,2018
WA,Avenue Solutions,Omeros Corporation,REGISTRATION,,3/29/2018,2018
WA,Avenue Solutions,Omeros Corporation,FIRST QUARTER REPORT,"30,000.00",4/19/2018,2018
WA,Avenue Solutions,Omeros Corporation,FIRST QUARTER REPORT,"80,000.00",4/19/2019,2019
WA,Avenue Solutions,Omeros Corporation,SECOND QUARTER REPORT,"80,000.00",7/19/2018,2018
WA,Avenue Solutions,Omeros Corporation,SECOND QUARTER REPORT,"80,000.00",7/19/2019,2019
WA,Avenue Solutions,Omeros Corporation,THIRD QUARTER REPORT,"80,000.00",10/17/2019,2019
WA,Avenue Solutions,Omeros Corporation,THIRD QUARTER REPORT,"80,000.00",10/19/2018,2018
WA,"Baker Healthcare Consulting, Inc.",ISLAND HOSPITAL,YEAR-END TERMINATION,,2/20/2007,2006
WA,"Baker Healthcare Consulting, Inc.",ISLAND HOSPITAL,REGISTRATION,,8/16/2006,2006
