State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
WI,A.O. Smith Corporation,A O SMITH CORPORATION,YEAR-END REPORT,"40,000.00",2/14/2001,2000
WI,A.O. Smith Corporation,A O SMITH CORPORATION,YEAR-END REPORT,"40,000.00",2/20/2003,2002
WI,A.O. Smith Corporation,A O SMITH CORPORATION,YEAR-END REPORT,"40,000.00",2/20/2004,2003
WI,A.O. Smith Corporation,A O SMITH CORPORATION,YEAR-END REPORT,"60,000.00",3/1/2002,2001
WI,A.O. Smith Corporation,A O SMITH CORPORATION,MID-YEAR REPORT,"60,000.00",8/14/2001,2001
WI,A.O. Smith Corporation,A O SMITH CORPORATION,MID-YEAR REPORT,"40,000.00",8/19/2003,2003
WI,A.O. Smith Corporation,A O SMITH CORPORATION,MID-YEAR REPORT,"40,000.00",8/22/2002,2002
WI,Alcalde & Fay,MARIN COUNTY CALIFORNIA,FOURTH QUARTER REPORT,"20,000.00",1/18/2012,2011
WI,Alcalde & Fay,MARIN COUNTY CALIFORNIA,SECOND QUARTER REPORT,"20,000.00",7/18/2011,2011
WI,Alcalde & Fay,MARIN COUNTY CALIFORNIA,THIRD QUARTER REPORT,"20,000.00",10/18/2011,2011
WI,"AMERICAN FAMILY MUTUAL INSURANCE COMPANY, S.I.",AMERICAN FAMILY MUTUAL INSURANCE COMPANY S I,FOURTH QUARTER REPORT,"20,000.00",1/10/2013,2012
WI,"AMERICAN FAMILY MUTUAL INSURANCE COMPANY, S.I.",AMERICAN FAMILY MUTUAL INSURANCE COMPANY S I,FOURTH QUARTER REPORT,"50,000.00",1/12/2011,2010
WI,"AMERICAN FAMILY MUTUAL INSURANCE COMPANY, S.I.",AMERICAN FAMILY MUTUAL INSURANCE COMPANY S I,FOURTH QUARTER REPORT,"90,000.00",1/12/2016,2015
WI,"AMERICAN FAMILY MUTUAL INSURANCE COMPANY, S.I.",AMERICAN FAMILY MUTUAL INSURANCE COMPANY S I,FOURTH QUARTER REPORT,"80,000.00",1/13/2017,2016
