State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
WV,ALSTON & BIRD LLP,MYLAN LABORATORIES,FOURTH QUARTER REPORT,"50,000.00",1/20/2010,2009
WV,ALSTON & BIRD LLP,MYLAN LABORATORIES,FOURTH QUARTER REPORT,"50,000.00",1/20/2011,2010
WV,ALSTON & BIRD LLP,MYLAN LABORATORIES,FOURTH QUARTER REPORT,"50,000.00",1/21/2009,2008
WV,ALSTON & BIRD LLP,MYLAN LABORATORIES,YEAR-END REPORT,"80,000.00",2/8/2008,2007
WV,ALSTON & BIRD LLP,MYLAN LABORATORIES,YEAR-END REPORT,"80,000.00",2/13/2007,2006
WV,ALSTON & BIRD LLP,MYLAN LABORATORIES,YEAR-END AMENDMENT,"40,000.00",2/14/2006,2005
WV,ALSTON & BIRD LLP,MYLAN LABORATORIES,YEAR-END REPORT,"40,000.00",2/14/2006,2005
WV,ALSTON & BIRD LLP,MYLAN LABORATORIES,YEAR-END REPORT,"40,000.00",2/18/2005,2004
WV,ALSTON & BIRD LLP,MYLAN LABORATORIES,FIRST QUARTER REPORT,"50,000.00",4/17/2008,2008
WV,ALSTON & BIRD LLP,MYLAN LABORATORIES,FIRST QUARTER REPORT,"50,000.00",4/20/2009,2009
WV,ALSTON & BIRD LLP,MYLAN LABORATORIES,FIRST QUARTER REPORT,"50,000.00",4/20/2010,2010
WV,ALSTON & BIRD LLP,MYLAN LABORATORIES,FIRST QUARTER REPORT,"50,000.00",4/20/2011,2011
WV,ALSTON & BIRD LLP,MYLAN LABORATORIES,SECOND QUARTER REPORT,"50,000.00",7/20/2009,2009
WV,ALSTON & BIRD LLP,MYLAN LABORATORIES,SECOND QUARTER REPORT,"50,000.00",7/20/2011,2011
WV,ALSTON & BIRD LLP,MYLAN LABORATORIES,SECOND QUARTER REPORT,"50,000.00",7/21/2008,2008
WV,ALSTON & BIRD LLP,MYLAN LABORATORIES,MID-YEAR REPORT,"10,000.00",8/7/2006,2006
WV,ALSTON & BIRD LLP,MYLAN LABORATORIES,MID-YEAR REPORT,"60,000.00",8/12/2005,2005
WV,ALSTON & BIRD LLP,MYLAN LABORATORIES,REGISTRATION,,9/16/2004,2004
WV,ALSTON & BIRD LLP,MYLAN LABORATORIES,THIRD QUARTER REPORT,"50,000.00",10/20/2008,2008
WV,ALSTON & BIRD LLP,MYLAN LABORATORIES,THIRD QUARTER REPORT,"50,000.00",10/20/2009,2009
WV,ALSTON & BIRD LLP,MYLAN LABORATORIES,THIRD QUARTER REPORT,"50,000.00",10/20/2010,2010
WV,"Baker Healthcare Consulting, Inc.",Camden-Clark Memorial Hospital,FOURTH QUARTER TERMINATION,,1/18/2011,2010
WV,"Baker Healthcare Consulting, Inc.",Camden-Clark Memorial Hospital,REGISTRATION,,3/2/2010,2010
WV,"Baker Healthcare Consulting, Inc.",Camden-Clark Memorial Hospital,FIRST QUARTER REPORT,,4/19/2010,2010
WV,"Baker Healthcare Consulting, Inc.",Camden-Clark Memorial Hospital,FIRST QUARTER AMENDMENT,,6/17/2010,2010
WV,"Baker Healthcare Consulting, Inc.",Camden-Clark Memorial Hospital,SECOND QUARTER REPORT,,7/15/2010,2010
