State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
AK,BLANK ROME GOVERNMENT RELATIONS,PARENTS INC,YEAR-END REPORT,"$40,000.00",2/6/2007,2006
AK,BLANK ROME GOVERNMENT RELATIONS,PARENTS INC,YEAR-END REPORT,"$40,000.00",2/12/2005,2004
AK,BLANK ROME GOVERNMENT RELATIONS,PARENTS INC,YEAR-END TERMINATION,,2/14/2008,2007
AK,BLANK ROME GOVERNMENT RELATIONS,PARENTS INC,YEAR-END REPORT,"$40,000.00",2/27/2006,2005
AK,BLANK ROME GOVERNMENT RELATIONS,PARENTS INC,YEAR-END REPORT,"$40,000.00",3/15/2004,2003
AK,BLANK ROME GOVERNMENT RELATIONS,PARENTS INC,MID-YEAR REPORT,"$40,000.00",8/3/2004,2004
AK,BLANK ROME GOVERNMENT RELATIONS,PARENTS INC,MID-YEAR REPORT,"$20,000.00",8/7/2007,2007
AK,BLANK ROME GOVERNMENT RELATIONS,PARENTS INC,MID-YEAR REPORT,"$40,000.00",8/11/2003,2003
AK,BLANK ROME GOVERNMENT RELATIONS,PARENTS INC,REGISTRATION,,8/11/2003,2003
AK,BLANK ROME GOVERNMENT RELATIONS,PARENTS INC,MID-YEAR REPORT,"$40,000.00",8/11/2006,2006
AK,BLANK ROME GOVERNMENT RELATIONS,PARENTS INC,MID-YEAR REPORT,"$40,000.00",8/12/2005,2005
AK,BLANK ROME GOVERNMENT RELATIONS,PROVIDENCE HEALTH SYSTEM ALASKA,FOURTH QUARTER REPORT,"$20,000.00",1/16/2009,2008
AK,BLANK ROME GOVERNMENT RELATIONS,PROVIDENCE HEALTH SYSTEM ALASKA,YEAR-END REPORT,"$20,000.00",2/14/2005,2004
AK,BLANK ROME GOVERNMENT RELATIONS,PROVIDENCE HEALTH SYSTEM ALASKA,FIRST QUARTER TERMINATION,"$10,000.00",4/20/2009,2009
AK,BLANK ROME GOVERNMENT RELATIONS,PROVIDENCE HEALTH SYSTEM ALASKA,THIRD QUARTER REPORT,"$20,000.00",10/20/2008,2008
AK,BLANK ROME GOVERNMENT RELATIONS,PROVIDENCE HEALTH SYSTEM ALASKA,REGISTRATION,,12/13/2004,2004
AK,Bruce Richards & Associates,Central Peninsula Hospital,REGISTRATION,,2/12/2009,2009
AK,Capitol Hill Consulting Group,ALASKA NATIVE HEALTH BOARD,YEAR-END REPORT,"$60,000.00",2/12/2007,2006
AK,Capitol Hill Consulting Group,ALASKA NATIVE HEALTH BOARD,MID-YEAR REPORT,,8/8/2006,2006
AK,Capitol Hill Consulting Group,ALASKA NATIVE HEALTH BOARD,REGISTRATION,,8/8/2006,2006
AK,Capitol Hill Consulting Group,ALASKA NATIVE HEALTH BOARD,MID-YEAR TERMINATION,"$40,000.00",8/8/2007,2007
AK,Denny Miller Associates,CIRI - COOK INLET REGION INC,REGISTRATION,,3/30/2011,2011
AK,GARDNER CARTON & DOUGLAS,ALASKA NATIVE HEALTH BOARD,YEAR-END TERMINATION,,2/8/2007,2006
AK,GARDNER CARTON & DOUGLAS,ALASKA NATIVE HEALTH BOARD,YEAR-END REPORT,,2/27/2006,2005
AK,GARDNER CARTON & DOUGLAS,ALASKA NATIVE HEALTH BOARD,MID-YEAR REPORT,,8/23/2006,2006
AK,GARDNER CARTON & DOUGLAS,ALASKA NATIVE HEALTH BOARD,REGISTRATION,,11/30/2005,2005
AK,"Hobbs, Straus, Dean & Walker, LLP",BRISTOL BAY AREA HEALTH CORP,YEAR-END REPORT,,2/14/2006,2005
AK,"Hobbs, Straus, Dean & Walker, LLP",BRISTOL BAY AREA HEALTH CORP,YEAR-END REPORT,,2/14/2007,2006
AK,"Hobbs, Straus, Dean & Walker, LLP",BRISTOL BAY AREA HEALTH CORP,YEAR-END REPORT,,2/14/2008,2007
AK,"Hobbs, Straus, Dean & Walker, LLP",BRISTOL BAY AREA HEALTH CORP,MID-YEAR REPORT,"$20,000.00",8/11/2005,2005
