State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,FOURTH QUARTER REPORT,"$40,000.00",1/17/2013,2012
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,FOURTH QUARTER REPORT,"$40,000.00",1/18/2011,2010
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,FOURTH QUARTER REPORT,"$50,000.00",1/18/2012,2011
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,FOURTH QUARTER REPORT,"$40,000.00",1/19/2015,2014
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,FOURTH QUARTER REPORT,"$40,000.00",1/20/2014,2013
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,FOURTH QUARTER REPORT,"$40,000.00",1/20/2016,2015
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,FOURTH QUARTER REPORT,"$40,000.00",1/20/2017,2016
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,YEAR-END REPORT,"$60,000.00",2/13/2002,2001
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,YEAR-END REPORT,"$60,000.00",2/13/2003,2002
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,YEAR-END REPORT,"$60,000.00",2/14/2005,2004
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,FIRST QUARTER REPORT,"$40,000.00",4/15/2011,2011
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,FIRST QUARTER REPORT,"$60,000.00",4/17/2012,2012
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,FIRST QUARTER REPORT,"$40,000.00",4/19/2010,2010
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,FIRST QUARTER REPORT,"$40,000.00",4/19/2013,2013
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,FIRST QUARTER REPORT,"$40,000.00",4/19/2016,2016
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,FIRST QUARTER REPORT,"$40,000.00",4/20/2014,2014
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,FIRST QUARTER REPORT,"$40,000.00",4/20/2015,2015
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,FIRST QUARTER REPORT,"$40,000.00",4/20/2017,2017
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,REGISTRATION,,5/7/2001,2001
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,SECOND QUARTER REPORT,"$40,000.00",7/16/2010,2010
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,SECOND QUARTER REPORT,"$40,000.00",7/16/2012,2012
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,SECOND QUARTER REPORT,"$40,000.00",7/18/2011,2011
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,SECOND QUARTER REPORT,"$40,000.00",7/18/2013,2013
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,SECOND QUARTER REPORT,"$40,000.00",7/18/2016,2016
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,SECOND QUARTER REPORT,"$40,000.00",7/19/2015,2015
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,SECOND QUARTER REPORT,"$40,000.00",7/19/2017,2017
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,SECOND QUARTER REPORT,"$40,000.00",7/21/2014,2014
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,MID-YEAR REPORT,"$40,000.00",8/9/2002,2002
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,MID-YEAR REPORT,"$60,000.00",8/9/2004,2004
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,MID-YEAR REPORT,"$60,000.00",8/13/2001,2001
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,THIRD QUARTER REPORT,"$40,000.00",10/15/2010,2010
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,THIRD QUARTER REPORT,"$40,000.00",10/17/2011,2011
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,THIRD QUARTER REPORT,"$40,000.00",10/17/2012,2012
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,THIRD QUARTER REPORT,"$40,000.00",10/17/2016,2016
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,THIRD QUARTER REPORT,"$40,000.00",10/18/2013,2013
AR,Arent Fox LLP,UNIVERSITY OF ARKANSAS MEDICAL SCIENCES,THIRD QUARTER REPORT,"$40,000.00",10/19/2014,2014
