State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
CA,Accuray Incorporated,Accuray Incorporated,FIRST QUARTER REPORT,"$70,000.00 ",4/19/2011,2011
CA,ACHAOGEN,ACHAOGEN,FIRST QUARTER REPORT,"$45,000.00 ",5/23/2018,2018
CA,"ACS Federal Solutions, Inc.",ACS FEDERAL SOLUTIONS INC,FIRST QUARTER TERMINATION,,4/17/2008,2008
CA,"Active Policy Solutions, LLC",Active Network,FIRST QUARTER REPORT,,4/19/2012,2012
CA,Advanced Capitol Consulting,ACTIVE NETWORK,FIRST QUARTER REPORT,"$10,000.00 ",6/30/2011,2011
CA,"AFFYMETRIX, INC",AFFYMETRIX INC,FIRST QUARTER TERMINATION,"$40,000.00 ",4/18/2008,2008
CA,Akerman LLP,ALLIANCE HEALTH SERVICES (PKA - ALLIANCE IMAGING INC ),FIRST QUARTER REPORT,"$10,000.00 ",4/15/2008,2008
CA,Akerman LLP,ALLIANCE HEALTH SERVICES (PKA - ALLIANCE IMAGING INC ),FIRST QUARTER REPORT,"$20,000.00 ",4/15/2009,2009
CA,Akin Gump Strauss Hauer & Feld,Alameda Alliance for Health,FIRST QUARTER REPORT,"$30,000.00 ",4/18/2009,2009
CA,Akin Gump Strauss Hauer & Feld,Alameda Alliance for Health,FIRST QUARTER REPORT,"$50,000.00 ",4/18/2010,2010
CA,Akin Gump Strauss Hauer & Feld,Alameda Alliance for Health,FIRST QUARTER REPORT,"$40,000.00 ",4/18/2011,2011
CA,Akin Gump Strauss Hauer & Feld,Alameda Alliance for Health,FIRST QUARTER REPORT,"$40,000.00 ",4/20/2012,2012
CA,Akin Gump Strauss Hauer & Feld,Alameda Alliance for Health,FIRST QUARTER REPORT,"$50,000.00 ",4/20/2013,2013
CA,Akin Gump Strauss Hauer & Feld,Alameda Alliance for Health,FIRST QUARTER TERMINATION,"$20,000.00 ",4/20/2014,2014
CA,Akin Gump Strauss Hauer & Feld,California Association of Physician Groups,FIRST QUARTER REPORT,"$80,000.00 ",4/18/2010,2010
CA,Akin Gump Strauss Hauer & Feld,California Association of Physician Groups,FIRST QUARTER REPORT,"$100,000.00 ",4/18/2011,2011
CA,Akin Gump Strauss Hauer & Feld,California Association of Physician Groups,FIRST QUARTER REPORT,"$80,000.00 ",4/20/2012,2012
CA,Akin Gump Strauss Hauer & Feld,California Association of Physician Groups,FIRST QUARTER REPORT,"$80,000.00 ",4/20/2013,2013
CA,Akin Gump Strauss Hauer & Feld,CalOptima,FIRST QUARTER REPORT,"$10,000.00 ",4/19/2017,2017
CA,Akin Gump Strauss Hauer & Feld,CalOptima,FIRST QUARTER REPORT,"$30,000.00 ",4/20/2018,2018
CA,Akin Gump Strauss Hauer & Feld,CalOptima,FIRST QUARTER REPORT,"$30,000.00 ",4/22/2019,2019
CA,Akin Gump Strauss Hauer & Feld,COUNTY OF SOLANO,FIRST QUARTER REPORT,"$40,000.00 ",4/18/2009,2009
CA,Akin Gump Strauss Hauer & Feld,"Dthera Sciences, Inc.",FIRST QUARTER REPORT,,4/22/2019,2019
CA,Akin Gump Strauss Hauer & Feld,"Hooper, Lundy & Bookman, P.C. (On Behalf of Affiliated Organizations)",FIRST QUARTER TERMINATION,"$50,000.00 ",4/20/2018,2018
CA,Akin Gump Strauss Hauer & Feld,"ResMed, Inc.",FIRST QUARTER REPORT,"$20,000.00 ",4/19/2016,2016
CA,Akin Gump Strauss Hauer & Feld,"ResMed, Inc.",FIRST QUARTER REPORT,"$60,000.00 ",4/19/2017,2017
CA,Akin Gump Strauss Hauer & Feld,"ResMed, Inc.",FIRST QUARTER REPORT,"$80,000.00 ",4/19/2018,2018
CA,Akin Gump Strauss Hauer & Feld,"ResMed, Inc.",FIRST QUARTER REPORT,"$70,000.00 ",4/22/2019,2019
CA,Akin Gump Strauss Hauer & Feld,"Samumed, LLC",FIRST QUARTER REPORT,"$80,000.00 ",4/19/2016,2016
CA,Akin Gump Strauss Hauer & Feld,"Samumed, LLC",FIRST QUARTER REPORT,"$80,000.00 ",4/19/2017,2017
CA,Akin Gump Strauss Hauer & Feld,"Samumed, LLC",FIRST QUARTER REPORT,"$80,000.00 ",4/20/2018,2018
