State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
DE,Alcalde & Fay,ASTRAZENECA,YEAR-END REPORT,"$40,000.00 ",2/14/2000,1999
DE,Alcalde & Fay,ASTRAZENECA,YEAR-END TERMINATION,"$20,000.00 ",2/14/2001,2000
DE,Alcalde & Fay,ASTRAZENECA,MID-YEAR REPORT,"$20,000.00 ",8/14/2000,2000
DE,Alcalde & Fay,ASTRAZENECA,MID-YEAR REPORT,"$40,000.00 ",8/16/1999,1999
DE,Alcalde & Fay,ASTRAZENECA,REGISTRATION AMENDMENT,,8/16/1999,1999
DE,"ALPINE GROUP, INC.",DUPONT PHARMACEUTICAL CO,YEAR-END REPORT,"$40,000.00 ",2/5/2001,2000
DE,"ALPINE GROUP, INC.",DUPONT PHARMACEUTICAL CO,YEAR-END REPORT,"$40,000.00 ",2/9/2002,2001
DE,"ALPINE GROUP, INC.",DUPONT PHARMACEUTICAL CO,YEAR-END REPORT,"$40,000.00 ",2/15/2000,1999
DE,"ALPINE GROUP, INC.",DUPONT PHARMACEUTICAL CO,MID-YEAR TERMINATION,"$40,000.00 ",3/26/2002,2002
DE,"ALPINE GROUP, INC.",DUPONT PHARMACEUTICAL CO,MID-YEAR REPORT,"$40,000.00 ",8/3/2000,2000
DE,"ALPINE GROUP, INC.",DUPONT PHARMACEUTICAL CO,MID-YEAR REPORT,"$40,000.00 ",8/6/1999,1999
DE,"ALPINE GROUP, INC.",DUPONT PHARMACEUTICAL CO,MID-YEAR TERMINATION,,8/9/2002,2002
DE,ALSTON & BIRD LLP,Noramco,FOURTH QUARTER REPORT,"$50,000.00 ",1/21/2020,2019
DE,ALSTON & BIRD LLP,Noramco,REGISTRATION,,11/20/2019,2019
DE,"ARC STRATEGIC SOLUTIONS, INC",AMERICAN ASSN OF PHYSICIAN SPECIALISTS,REGISTRATION,,3/26/2003,2003
DE,AstraZeneca Pharmaceuticals LP,ASTRAZENECA PHARMACEUTICALS LP,FOURTH QUARTER REPORT,"$620,000.00 ",1/19/2018,2017
