State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
KS,Akin Gump Strauss Hauer & Feld,"Telecare Global, LLC",FOURTH QUARTER REPORT,"$30,000.00 ",1/20/2016,2015
KS,Akin Gump Strauss Hauer & Feld,"Telecare Global, LLC",FIRST QUARTER REPORT,"$30,000.00 ",4/19/2016,2016
KS,Akin Gump Strauss Hauer & Feld,"Telecare Global, LLC",REGISTRATION,,7/7/2015,2015
KS,Akin Gump Strauss Hauer & Feld,"Telecare Global, LLC",SECOND QUARTER REPORT,"$30,000.00 ",7/18/2015,2015
KS,Akin Gump Strauss Hauer & Feld,"Telecare Global, LLC",SECOND QUARTER TERMINATION,"$10,000.00 ",7/20/2016,2016
KS,Akin Gump Strauss Hauer & Feld,"Telecare Global, LLC",THIRD QUARTER REPORT,"$30,000.00 ",10/17/2015,2015
KS,ALSTON & BIRD LLP,KANSAS HEALTH FOUNDATION,MID-YEAR AMENDMENT (NO ACTIVITY),,1/3/2005,2004
KS,ALSTON & BIRD LLP,KANSAS HEALTH FOUNDATION,YEAR-END (NO ACTIVITY),,2/14/2006,2005
KS,ALSTON & BIRD LLP,KANSAS HEALTH FOUNDATION,YEAR-END REPORT,"$40,000.00 ",2/17/2005,2004
KS,ALSTON & BIRD LLP,KANSAS HEALTH FOUNDATION,YEAR-END REPORT,,4/13/2004,2003
KS,ALSTON & BIRD LLP,KANSAS HEALTH FOUNDATION,MID-YEAR REPORT,,8/12/2005,2005
KS,ALSTON & BIRD LLP,KANSAS HEALTH FOUNDATION,REGISTRATION,,12/10/2003,2003
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,THIRD QUARTER REPORT,"$604,953.00 ",1/2/2014,2013
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,FOURTH QUARTER REPORT,"$633,350.00 ",1/18/2013,2012
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,FOURTH QUARTER REPORT,"$1,334,107.00 ",1/18/2019,2018
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,FOURTH QUARTER REPORT,"$899,020.00 ",1/19/2010,2009
KS,American Academy of Family Physicians,AMERICAN ACADEMY OF FAMILY PHYSICIANS,FOURTH QUARTER REPORT,"$813,013.00 ",1/19/2012,2011
