State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
KY,ABELL & PRYOR,"Res-Care, Inc",REGISTRATION,,1/3/2015,2015
KY,Abell Public Policy,ResCare,THIRD QUARTER REPORT,"$10,000.00 ",1/24/2016,2015
KY,Abell Public Policy,ResCare,REGISTRATION,,6/4/2015,2015
KY,Abell Public Policy,ResCare,SECOND QUARTER REPORT,"$10,000.00 ",8/20/2015,2015
KY,Akin Gump Strauss Hauer & Feld,Houchens Industries,FOURTH QUARTER REPORT,"$40,000.00 ",1/22/2018,2017
KY,Akin Gump Strauss Hauer & Feld,Houchens Industries,FIRST QUARTER REPORT,"$40,000.00 ",4/20/2018,2018
KY,Akin Gump Strauss Hauer & Feld,Houchens Industries,SECOND QUARTER REPORT,"$40,000.00 ",7/20/2018,2018
KY,Akin Gump Strauss Hauer & Feld,University of Louisville,FOURTH QUARTER REPORT,"$50,000.00 ",1/20/2020,2019
KY,"Almost Family, Inc.","Almost Family, Inc.",FOURTH QUARTER REPORT,"$130,000.00 ",1/2/2018,2017
KY,"Almost Family, Inc.","Almost Family, Inc.",FOURTH QUARTER REPORT,"$150,000.00 ",1/6/2017,2016
KY,"Almost Family, Inc.","Almost Family, Inc.",FOURTH QUARTER REPORT,"$200,000.00 ",1/8/2015,2014
KY,"Almost Family, Inc.","Almost Family, Inc.",FOURTH QUARTER REPORT,"$200,000.00 ",1/10/2016,2015
KY,"Almost Family, Inc.","Almost Family, Inc.",REGISTRATION,,1/11/2013,2012
KY,"Almost Family, Inc.","Almost Family, Inc.",FOURTH QUARTER REPORT,"$70,000.00 ",1/18/2013,2012
KY,"Almost Family, Inc.","Almost Family, Inc.",FIRST QUARTER REPORT,"$130,000.00 ",4/7/2018,2018
KY,"Almost Family, Inc.","Almost Family, Inc.",FIRST QUARTER REPORT,"$150,000.00 ",4/11/2017,2017
KY,"Almost Family, Inc.","Almost Family, Inc.",FIRST QUARTER REPORT,"$240,000.00 ",4/12/2013,2013
KY,"Almost Family, Inc.","Almost Family, Inc.",FIRST QUARTER REPORT,"$200,000.00 ",4/12/2015,2015
KY,"Almost Family, Inc.","Almost Family, Inc.",FIRST QUARTER REPORT,"$150,000.00 ",4/15/2016,2016
KY,"Almost Family, Inc.","Almost Family, Inc.",FIRST QUARTER AMENDMENT,"$285,693.00 ",4/19/2013,2013
KY,"Almost Family, Inc.","Almost Family, Inc.",SECOND QUARTER REPORT,"$200,000.00 ",7/5/2015,2015
KY,"Almost Family, Inc.","Almost Family, Inc.",SECOND QUARTER REPORT,"$80,000.00 ",7/5/2018,2018
KY,"Almost Family, Inc.","Almost Family, Inc.",SECOND QUARTER REPORT,"$290,000.00 ",7/6/2014,2014
KY,"Almost Family, Inc.","Almost Family, Inc.",SECOND QUARTER REPORT,"$150,000.00 ",7/6/2017,2017
KY,"Almost Family, Inc.","Almost Family, Inc.",SECOND QUARTER REPORT,"$150,000.00 ",7/7/2016,2016
KY,"Almost Family, Inc.","Almost Family, Inc.",SECOND QUARTER REPORT,"$290,000.00 ",7/12/2013,2013
KY,"Almost Family, Inc.","Almost Family, Inc.",THIRD QUARTER REPORT,"$290,000.00 ",10/3/2013,2013
KY,"Almost Family, Inc.","Almost Family, Inc.",THIRD QUARTER REPORT,"$200,000.00 ",10/7/2014,2014
KY,"Almost Family, Inc.","Almost Family, Inc.",THIRD QUARTER REPORT,"$130,000.00 ",10/10/2017,2017
KY,"Almost Family, Inc.","Almost Family, Inc.",THIRD QUARTER REPORT,"$150,000.00 ",10/12/2016,2016
KY,"Almost Family, Inc.","Almost Family, Inc.",THIRD QUARTER REPORT,"$200,000.00 ",10/13/2015,2015
KY,"Almost Family, Inc.","Almost Family, Inc.",THIRD QUARTER REPORT,"$80,000.00 ",11/28/2018,2018
KY,"Almost Family, Inc.","Almost Family, Inc.",REGISTRATION AMENDMENT,,12/5/2014,2014
KY,"ALPINE GROUP, INC.",HOUCHENS INDUSTRIES INC,FOURTH QUARTER REPORT,"$50,000.00 ",1/15/2010,2009
KY,"ALPINE GROUP, INC.",HOUCHENS INDUSTRIES INC,FOURTH QUARTER REPORT,"$50,000.00 ",1/20/2015,2014
KY,"ALPINE GROUP, INC.",HOUCHENS INDUSTRIES INC,FOURTH QUARTER REPORT,"$50,000.00 ",1/21/2014,2013
KY,"ALPINE GROUP, INC.",HOUCHENS INDUSTRIES INC,FIRST QUARTER REPORT,"$50,000.00 ",4/15/2013,2013
KY,"ALPINE GROUP, INC.",HOUCHENS INDUSTRIES INC,FIRST QUARTER REPORT,"$50,000.00 ",4/16/2014,2014
KY,"ALPINE GROUP, INC.",HOUCHENS INDUSTRIES INC,FIRST QUARTER REPORT,"$50,000.00 ",4/19/2010,2010
KY,"ALPINE GROUP, INC.",HOUCHENS INDUSTRIES INC,SECOND QUARTER REPORT,"$50,000.00 ",7/16/2014,2014
KY,"ALPINE GROUP, INC.",HOUCHENS INDUSTRIES INC,SECOND QUARTER REPORT,"$50,000.00 ",7/19/2013,2013
KY,"ALPINE GROUP, INC.",HOUCHENS INDUSTRIES INC,THIRD QUARTER REPORT,"$50,000.00 ",10/13/2014,2014
KY,"ALPINE GROUP, INC.",HOUCHENS INDUSTRIES INC,THIRD QUARTER REPORT,"$50,000.00 ",10/20/2009,2009
KY,"ALPINE GROUP, INC.",HOUCHENS INDUSTRIES INC,THIRD QUARTER REPORT,"$50,000.00 ",10/21/2013,2013
KY,"ALPINE GROUP, INC.",HOUCHENS INDUSTRIES INC,FOURTH QUARTER AMENDMENT,"$50,000.00 ",11/6/2012,2009
KY,ALSTON & BIRD LLP,Almost Family,FOURTH QUARTER REPORT,"$60,000.00 ",1/16/2015,2014
KY,ALSTON & BIRD LLP,Almost Family,FOURTH QUARTER REPORT,"$60,000.00 ",1/19/2016,2015
KY,ALSTON & BIRD LLP,Almost Family,FOURTH QUARTER REPORT,"$60,000.00 ",1/20/2012,2011
KY,ALSTON & BIRD LLP,Almost Family,FOURTH QUARTER REPORT,"$60,000.00 ",1/21/2014,2013
KY,ALSTON & BIRD LLP,Almost Family,FOURTH QUARTER REPORT,"$60,000.00 ",1/22/2013,2012
KY,ALSTON & BIRD LLP,Almost Family,FIRST QUARTER REPORT,"$60,000.00 ",4/19/2015,2015
KY,ALSTON & BIRD LLP,Almost Family,FIRST QUARTER REPORT,"$60,000.00 ",4/20/2012,2012
KY,ALSTON & BIRD LLP,Almost Family,FIRST QUARTER REPORT,"$60,000.00 ",4/21/2014,2014
KY,ALSTON & BIRD LLP,Almost Family,FIRST QUARTER REPORT,"$60,000.00 ",4/22/2013,2013
KY,ALSTON & BIRD LLP,Almost Family,REGISTRATION,,5/12/2011,2011
KY,ALSTON & BIRD LLP,Almost Family,FIRST QUARTER REPORT,"$40,000.00 ",5/17/2011,2011
KY,ALSTON & BIRD LLP,Almost Family,SECOND QUARTER REPORT,"$60,000.00 ",7/10/2014,2014
KY,ALSTON & BIRD LLP,Almost Family,SECOND QUARTER REPORT,"$60,000.00 ",7/19/2015,2015
KY,ALSTON & BIRD LLP,Almost Family,SECOND QUARTER REPORT,"$60,000.00 ",7/20/2011,2011
KY,ALSTON & BIRD LLP,Almost Family,SECOND QUARTER REPORT,"$60,000.00 ",7/20/2012,2012
KY,ALSTON & BIRD LLP,Almost Family,SECOND QUARTER REPORT,"$60,000.00 ",7/22/2013,2013
KY,ALSTON & BIRD LLP,Almost Family,THIRD QUARTER REPORT,"$60,000.00 ",10/17/2014,2014
KY,ALSTON & BIRD LLP,Almost Family,THIRD QUARTER REPORT,"$60,000.00 ",10/20/2011,2011
KY,ALSTON & BIRD LLP,Almost Family,THIRD QUARTER REPORT,"$60,000.00 ",10/20/2015,2015
KY,ALSTON & BIRD LLP,Almost Family,THIRD QUARTER REPORT,"$60,000.00 ",10/21/2013,2013
KY,ALSTON & BIRD LLP,Almost Family,THIRD QUARTER REPORT,"$60,000.00 ",10/22/2012,2012
KY,ALSTON & BIRD LLP,HUMANA INC,YEAR-END REPORT,"$20,000.00 ",2/14/2006,2005
KY,ALSTON & BIRD LLP,HUMANA INC,REGISTRATION,,10/21/2005,2005
KY,ALSTON & BIRD LLP,SHPS INC,YEAR-END AMENDMENT,,2/14/2006,2005
KY,ALSTON & BIRD LLP,SHPS INC,REGISTRATION,,5/19/2004,2004
KY,ALSTON & BIRD LLP,SHPS INC,MID-YEAR REPORT,"$20,000.00 ",8/25/2004,2004
KY,ALSTON & BIRD LLP,Small Business Cigar Coalition (Informal Coalition),FOURTH QUARTER REPORT,"$60,000.00 ",1/16/2015,2014
KY,ALSTON & BIRD LLP,Small Business Cigar Coalition (Informal Coalition),FOURTH QUARTER TERMINATION,"$60,000.00 ",1/19/2016,2015
KY,ALSTON & BIRD LLP,Small Business Cigar Coalition (Informal Coalition),FOURTH QUARTER REPORT,"$60,000.00 ",1/21/2014,2013
KY,ALSTON & BIRD LLP,Small Business Cigar Coalition (Informal Coalition),FIRST QUARTER REPORT,"$60,000.00 ",4/19/2015,2015
KY,ALSTON & BIRD LLP,Small Business Cigar Coalition (Informal Coalition),FIRST QUARTER REPORT,"$60,000.00 ",4/21/2014,2014
KY,ALSTON & BIRD LLP,Small Business Cigar Coalition (Informal Coalition),SECOND QUARTER REPORT,"$60,000.00 ",7/10/2014,2014
KY,ALSTON & BIRD LLP,Small Business Cigar Coalition (Informal Coalition),SECOND QUARTER REPORT,"$60,000.00 ",7/19/2015,2015
KY,ALSTON & BIRD LLP,Small Business Cigar Coalition (Informal Coalition),THIRD QUARTER REPORT,"$60,000.00 ",10/17/2014,2014
KY,ALSTON & BIRD LLP,Small Business Cigar Coalition (Informal Coalition),THIRD QUARTER REPORT,"$60,000.00 ",10/20/2015,2015
KY,American Society of Civil Engineers,ASSOCIATION OF STATE DAM SAFETY OFFICIALS,MID-YEAR REPORT,"$40,000.00 ",8/21/2002,2002
KY,Arent Fox LLP,AMERICAN SOCIETY OF INTERVENTIONAL PAIN PHYSICIANS,YEAR-END REPORT,"$40,000.00 ",2/12/2007,2006
KY,Arent Fox LLP,AMERICAN SOCIETY OF INTERVENTIONAL PAIN PHYSICIANS,YEAR-END REPORT,"$40,000.00 ",2/13/2006,2005
KY,Arent Fox LLP,AMERICAN SOCIETY OF INTERVENTIONAL PAIN PHYSICIANS,MID-YEAR REPORT,"$40,000.00 ",7/28/2006,2006
KY,Arent Fox LLP,AMERICAN SOCIETY OF INTERVENTIONAL PAIN PHYSICIANS,MID-YEAR REPORT,"$40,000.00 ",7/31/2007,2007
KY,Arent Fox LLP,AMERICAN SOCIETY OF INTERVENTIONAL PAIN PHYSICIANS,MID-YEAR REPORT,"$40,000.00 ",8/2/2005,2005
KY,Armory Hill Advocates (formerly known as Rawlson Policy Group),Almost Family Inc.,REGISTRATION,,2/1/2017,2017
KY,Ashland LLC (previously known as Ashland Inc),Ashland LLC,FOURTH QUARTER REPORT,"$175,000.00 ",1/9/2015,2014
KY,Ashland LLC (previously known as Ashland Inc),Ashland LLC,FOURTH QUARTER REPORT,"$140,000.00 ",1/10/2013,2012
KY,Ashland LLC (previously known as Ashland Inc),Ashland LLC,FOURTH QUARTER REPORT,"$70,000.00 ",1/10/2014,2013
KY,Ashland LLC (previously known as Ashland Inc),Ashland LLC,FOURTH QUARTER REPORT,"$167,000.00 ",1/12/2018,2017
KY,Ashland LLC (previously known as Ashland Inc),Ashland LLC,FOURTH QUARTER REPORT,"$82,000.00 ",1/14/2016,2015
KY,Ashland LLC (previously known as Ashland Inc),Ashland LLC,FOURTH QUARTER REPORT,"$140,000.00 ",1/24/2017,2016
KY,Ashland LLC (previously known as Ashland Inc),Ashland LLC,YEAR-END REPORT,"$530,000.00 ",2/10/2000,1999
KY,Ashland LLC (previously known as Ashland Inc),Ashland LLC,YEAR-END REPORT,"$480,000.00 ",2/13/2001,2000
KY,Ashland LLC (previously known as Ashland Inc),Ashland LLC,YEAR-END REPORT,"$600,000.00 ",2/24/2003,2002
KY,Ashland LLC (previously known as Ashland Inc),Ashland LLC,YEAR-END REPORT,"$520,000.00 ",3/14/2002,2001
KY,Ashland LLC (previously known as Ashland Inc),Ashland LLC,FIRST QUARTER REPORT,"$127,000.00 ",4/3/2018,2018
KY,Ashland LLC (previously known as Ashland Inc),Ashland LLC,FIRST QUARTER REPORT,"$90,000.00 ",4/6/2017,2017
KY,Ashland LLC (previously known as Ashland Inc),Ashland LLC,FIRST QUARTER REPORT,"$75,000.00 ",4/8/2013,2013
KY,Ashland LLC (previously known as Ashland Inc),Ashland LLC,FIRST QUARTER REPORT,"$125,000.00 ",4/10/2015,2015
KY,Ashland LLC (previously known as Ashland Inc),Ashland LLC,FIRST QUARTER REPORT,"$70,000.00 ",4/11/2014,2014
KY,Ashland LLC (previously known as Ashland Inc),Ashland LLC,FIRST QUARTER REPORT,"$82,000.00 ",4/13/2016,2016
KY,Ashland LLC (previously known as Ashland Inc),Ashland LLC,SECOND QUARTER REPORT,"$70,000.00 ",7/3/2013,2013
