State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
MA,121 Strategies & Government Relations,Oberthur Technologies of America Corp.,FIRST QUARTER REPORT,"$20,000.00 ",4/17/2012,2012
MA,121 Strategies & Government Relations,Oberthur Technologies of America Corp.,FIRST QUARTER REPORT,"$20,000.00 ",4/19/2011,2011
MA,121 Strategies & Government Relations,Oberthur Technologies of America Corp.,FIRST QUARTER REPORT,"$10,000.00 ",4/22/2014,2014
MA,121 Strategies & Government Relations,Oberthur Technologies of America Corp.,FIRST QUARTER REPORT,"$20,000.00 ",4/23/2013,2013
MA,"ABIOMED, INC","ABIOMED, INC",FIRST QUARTER REPORT,"$90,000.00 ",4/16/2018,2018
MA,"ABIOMED, INC","ABIOMED, INC",FIRST QUARTER REPORT,"$90,000.00 ",4/20/2017,2017
MA,"ABIOMED, INC","ABIOMED, INC",FIRST QUARTER REPORT,"$120,000.00 ",5/7/2019,2019
MA,Advanced Strategies,"Covidien, Inc.",FIRST QUARTER REPORT,"$80,000.00 ",4/10/2013,2013
MA,Advanced Strategies,"Covidien, Inc.",FIRST QUARTER REPORT,"$90,000.00 ",4/14/2010,2010
MA,Advanced Strategies,"Covidien, Inc.",FIRST QUARTER REPORT,"$80,000.00 ",4/14/2011,2011
MA,Advanced Strategies,"Covidien, Inc.",FIRST QUARTER REPORT,"$60,000.00 ",4/17/2012,2012
MA,AEGERION PHARMACEUTICALS A NOVELION THERAPEUTICS COMPANY,AEGERION PHARMACEUTICALS A NOVELION THERAPEUTICS COMPANY,FIRST QUARTER REPORT,"$43,939.00 ",4/20/2017,2017
MA,"AKEBIA THERAPEUTICS, INC.","AKEBIA THERAPEUTICS, INC.",FIRST QUARTER REPORT,"$440,000.00 ",4/22/2019,2019
MA,Akin Gump Strauss Hauer & Feld,"Akebia Therapeutics, Inc.",FIRST QUARTER REPORT,"$80,000.00 ",4/22/2019,2019
MA,Akin Gump Strauss Hauer & Feld,ALCRESTA THERAPEUTICS INC,FIRST QUARTER REPORT,"$40,000.00 ",4/20/2018,2018
MA,Akin Gump Strauss Hauer & Feld,ALCRESTA THERAPEUTICS INC,FIRST QUARTER REPORT,"$40,000.00 ",4/21/2017,2017
MA,Akin Gump Strauss Hauer & Feld,"Foundation Medicine, Inc.",FIRST QUARTER REPORT,"$70,000.00 ",4/19/2016,2016
MA,Akin Gump Strauss Hauer & Feld,"Foundation Medicine, Inc.",FIRST QUARTER REPORT,"$20,000.00 ",4/19/2017,2017
MA,Akin Gump Strauss Hauer & Feld,INDOOR TANNING ASSOCIATION INC,FIRST QUARTER REPORT,"$60,000.00 ",4/19/2011,2011
MA,Akin Gump Strauss Hauer & Feld,INDOOR TANNING ASSOCIATION INC,FIRST QUARTER REPORT,"$40,000.00 ",4/20/2009,2009
MA,Akin Gump Strauss Hauer & Feld,INDOOR TANNING ASSOCIATION INC,FIRST QUARTER REPORT,"$60,000.00 ",4/20/2010,2010
MA,Akin Gump Strauss Hauer & Feld,INDOOR TANNING ASSOCIATION INC,FIRST QUARTER REPORT,"$50,000.00 ",4/20/2012,2012
MA,Akin Gump Strauss Hauer & Feld,INDOOR TANNING ASSOCIATION INC,FIRST QUARTER REPORT,"$50,000.00 ",4/21/2008,2008
MA,Akin Gump Strauss Hauer & Feld,INDOOR TANNING ASSOCIATION INC,FIRST QUARTER REPORT,,4/21/2014,2014
MA,Akin Gump Strauss Hauer & Feld,INDOOR TANNING ASSOCIATION INC,FIRST QUARTER REPORT,"$50,000.00 ",4/22/2013,2013
MA,Akin Gump Strauss Hauer & Feld,PERKINELMER INC,FIRST QUARTER REPORT,"$30,000.00 ",4/18/2010,2010
MA,Akin Gump Strauss Hauer & Feld,PERKINELMER INC,FIRST QUARTER REPORT,"$30,000.00 ",4/19/2008,2008
