State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
MD,(C) MANAGEMENT INC.,Association of Community Cancer Centers,FIRST QUARTER REPORT,,4/17/2019,2019
MD,(C) MANAGEMENT INC.,Association of Community Cancer Centers,FIRST QUARTER REPORT,"$20,000.00 ",4/20/2018,2018
MD,(C) MANAGEMENT INC.,Association of Community Cancer Centers,FIRST QUARTER REPORT,,4/25/2017,2017
MD,"3 Click Solutions, LLC",XL Health,FIRST QUARTER REPORT,"$30,000.00 ",4/16/2010,2010
MD,"3 Click Solutions, LLC",XL Health,FIRST QUARTER AMENDMENT,"$30,000.00 ",5/26/2010,2010
MD,"3 Click Solutions, LLC",XL Health,FIRST QUARTER AMENDMENT,"$20,000.00 ",6/11/2010,2010
MD,Akin Gump Strauss Hauer & Feld,American College of Gastroenterology,FIRST QUARTER REPORT,"$40,000.00 ",4/18/2015,2015
MD,Akin Gump Strauss Hauer & Feld,American College of Gastroenterology,FIRST QUARTER REPORT,"$40,000.00 ",4/19/2017,2017
MD,Akin Gump Strauss Hauer & Feld,American College of Gastroenterology,FIRST QUARTER REPORT,"$40,000.00 ",4/20/2016,2016
MD,Akin Gump Strauss Hauer & Feld,American College of Gastroenterology,FIRST QUARTER REPORT,"$40,000.00 ",4/20/2018,2018
MD,Akin Gump Strauss Hauer & Feld,American College of Gastroenterology,FIRST QUARTER REPORT,"$40,000.00 ",4/22/2019,2019
MD,Akin Gump Strauss Hauer & Feld,"Novavax, Inc.",FIRST QUARTER REPORT,"$30,000.00 ",4/18/2010,2010
MD,Akin Gump Strauss Hauer & Feld,"Novavax, Inc.",FIRST QUARTER REPORT,"$30,000.00 ",4/18/2011,2011
MD,Akin Gump Strauss Hauer & Feld,"Otsuka Pharmaceutical Development & Commercialization, Inc.",FIRST QUARTER REPORT,"$60,000.00 ",4/18/2015,2015
MD,Akin Gump Strauss Hauer & Feld,"Otsuka Pharmaceutical Development & Commercialization, Inc.",FIRST QUARTER REPORT,"$50,000.00 ",4/19/2017,2017
MD,Akin Gump Strauss Hauer & Feld,"Otsuka Pharmaceutical Development & Commercialization, Inc.",FIRST QUARTER REPORT,"$160,000.00 ",4/20/2016,2016
MD,Akin Gump Strauss Hauer & Feld,"Otsuka Pharmaceutical Development & Commercialization, Inc.",FIRST QUARTER REPORT,"$60,000.00 ",4/20/2018,2018
MD,Akin Gump Strauss Hauer & Feld,"Otsuka Pharmaceutical Development & Commercialization, Inc.",FIRST QUARTER REPORT,"$60,000.00 ",4/22/2019,2019
MD,Akin Gump Strauss Hauer & Feld,PanFlu LLC,FIRST QUARTER REPORT,"$10,000.00 ",4/18/2009,2009
MD,Akin Gump Strauss Hauer & Feld,PanFlu LLC,FIRST QUARTER REPORT,"$60,000.00 ",4/18/2010,2010
MD,Akin Gump Strauss Hauer & Feld,PanFlu LLC,FIRST QUARTER REPORT,"$30,000.00 ",4/18/2011,2011
MD,Akin Gump Strauss Hauer & Feld,PanFlu LLC,FIRST QUARTER REPORT,"$50,000.00 ",4/19/2008,2008
MD,Akin Gump Strauss Hauer & Feld,"PharmAthene, Inc.",FIRST QUARTER REPORT,"$30,000.00 ",4/18/2010,2010
MD,Akin Gump Strauss Hauer & Feld,"PharmAthene, Inc.",FIRST QUARTER REPORT,"$30,000.00 ",4/18/2011,2011
MD,Akin Gump Strauss Hauer & Feld,"PharmAthene, Inc.",FIRST QUARTER REPORT,"$30,000.00 ",4/20/2009,2009
MD,Akin Gump Strauss Hauer & Feld,"PharmAthene, Inc.",FIRST QUARTER REPORT,"$60,000.00 ",4/20/2012,2012
MD,Akin Gump Strauss Hauer & Feld,"PharmAthene, Inc.",FIRST QUARTER REPORT,"$60,000.00 ",4/20/2014,2014
MD,Akin Gump Strauss Hauer & Feld,"PharmAthene, Inc.",FIRST QUARTER REPORT,"$60,000.00 ",4/21/2013,2013
MD,Akin Gump Strauss Hauer & Feld,United States Pharmacopeial Convention,FIRST QUARTER REPORT,"$80,000.00 ",4/19/2017,2017
MD,Akin Gump Strauss Hauer & Feld,United States Pharmacopeial Convention,FIRST QUARTER REPORT,"$80,000.00 ",4/19/2018,2018
MD,Akin Gump Strauss Hauer & Feld,United States Pharmacopeial Convention,FIRST QUARTER REPORT,"$70,000.00 ",4/22/2019,2019
MD,Alpine Group Partners Llc,Emergent BioSolutions,FIRST QUARTER REPORT,"$30,000.00 ",4/13/2018,2018
MD,Alpine Group Partners Llc,Emergent BioSolutions,FIRST QUARTER REPORT,"$30,000.00 ",4/22/2019,2019
MD,Alpine Group Partners Llc,Emergent BioSolutions,FIRST QUARTER REPORT,"$30,000.00 ",5/26/2017,2017
MD,ALSTON & BIRD LLP,Cervivor,FIRST QUARTER REPORT,,4/19/2018,2018
MD,ALSTON & BIRD LLP,Erickson Retirement Communities,FIRST QUARTER REPORT,"$20,000.00 ",4/19/2015,2015
MD,ALSTON & BIRD LLP,Erickson Retirement Communities,FIRST QUARTER REPORT,"$20,000.00 ",4/19/2018,2018
MD,ALSTON & BIRD LLP,Erickson Retirement Communities,FIRST QUARTER REPORT,"$20,000.00 ",4/20/2009,2009
MD,ALSTON & BIRD LLP,Erickson Retirement Communities,FIRST QUARTER REPORT,"$20,000.00 ",4/20/2010,2010
MD,ALSTON & BIRD LLP,Erickson Retirement Communities,FIRST QUARTER REPORT,"$20,000.00 ",4/20/2011,2011
MD,ALSTON & BIRD LLP,Erickson Retirement Communities,FIRST QUARTER REPORT,"$20,000.00 ",4/20/2012,2012
MD,ALSTON & BIRD LLP,Erickson Retirement Communities,FIRST QUARTER REPORT,"$20,000.00 ",4/20/2016,2016
MD,ALSTON & BIRD LLP,Erickson Retirement Communities,FIRST QUARTER REPORT,"$20,000.00 ",4/20/2017,2017
MD,ALSTON & BIRD LLP,Erickson Retirement Communities,FIRST QUARTER REPORT,"$20,000.00 ",4/21/2014,2014
MD,ALSTON & BIRD LLP,Erickson Retirement Communities,FIRST QUARTER REPORT,"$20,000.00 ",4/22/2013,2013
MD,ALSTON & BIRD LLP,Erickson Retirement Communities,FIRST QUARTER REPORT,"$20,000.00 ",4/22/2019,2019
MD,ALSTON & BIRD LLP,QLARANT (FORMERLY QUALITY HEALTH STRATEGIES INC ),FIRST QUARTER REPORT,"$50,000.00 ",4/19/2018,2018
MD,ALSTON & BIRD LLP,QLARANT (FORMERLY QUALITY HEALTH STRATEGIES INC ),FIRST QUARTER REPORT,,4/20/2017,2017
MD,AMALGAMATED TRANSIT UNION,AMALGAMATED TRANSIT UNION,FIRST QUARTER REPORT,"$70,000.00 ",4/19/2010,2010
MD,AMALGAMATED TRANSIT UNION,AMALGAMATED TRANSIT UNION,FIRST QUARTER REPORT,"$50,000.00 ",4/20/2018,2018
MD,AMALGAMATED TRANSIT UNION,AMALGAMATED TRANSIT UNION,FIRST QUARTER REPORT,"$50,000.00 ",4/22/2019,2019
MD,AMERICAN ASSOCIATION FOR GERIATRIC PSYCHIATRY,AMERICAN ASSOCIATION FOR GERIATRIC PSYCHIATRY,FIRST QUARTER REPORT,"$5,000.00 ",4/4/2014,2014
MD,AMERICAN ASSOCIATION FOR GERIATRIC PSYCHIATRY,AMERICAN ASSOCIATION FOR GERIATRIC PSYCHIATRY,FIRST QUARTER REPORT,"$10,000.00 ",4/11/2012,2012
MD,AMERICAN ASSOCIATION FOR GERIATRIC PSYCHIATRY,AMERICAN ASSOCIATION FOR GERIATRIC PSYCHIATRY,FIRST QUARTER REPORT,"$10,000.00 ",4/11/2013,2013
MD,AMERICAN ASSOCIATION FOR GERIATRIC PSYCHIATRY,AMERICAN ASSOCIATION FOR GERIATRIC PSYCHIATRY,FIRST QUARTER REPORT,"$10,000.00 ",4/12/2011,2011
MD,AMERICAN ASSOCIATION FOR GERIATRIC PSYCHIATRY,AMERICAN ASSOCIATION FOR GERIATRIC PSYCHIATRY,FIRST QUARTER REPORT,"$40,000.00 ",4/16/2008,2008
MD,AMERICAN ASSOCIATION FOR GERIATRIC PSYCHIATRY,AMERICAN ASSOCIATION FOR GERIATRIC PSYCHIATRY,FIRST QUARTER REPORT,"$40,000.00 ",4/16/2009,2009
MD,AMERICAN ASSOCIATION FOR GERIATRIC PSYCHIATRY,AMERICAN ASSOCIATION FOR GERIATRIC PSYCHIATRY,FIRST QUARTER REPORT,"$40,000.00 ",4/16/2010,2010
MD,AMERICAN ASSOCIATION FOR GERIATRIC PSYCHIATRY,AMERICAN ASSOCIATION FOR GERIATRIC PSYCHIATRY,FIRST QUARTER AMENDMENT,"$5,000.00 ",5/6/2014,2014
MD,AMERICAN ASSOCIATION OF BLOOD BANKS (AABB),AMERICAN ASSOCIATION OF BLOOD BANKS (AABB),FIRST QUARTER REPORT,"$23,000.00 ",4/13/2011,2011
MD,AMERICAN ASSOCIATION OF BLOOD BANKS (AABB),AMERICAN ASSOCIATION OF BLOOD BANKS (AABB),FIRST QUARTER REPORT,,4/14/2014,2014
MD,AMERICAN ASSOCIATION OF BLOOD BANKS (AABB),AMERICAN ASSOCIATION OF BLOOD BANKS (AABB),FIRST QUARTER REPORT,,4/14/2017,2017
MD,AMERICAN ASSOCIATION OF BLOOD BANKS (AABB),AMERICAN ASSOCIATION OF BLOOD BANKS (AABB),FIRST QUARTER REPORT,,4/16/2018,2018
MD,AMERICAN ASSOCIATION OF BLOOD BANKS (AABB),AMERICAN ASSOCIATION OF BLOOD BANKS (AABB),FIRST QUARTER REPORT,"$15,900.00 ",4/19/2012,2012
MD,AMERICAN ASSOCIATION OF BLOOD BANKS (AABB),AMERICAN ASSOCIATION OF BLOOD BANKS (AABB),FIRST QUARTER REPORT,"$30,000.00 ",4/20/2009,2009
MD,AMERICAN ASSOCIATION OF BLOOD BANKS (AABB),AMERICAN ASSOCIATION OF BLOOD BANKS (AABB),FIRST QUARTER REPORT,"$28,000.00 ",4/20/2010,2010
MD,AMERICAN ASSOCIATION OF BLOOD BANKS (AABB),AMERICAN ASSOCIATION OF BLOOD BANKS (AABB),FIRST QUARTER REPORT,,4/20/2016,2016
MD,AMERICAN ASSOCIATION OF BLOOD BANKS (AABB),AMERICAN ASSOCIATION OF BLOOD BANKS (AABB),FIRST QUARTER REPORT,"$30,000.00 ",4/23/2008,2008
MD,AMERICAN ASSOCIATION OF BLOOD BANKS (AABB),AMERICAN ASSOCIATION OF BLOOD BANKS (AABB),FIRST QUARTER REPORT,,4/24/2015,2015
MD,AMERICAN ASSOCIATION OF BLOOD BANKS (AABB),AMERICAN ASSOCIATION OF BLOOD BANKS (AABB),FIRST QUARTER REPORT,,5/22/2013,2013
MD,AMERICAN ASSOCIATION OF COLLEGES OF OSTEOPATHIC MEDICINE,AMERICAN ASSOCIATION OF COLLEGES OF OSTEOPATHIC MEDICINE,FIRST QUARTER AMENDMENT,"$90,000.00 ",1/22/2019,2018
MD,AMERICAN ASSOCIATION OF COLLEGES OF OSTEOPATHIC MEDICINE,AMERICAN ASSOCIATION OF COLLEGES OF OSTEOPATHIC MEDICINE,FIRST QUARTER REPORT,"$50,000.00 ",4/18/2008,2008
MD,AMERICAN ASSOCIATION OF COLLEGES OF OSTEOPATHIC MEDICINE,AMERICAN ASSOCIATION OF COLLEGES OF OSTEOPATHIC MEDICINE,FIRST QUARTER REPORT,"$70,000.00 ",4/20/2009,2009
MD,AMERICAN ASSOCIATION OF COLLEGES OF OSTEOPATHIC MEDICINE,AMERICAN ASSOCIATION OF COLLEGES OF OSTEOPATHIC MEDICINE,FIRST QUARTER REPORT,"$110,000.00 ",4/20/2010,2010
MD,AMERICAN ASSOCIATION OF COLLEGES OF OSTEOPATHIC MEDICINE,AMERICAN ASSOCIATION OF COLLEGES OF OSTEOPATHIC MEDICINE,FIRST QUARTER REPORT,"$80,000.00 ",4/20/2015,2015
MD,AMERICAN ASSOCIATION OF COLLEGES OF OSTEOPATHIC MEDICINE,AMERICAN ASSOCIATION OF COLLEGES OF OSTEOPATHIC MEDICINE,FIRST QUARTER REPORT,"$160,000.00 ",4/20/2016,2016
MD,AMERICAN ASSOCIATION OF COLLEGES OF OSTEOPATHIC MEDICINE,AMERICAN ASSOCIATION OF COLLEGES OF OSTEOPATHIC MEDICINE,FIRST QUARTER REPORT,"$90,000.00 ",4/20/2017,2017
MD,AMERICAN ASSOCIATION OF COLLEGES OF OSTEOPATHIC MEDICINE,AMERICAN ASSOCIATION OF COLLEGES OF OSTEOPATHIC MEDICINE,FIRST QUARTER REPORT,"$130,000.00 ",4/20/2018,2018
MD,AMERICAN ASSOCIATION OF COLLEGES OF OSTEOPATHIC MEDICINE,AMERICAN ASSOCIATION OF COLLEGES OF OSTEOPATHIC MEDICINE,FIRST QUARTER REPORT,"$60,000.00 ",4/21/2014,2014
MD,AMERICAN ASSOCIATION OF COLLEGES OF OSTEOPATHIC MEDICINE,AMERICAN ASSOCIATION OF COLLEGES OF OSTEOPATHIC MEDICINE,FIRST QUARTER REPORT,"$40,000.00 ",4/22/2013,2013
MD,AMERICAN ASSOCIATION OF COLLEGES OF OSTEOPATHIC MEDICINE,AMERICAN ASSOCIATION OF COLLEGES OF OSTEOPATHIC MEDICINE,FIRST QUARTER REPORT,"$80,000.00 ",4/22/2019,2019
MD,AMERICAN ASSOCIATION OF COLLEGES OF OSTEOPATHIC MEDICINE,AMERICAN ASSOCIATION OF COLLEGES OF OSTEOPATHIC MEDICINE,FIRST QUARTER AMENDMENT,"$60,000.00 ",5/15/2014,2014
MD,AMERICAN ASSOCIATION OF COLLEGES OF OSTEOPATHIC MEDICINE,AMERICAN ASSOCIATION OF COLLEGES OF OSTEOPATHIC MEDICINE,FIRST QUARTER AMENDMENT,"$220,000.00 ",7/20/2018,2018
MD,AMERICAN ASSOCIATION OF COLLEGES OF OSTEOPATHIC MEDICINE,AMERICAN ASSOCIATION OF COLLEGES OF OSTEOPATHIC MEDICINE,FIRST QUARTER AMENDMENT,"$50,000.00 ",8/29/2008,2008
MD,AMERICAN COLLEGE OF GASTROENTEROLOGY,AMERICAN COLLEGE OF GASTROENTEROLOGY,FIRST QUARTER REPORT,"$90,000.00 ",4/16/2008,2008
MD,AMERICAN COLLEGE OF NURSE-MIDWIVES,AMERICAN COLLEGE OF NURSE-MIDWIVES,FIRST QUARTER AMENDMENT,"$20,000.00 ",4/11/2016,2016
MD,AMERICAN COLLEGE OF NURSE-MIDWIVES,AMERICAN COLLEGE OF NURSE-MIDWIVES,FIRST QUARTER REPORT,"$20,000.00 ",4/20/2017,2017
MD,AMERICAN COLLEGE OF NURSE-MIDWIVES,AMERICAN COLLEGE OF NURSE-MIDWIVES,FIRST QUARTER REPORT,,5/29/2019,2019
MD,AMERICAN COLLEGE OF NURSE-MIDWIVES,AMERICAN COLLEGE OF NURSE-MIDWIVES,FIRST QUARTER REPORT,,5/30/2018,2018
