State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
MN,"3 Click Solutions, LLC",Amplifon hearing health care,REGISTRATION,,2/21/2018,2018
MN,"3 Click Solutions, LLC",Amplifon hearing health care,FIRST QUARTER AMENDMENT,,6/20/2019,2018
MN,"3 Click Solutions, LLC",Amplifon hearing health care,FIRST QUARTER AMENDMENT,,6/20/2019,2018
MN,"3 Click Solutions, LLC",Amplifon hearing health care,SECOND QUARTER REPORT,,6/20/2019,2018
MN,"3 Click Solutions, LLC",Amplifon hearing health care,THIRD QUARTER REPORT,,6/20/2019,2018
MN,"3 Click Solutions, LLC",Amplifon hearing health care,THIRD QUARTER REPORT,"$10,000.00 ",12/10/2019,2019
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,REGISTRATION,,1/11/2013,2012
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,FOURTH QUARTER REPORT,,1/17/2019,2018
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,FOURTH QUARTER REPORT,,1/18/2018,2017
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,FOURTH QUARTER REPORT,,1/18/2020,2019
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,FOURTH QUARTER REPORT,,1/19/2017,2016
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,FIRST QUARTER REPORT,,5/5/2017,2017
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,FIRST QUARTER REPORT,,5/23/2019,2019
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,FIRST QUARTER REPORT,,5/30/2018,2018
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,SECOND QUARTER REPORT,,7/18/2014,2014
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,SECOND QUARTER REPORT,"$10,000.00 ",7/18/2017,2017
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,SECOND QUARTER REPORT,"$10,000.00 ",7/19/2016,2016
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,SECOND QUARTER REPORT,,7/20/2015,2015
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,SECOND QUARTER REPORT,"$10,000.00 ",7/20/2018,2018
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,SECOND QUARTER REPORT,"$8,000.00 ",9/3/2019,2019
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,THIRD QUARTER REPORT,"$20,000.00 ",10/16/2015,2015
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,THIRD QUARTER REPORT,,10/17/2016,2016
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,THIRD QUARTER REPORT,,10/19/2017,2017
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,THIRD QUARTER REPORT,,10/19/2018,2018
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,THIRD QUARTER REPORT,"$20,000.00 ",10/20/2014,2014
MN,AANEM American Association of Neuromuscular and Electrodiagnostic Medicine,AANEM AMERICAN ASSOCIATION OF NEUROMUSCULAR AND ELECTRODIAGNOSTIC MEDICINE,THIRD QUARTER REPORT,,12/6/2019,2019
MN,"Abell, Henry & Associates, LLC",Express Scripts Incorporated,MID-YEAR REPORT,"$20,000.00 ",7/13/2007,2007
MN,Akin Gump Strauss Hauer & Feld,"Amplifon (USA), Inc.",FOURTH QUARTER TERMINATION,"$20,000.00 ",1/18/2018,2017
MN,Akin Gump Strauss Hauer & Feld,"Amplifon (USA), Inc.",REGISTRATION,,3/1/2017,2017
MN,Akin Gump Strauss Hauer & Feld,"Amplifon (USA), Inc.",FIRST QUARTER REPORT,"$50,000.00 ",4/19/2017,2017
MN,Akin Gump Strauss Hauer & Feld,"Amplifon (USA), Inc.",SECOND QUARTER REPORT,"$80,000.00 ",7/20/2017,2017
MN,Akin Gump Strauss Hauer & Feld,"Amplifon (USA), Inc.",THIRD QUARTER REPORT,"$50,000.00 ",10/16/2017,2017
MN,Akin Gump Strauss Hauer & Feld,NCS PEARSON INC,MID-YEAR REPORT,"$120,000.00 ",8/14/2002,2002
MN,"ALLETE, INC",ALLETE INC,YEAR-END REPORT,"$80,000.00 ",1/9/2001,2000
MN,"ALLETE, INC",ALLETE INC,YEAR-END REPORT,"$80,000.00 ",1/9/2003,2002
MN,"ALLETE, INC",ALLETE INC,YEAR-END REPORT,"$70,000.00 ",1/12/2004,2004
MN,"ALLETE, INC",ALLETE INC,YEAR-END REPORT,"$75,000.00 ",1/28/2004,2003
MN,"ALLETE, INC",ALLETE INC,YEAR-END REPORT,"$80,000.00 ",2/7/2000,1999
MN,"ALLETE, INC",ALLETE INC,YEAR-END REPORT,"$80,000.00 ",3/14/2002,2001
MN,"ALLETE, INC",ALLETE INC,MID-YEAR REPORT,"$80,000.00 ",7/10/2003,2003
MN,"ALLETE, INC",ALLETE INC,MID-YEAR REPORT,"$85,000.00 ",7/12/2000,2000
MN,"ALLETE, INC",ALLETE INC,MID-YEAR REPORT,"$70,000.00 ",7/21/2005,2005
MN,"ALLETE, INC",ALLETE INC,MID-YEAR REPORT,"$80,000.00 ",7/24/2002,2002
MN,"ALLETE, INC",ALLETE INC,MID-YEAR REPORT,"$80,000.00 ",7/27/2001,2001
MN,"ALLETE, INC",ALLETE INC,MID-YEAR REPORT,"$75,000.00 ",8/3/2004,2004
MN,ALSTON & BIRD LLP,Fairview Health Services,FOURTH QUARTER REPORT,"$80,000.00 ",1/19/2016,2015
MN,ALSTON & BIRD LLP,Fairview Health Services,FOURTH QUARTER REPORT,"$80,000.00 ",1/21/2020,2019
MN,ALSTON & BIRD LLP,Fairview Health Services,FOURTH QUARTER REPORT,"$80,000.00 ",1/22/2018,2017
MN,ALSTON & BIRD LLP,Fairview Health Services,FOURTH QUARTER REPORT,"$80,000.00 ",1/22/2019,2018
MN,ALSTON & BIRD LLP,Fairview Health Services,FOURTH QUARTER REPORT,"$80,000.00 ",1/23/2017,2016
MN,ALSTON & BIRD LLP,Fairview Health Services,FIRST QUARTER REPORT,"$80,000.00 ",4/19/2018,2018
MN,ALSTON & BIRD LLP,Fairview Health Services,FIRST QUARTER REPORT,"$80,000.00 ",4/20/2016,2016
MN,ALSTON & BIRD LLP,Fairview Health Services,FIRST QUARTER REPORT,"$80,000.00 ",4/20/2017,2017
MN,ALSTON & BIRD LLP,Fairview Health Services,FIRST QUARTER REPORT,"$80,000.00 ",4/22/2019,2019
MN,ALSTON & BIRD LLP,Fairview Health Services,SECOND QUARTER REPORT,"$80,000.00 ",7/19/2015,2015
MN,ALSTON & BIRD LLP,Fairview Health Services,SECOND QUARTER REPORT,"$80,000.00 ",7/20/2016,2016
MN,ALSTON & BIRD LLP,Fairview Health Services,SECOND QUARTER REPORT,"$80,000.00 ",7/20/2017,2017
MN,ALSTON & BIRD LLP,Fairview Health Services,SECOND QUARTER REPORT,"$80,000.00 ",7/20/2018,2018
MN,ALSTON & BIRD LLP,Fairview Health Services,SECOND QUARTER REPORT,"$80,000.00 ",7/22/2019,2019
MN,ALSTON & BIRD LLP,Fairview Health Services,REGISTRATION,,9/8/2011,2011
MN,ALSTON & BIRD LLP,Fairview Health Services,THIRD QUARTER REPORT,"$80,000.00 ",10/19/2017,2017
MN,ALSTON & BIRD LLP,Fairview Health Services,THIRD QUARTER REPORT,"$80,000.00 ",10/19/2018,2018
MN,ALSTON & BIRD LLP,Fairview Health Services,THIRD QUARTER REPORT,"$80,000.00 ",10/20/2015,2015
MN,ALSTON & BIRD LLP,Fairview Health Services,THIRD QUARTER REPORT,"$80,000.00 ",10/20/2016,2016
MN,ALSTON & BIRD LLP,Fairview Health Services,THIRD QUARTER REPORT,"$80,000.00 ",10/21/2019,2019
MN,ALSTON & BIRD LLP,Lemhi Ventures,FOURTH QUARTER REPORT,"$40,000.00 ",1/20/2010,2009
MN,ALSTON & BIRD LLP,Lemhi Ventures,FIRST QUARTER REPORT,"$70,000.00 ",4/20/2010,2010
MN,ALSTON & BIRD LLP,Lemhi Ventures,SECOND QUARTER TERMINATION,"$20,000.00 ",7/20/2010,2010
MN,ALSTON & BIRD LLP,Lemhi Ventures,REGISTRATION,,10/19/2009,2009
MN,ALSTON & BIRD LLP,Lemhi Ventures,THIRD QUARTER REPORT,"$40,000.00 ",10/20/2009,2009
MN,ALSTON & BIRD LLP,Medica,FOURTH QUARTER REPORT,"$80,000.00 ",1/16/2015,2014
MN,ALSTON & BIRD LLP,Medica,FOURTH QUARTER REPORT,"$80,000.00 ",1/19/2016,2015
MN,ALSTON & BIRD LLP,Medica,FOURTH QUARTER REPORT,"$80,000.00 ",1/20/2012,2011
MN,ALSTON & BIRD LLP,Medica,FOURTH QUARTER REPORT,"$80,000.00 ",1/21/2014,2013
MN,ALSTON & BIRD LLP,Medica,FOURTH QUARTER REPORT,"$80,000.00 ",1/21/2020,2019
MN,ALSTON & BIRD LLP,Medica,FOURTH QUARTER REPORT,"$80,000.00 ",1/22/2013,2012
MN,ALSTON & BIRD LLP,Medica,FOURTH QUARTER REPORT,"$80,000.00 ",1/22/2018,2017
MN,ALSTON & BIRD LLP,Medica,FOURTH QUARTER REPORT,"$80,000.00 ",1/22/2019,2018
MN,ALSTON & BIRD LLP,Medica,FOURTH QUARTER REPORT,"$80,000.00 ",1/23/2017,2016
MN,ALSTON & BIRD LLP,Medica,FIRST QUARTER REPORT,"$80,000.00 ",4/19/2015,2015
MN,ALSTON & BIRD LLP,Medica,FIRST QUARTER REPORT,"$80,000.00 ",4/19/2018,2018
MN,ALSTON & BIRD LLP,Medica,FIRST QUARTER REPORT,"$80,000.00 ",4/20/2012,2012
MN,ALSTON & BIRD LLP,Medica,FIRST QUARTER REPORT,"$80,000.00 ",4/20/2016,2016
MN,ALSTON & BIRD LLP,Medica,FIRST QUARTER REPORT,"$80,000.00 ",4/20/2017,2017
MN,ALSTON & BIRD LLP,Medica,FIRST QUARTER REPORT,"$80,000.00 ",4/21/2014,2014
MN,ALSTON & BIRD LLP,Medica,FIRST QUARTER REPORT,"$80,000.00 ",4/22/2013,2013
MN,ALSTON & BIRD LLP,Medica,FIRST QUARTER REPORT,"$80,000.00 ",4/22/2019,2019
MN,ALSTON & BIRD LLP,Medica,SECOND QUARTER REPORT,"$80,000.00 ",7/10/2014,2014
MN,ALSTON & BIRD LLP,Medica,SECOND QUARTER REPORT,"$80,000.00 ",7/19/2015,2015
MN,ALSTON & BIRD LLP,Medica,SECOND QUARTER REPORT,"$80,000.00 ",7/20/2012,2012
MN,ALSTON & BIRD LLP,Medica,SECOND QUARTER REPORT,"$80,000.00 ",7/20/2016,2016
MN,ALSTON & BIRD LLP,Medica,SECOND QUARTER REPORT,"$80,000.00 ",7/20/2017,2017
MN,ALSTON & BIRD LLP,Medica,SECOND QUARTER REPORT,"$80,000.00 ",7/20/2018,2018
MN,ALSTON & BIRD LLP,Medica,SECOND QUARTER REPORT,"$80,000.00 ",7/22/2013,2013
MN,ALSTON & BIRD LLP,Medica,SECOND QUARTER REPORT,"$80,000.00 ",7/22/2019,2019
MN,ALSTON & BIRD LLP,Medica,REGISTRATION,,7/26/2011,2011
MN,ALSTON & BIRD LLP,Medica,FIRST QUARTER REPORT,,7/28/2011,2011
MN,ALSTON & BIRD LLP,Medica,SECOND QUARTER REPORT,"$80,000.00 ",7/28/2011,2011
MN,ALSTON & BIRD LLP,Medica,THIRD QUARTER REPORT,"$80,000.00 ",10/17/2014,2014
MN,ALSTON & BIRD LLP,Medica,THIRD QUARTER REPORT,"$80,000.00 ",10/19/2017,2017
MN,ALSTON & BIRD LLP,Medica,THIRD QUARTER REPORT,"$80,000.00 ",10/19/2018,2018
MN,ALSTON & BIRD LLP,Medica,THIRD QUARTER REPORT,"$80,000.00 ",10/20/2011,2011
MN,ALSTON & BIRD LLP,Medica,THIRD QUARTER REPORT,"$80,000.00 ",10/20/2015,2015
