State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
MS,"Adams and Reese, LLP",Rush Health Systems,FOURTH QUARTER REPORT,"$20,000.00 ",1/16/2020,2019
MS,"Adams and Reese, LLP",Rush Health Systems,REGISTRATION,,8/8/2019,2019
MS,"Adams and Reese, LLP",Rush Health Systems,FIRST QUARTER REPORT,"$20,000.00 ",8/14/2019,2019
MS,"Adams and Reese, LLP",Rush Health Systems,SECOND QUARTER REPORT,"$20,000.00 ",8/14/2019,2019
MS,"Adams and Reese, LLP",Rush Health Systems,THIRD QUARTER REPORT,"$20,000.00 ",10/18/2019,2019
MS,"ALPINE GROUP, INC.",Medical Grade Innovations,FOURTH QUARTER REPORT,"$30,000.00 ",1/19/2016,2015
MS,"ALPINE GROUP, INC.",Medical Grade Innovations,REGISTRATION,,3/25/2015,2015
MS,"ALPINE GROUP, INC.",Medical Grade Innovations,FIRST QUARTER REPORT,"$20,000.00 ",4/15/2015,2015
MS,"ALPINE GROUP, INC.",Medical Grade Innovations,SECOND QUARTER REPORT,"$30,000.00 ",7/15/2015,2015
MS,"ALPINE GROUP, INC.",Medical Grade Innovations,THIRD QUARTER REPORT,"$30,000.00 ",10/13/2015,2015
MS,"Amelia Consulting Group, LLC",Eaves Law Firm,REGISTRATION,,5/14/2010,2010
MS,"American Defense International, Inc.",DELTA REGIONAL MEDICAL CENTER,REGISTRATION,,1/16/2003,2003
MS,"AUX Initiatives, LLC",Healthcare Institute of Jackson,REGISTRATION,,11/8/2010,2010
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,Advanced Infusion Services,FIRST QUARTER REPORT,"$30,000.00 ",4/20/2016,2016
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,FEDERAL JUDGES ASSN,YEAR-END REPORT,"$80,000.00 ",2/23/2006,2005
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,FORREST GENERAL HOSPITAL,FOURTH QUARTER REPORT,"$20,000.00 ",1/20/2009,2008
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,FORREST GENERAL HOSPITAL,FOURTH QUARTER REPORT,"$20,000.00 ",1/20/2010,2009
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,FORREST GENERAL HOSPITAL,YEAR-END REPORT,"$60,000.00 ",2/14/2007,2006
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,FORREST GENERAL HOSPITAL,YEAR-END REPORT,"$40,000.00 ",2/14/2008,2007
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,FORREST GENERAL HOSPITAL,FIRST QUARTER REPORT,"$20,000.00 ",4/16/2009,2009
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,FORREST GENERAL HOSPITAL,FIRST QUARTER REPORT,"$20,000.00 ",4/20/2010,2010
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,FORREST GENERAL HOSPITAL,FIRST QUARTER REPORT,"$30,000.00 ",4/21/2008,2008
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,FORREST GENERAL HOSPITAL,REGISTRATION,,5/10/2006,2006
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,FORREST GENERAL HOSPITAL,SECOND QUARTER REPORT,"$20,000.00 ",7/17/2008,2008
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,FORREST GENERAL HOSPITAL,SECOND QUARTER REPORT,"$20,000.00 ",7/17/2009,2009
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,FORREST GENERAL HOSPITAL,MID-YEAR REPORT,"$60,000.00 ",8/14/2007,2007
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,FORREST GENERAL HOSPITAL,MID-YEAR REPORT,"$60,000.00 ",9/27/2006,2006
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,FORREST GENERAL HOSPITAL,REGISTRATION AMENDMENT,,9/27/2006,2006
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,FORREST GENERAL HOSPITAL,THIRD QUARTER REPORT,"$20,000.00 ",10/15/2008,2008
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,FORREST GENERAL HOSPITAL,THIRD QUARTER AMENDMENT,"$30,000.00 ",10/20/2008,2008
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,FORREST GENERAL HOSPITAL,THIRD QUARTER REPORT,"$30,000.00 ",10/20/2008,2008
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,FORREST GENERAL HOSPITAL,THIRD QUARTER REPORT,"$20,000.00 ",10/20/2009,2009
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,FRESENIUS MEDICAL CARE (D/B/A BIO-MEDICAL APPLICATIONS OF MS INC ),REGISTRATION,,5/10/2006,2006
MS,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,FRESENIUS MEDICAL CARE (D/B/A BIO-MEDICAL APPLICATIONS OF MS INC ),MID-YEAR REPORT,"$40,000.00 ",8/14/2007,2007
