State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
MT,"CAPITOL COALITIONS, INC",DEACONESS BILLINGS CLINIC,YEAR-END REPORT,"$20,000.00 ",2/7/2001,2000
MT,"CAPITOL COALITIONS, INC",DEACONESS BILLINGS CLINIC,REGISTRATION,,3/13/2000,2000
MT,"CAPITOL COALITIONS, INC",DEACONESS BILLINGS CLINIC,MID-YEAR REPORT,"$20,000.00 ",8/11/2000,2000
MT,Consulting With Communities Inc.,Yellowstone Boys and Girls Ranch,REGISTRATION,,4/16/2013,2013
MT,Consulting With Communities Inc.,Yellowstone Boys and Girls Ranch,REGISTRATION AMENDMENT,,5/29/2014,2014
MT,"Cornerstone Government Affairs, Inc.",TERADACT,FOURTH QUARTER REPORT,"$20,000.00 ",1/15/2010,2009
MT,"Cornerstone Government Affairs, Inc.",TERADACT,REGISTRATION,,7/10/2009,2009
MT,"Cornerstone Government Affairs, Inc.",TERADACT,SECOND QUARTER REPORT,"$30,000.00 ",7/20/2009,2009
MT,"Cornerstone Government Affairs, Inc.",TERADACT,THIRD QUARTER REPORT,"$20,000.00 ",10/19/2009,2009
MT,Denny Miller Associates,Kalispell Regional Healthcare,THIRD QUARTER REPORT,,1/20/2014,2013
MT,Denny Miller Associates,Kalispell Regional Healthcare,THIRD QUARTER REPORT,,1/20/2014,2013
MT,Denny Miller Associates,Kalispell Regional Healthcare,REGISTRATION,,10/2/2013,2013
MT,DRINKER BIDDLE & REATH LLP,Benefis Health System,REGISTRATION,,6/2/2015,2015
MT,DRINKER BIDDLE & REATH LLP,Benefis Health System,SECOND QUARTER REPORT,,7/16/2015,2015
MT,"Gage, LLC",SMITH RIVER ENVIRONMENTAL INC,REGISTRATION,,8/21/2003,2003
MT,"Gage, LLC",UNIV OF MONTANA,YEAR-END REPORT,"$35,000.00 ",3/15/2006,2005
MT,"Gage, LLC",UNIV OF MONTANA,REGISTRATION,,7/11/2005,2005
MT,"Gage, LLC",UNIV OF MONTANA,MID-YEAR REPORT,"$31,250.00 ",8/10/2005,2005
MT,Gallatin Public Affairs,ST PETERS HOSPITAL,YEAR-END REPORT,"$20,000.00 ",2/9/2005,2004
MT,Gallatin Public Affairs,ST PETERS HOSPITAL,YEAR-END REPORT,"$10,000.00 ",3/3/2006,2005
MT,Gallatin Public Affairs,ST PETERS HOSPITAL,REGISTRATION,,3/29/2004,2004
MT,Gallatin Public Affairs,ST PETERS HOSPITAL,MID-YEAR REPORT,"$20,000.00 ",8/12/2004,2004
MT,Gallatin Public Affairs,ST PETERS HOSPITAL,MID-YEAR REPORT,"$10,000.00 ",8/14/2006,2006
MT,Gallatin Public Affairs,ST PETERS HOSPITAL,MID-YEAR REPORT,"$20,000.00 ",8/15/2005,2005
MT,"Greenberg Traurig, LLP",DRY PRAIRIE RURAL WATER AUTHORITY,MID-YEAR REPORT,"$100,000.00 ",8/14/2002,2002
MT,Greystone Group LLC,NATIONAL COUNCIL OF SOCIAL SECURITY MANAGEMENT ASSOCIATIONS,FOURTH QUARTER AMENDMENT,"$23,190.00 ",1/18/2010,2009
MT,Greystone Group LLC,NATIONAL COUNCIL OF SOCIAL SECURITY MANAGEMENT ASSOCIATIONS,FIRST QUARTER REPORT,"$23,655.00 ",4/16/2010,2010
MT,Greystone Group LLC,NATIONAL COUNCIL OF SOCIAL SECURITY MANAGEMENT ASSOCIATIONS,SECOND QUARTER REPORT,"$23,655.00 ",7/16/2010,2010
MT,J M Burkman & Associates,BACTERIN INC,YEAR-END TERMINATION,"$20,000.00 ",1/26/2008,2007
MT,J M Burkman & Associates,BACTERIN INC,REGISTRATION,,2/20/2007,2007
MT,J M Burkman & Associates,BACTERIN INC,MID-YEAR REPORT,"$40,000.00 ",7/17/2007,2007
MT,JWF Consulting LLC,MHA,FOURTH QUARTER REPORT,"$6,500.00 ",1/7/2017,2016
MT,JWF Consulting LLC,MHA,FOURTH QUARTER REPORT,"$7,500.00 ",1/9/2020,2019
MT,JWF Consulting LLC,MHA,FOURTH QUARTER REPORT,"$6,500.00 ",1/19/2016,2015
MT,JWF Consulting LLC,MHA,FOURTH QUARTER REPORT,"$7,000.00 ",1/20/2018,2017
MT,JWF Consulting LLC,MHA,FOURTH QUARTER REPORT,"$10,000.00 ",1/21/2015,2014
MT,JWF Consulting LLC,MHA,FIRST QUARTER REPORT,"$7,500.00 ",4/9/2019,2019
MT,JWF Consulting LLC,MHA,FIRST QUARTER REPORT,"$6,900.00 ",4/17/2017,2017
MT,JWF Consulting LLC,MHA,FIRST QUARTER REPORT,"$6,500.00 ",4/18/2016,2016
MT,JWF Consulting LLC,MHA,FIRST QUARTER REPORT,"$7,500.00 ",4/20/2015,2015
MT,JWF Consulting LLC,MHA,FIRST QUARTER REPORT,"$7,500.00 ",4/20/2018,2018
MT,JWF Consulting LLC,MHA,SECOND QUARTER REPORT,"$6,500.00 ",7/10/2016,2016
MT,JWF Consulting LLC,MHA,SECOND QUARTER REPORT,"$7,500.00 ",7/16/2018,2018
MT,JWF Consulting LLC,MHA,SECOND QUARTER REPORT,"$7,500.00 ",7/18/2019,2019
MT,JWF Consulting LLC,MHA,SECOND QUARTER REPORT,"$6,900.00 ",7/19/2017,2017
MT,JWF Consulting LLC,MHA,SECOND QUARTER REPORT,"$5,500.00 ",7/20/2015,2015
MT,JWF Consulting LLC,MHA,REGISTRATION,,8/15/2014,2014
MT,JWF Consulting LLC,MHA,THIRD QUARTER REPORT,"$6,500.00 ",10/14/2015,2015
MT,JWF Consulting LLC,MHA,THIRD QUARTER REPORT,"$7,500.00 ",10/14/2019,2019
MT,JWF Consulting LLC,MHA,THIRD QUARTER REPORT,"$7,500.00 ",10/19/2018,2018
MT,JWF Consulting LLC,MHA,THIRD QUARTER REPORT,"$10,000.00 ",10/20/2014,2014
MT,JWF Consulting LLC,MHA,THIRD QUARTER REPORT,"$7,000.00 ",10/20/2017,2017
MT,JWF Consulting LLC,MHA,THIRD QUARTER REPORT,"$6,500.00 ",10/22/2016,2016
MT,Keller McIntyre & Associates,Mineral Community Hospital,REGISTRATION,,4/23/2013,2013
MT,Keller McIntyre & Associates,Mineral Community Hospital,FIRST QUARTER REPORT,"$20,000.00 ",4/28/2013,2013
MT,Lobbyit.com,A.W.A.R.E. Inc.,REGISTRATION,,5/1/2014,2014
MT,Lobbyit.com,A.W.A.R.E. Inc.,REGISTRATION AMENDMENT,,7/15/2015,2014
MT,McGuireWoods Consulting (A Subsidiary of McGuireWoods LLP),Kalispell Regional Healthcare,REGISTRATION,,4/21/2014,2014
MT,McGuireWoods Consulting (A Subsidiary of McGuireWoods LLP),Kalispell Regional Healthcare,FIRST QUARTER REPORT,,4/22/2014,2014
MT,McGuireWoods Consulting (A Subsidiary of McGuireWoods LLP),Kalispell Regional Healthcare,SECOND QUARTER REPORT,"$15,000.00 ",7/21/2014,2014
MT,McGuireWoods Consulting (A Subsidiary of McGuireWoods LLP),Kalispell Regional Healthcare,THIRD QUARTER REPORT,"$15,000.00 ",10/20/2014,2014
MT,"Mercury Public Affairs, LLC",Kalispell Regional Healthcare,FOURTH QUARTER REPORT,"$30,000.00 ",1/14/2016,2015
MT,"Mercury Public Affairs, LLC",Kalispell Regional Healthcare,FOURTH QUARTER REPORT,"$30,000.00 ",1/18/2018,2017
MT,"Mercury Public Affairs, LLC",Kalispell Regional Healthcare,FOURTH QUARTER REPORT,"$30,000.00 ",1/19/2017,2016
MT,"Mercury Public Affairs, LLC",Kalispell Regional Healthcare,REGISTRATION,,4/17/2015,2015
MT,"Mercury Public Affairs, LLC",Kalispell Regional Healthcare,FIRST QUARTER REPORT,"$30,000.00 ",4/17/2017,2017
MT,"Mercury Public Affairs, LLC",Kalispell Regional Healthcare,FIRST QUARTER REPORT,"$30,000.00 ",4/18/2016,2016
MT,"Mercury Public Affairs, LLC",Kalispell Regional Healthcare,FIRST QUARTER REPORT,"$30,000.00 ",4/18/2018,2018
MT,"Mercury Public Affairs, LLC",Kalispell Regional Healthcare,FIRST QUARTER REPORT,"$30,000.00 ",4/20/2015,2015
MT,"Mercury Public Affairs, LLC",Kalispell Regional Healthcare,FOURTH QUARTER AMENDMENT,"$30,000.00 ",7/11/2018,2015
MT,"Mercury Public Affairs, LLC",Kalispell Regional Healthcare,SECOND QUARTER REPORT,"$30,000.00 ",7/15/2015,2015
MT,"Mercury Public Affairs, LLC",Kalispell Regional Healthcare,SECOND QUARTER TERMINATION,"$20,000.00 ",7/18/2018,2018
MT,"Mercury Public Affairs, LLC",Kalispell Regional Healthcare,SECOND QUARTER REPORT,"$30,000.00 ",7/19/2017,2017
MT,"Mercury Public Affairs, LLC",Kalispell Regional Healthcare,SECOND QUARTER REPORT,"$30,000.00 ",7/20/2016,2016
MT,"Mercury Public Affairs, LLC",Kalispell Regional Healthcare,FIRST QUARTER AMENDMENT,"$30,000.00 ",7/20/2018,2016
MT,"Mercury Public Affairs, LLC",Kalispell Regional Healthcare,THIRD QUARTER REPORT,"$30,000.00 ",10/13/2016,2016
MT,"Mercury Public Affairs, LLC",Kalispell Regional Healthcare,THIRD QUARTER REPORT,"$30,000.00 ",10/13/2017,2017
MT,"Mercury Public Affairs, LLC",Kalispell Regional Healthcare,THIRD QUARTER REPORT,"$30,000.00 ",10/16/2015,2015
MT,MHA,MHA,FOURTH QUARTER REPORT,"$30,000.00 ",1/15/2010,2009
MT,MHA,MHA,FOURTH QUARTER AMENDMENT,"$10,500.00 ",1/15/2013,2012
MT,MHA,MHA,THIRD QUARTER REPORT,"$10,500.00 ",1/15/2013,2012
MT,MHA,MHA,FOURTH QUARTER REPORT,"$25,000.00 ",1/20/2014,2013
MT,MHA,MHA,FOURTH QUARTER REPORT,"$21,000.00 ",1/23/2011,2010
MT,MHA,MHA,FOURTH QUARTER REPORT,,1/23/2012,2011
MT,MHA,MHA,FIRST QUARTER REPORT,,4/15/2013,2013
MT,MHA,MHA,FIRST QUARTER REPORT,,4/17/2012,2012
MT,MHA,MHA,FIRST QUARTER REPORT,"$15,000.00 ",4/19/2010,2010
MT,MHA,MHA,FIRST QUARTER REPORT,,4/19/2011,2011
MT,MHA,MHA,FIRST QUARTER REPORT,"$7,000.00 ",4/22/2014,2014
MT,MHA,MHA,SECOND QUARTER REPORT,,7/9/2010,2010
MT,MHA,MHA,SECOND QUARTER REPORT,,7/10/2012,2012
MT,MHA,MHA,SECOND QUARTER REPORT,,7/10/2013,2013
MT,MHA,MHA,SECOND QUARTER REPORT,,7/20/2011,2011
MT,MHA,MHA,SECOND QUARTER TERMINATION,"$20,000.00 ",7/21/2014,2014
MT,MHA,MHA,THIRD QUARTER REPORT,,10/14/2010,2010
MT,MHA,MHA,REGISTRATION,,10/18/2009,2009
MT,MHA,MHA,THIRD QUARTER REPORT,"$10,000.00 ",10/18/2013,2013
MT,MHA,MHA,THIRD QUARTER REPORT,"$9,200.00 ",10/20/2009,2009
MT,MHA,MHA,THIRD QUARTER REPORT,"$11,194.00 ",10/20/2011,2011
MT,MHA,MHA,THIRD QUARTER REPORT,,10/25/2012,2012
MT,Mr. Marshall Brachman,KALISPELL REGIONAL MEDICAL CENTER,FOURTH QUARTER TERMINATION,"$15,000.00 ",1/1/2009,2008
MT,Mr. Marshall Brachman,KALISPELL REGIONAL MEDICAL CENTER,YEAR-END REPORT,"$60,000.00 ",1/21/2008,2007
MT,Mr. Marshall Brachman,KALISPELL REGIONAL MEDICAL CENTER,YEAR-END REPORT,"$30,000.00 ",1/23/2007,2006
MT,Mr. Marshall Brachman,KALISPELL REGIONAL MEDICAL CENTER,YEAR-END REPORT,"$10,000.00 ",1/25/2005,2004
MT,Mr. Marshall Brachman,KALISPELL REGIONAL MEDICAL CENTER,YEAR-END REPORT,"$30,000.00 ",2/7/2006,2005
MT,Mr. Marshall Brachman,KALISPELL REGIONAL MEDICAL CENTER,FIRST QUARTER REPORT,"$15,000.00 ",4/7/2008,2008
MT,Mr. Marshall Brachman,KALISPELL REGIONAL MEDICAL CENTER,SECOND QUARTER REPORT,"$15,000.00 ",7/5/2008,2008
MT,Mr. Marshall Brachman,KALISPELL REGIONAL MEDICAL CENTER,MID-YEAR REPORT,"$30,000.00 ",7/15/2007,2007
MT,Mr. Marshall Brachman,KALISPELL REGIONAL MEDICAL CENTER,MID-YEAR REPORT,"$30,000.00 ",7/25/2005,2005
MT,Mr. Marshall Brachman,KALISPELL REGIONAL MEDICAL CENTER,MID-YEAR REPORT,"$30,000.00 ",8/7/2006,2006
MT,Mr. Marshall Brachman,KALISPELL REGIONAL MEDICAL CENTER,THIRD QUARTER REPORT,"$15,000.00 ",10/1/2008,2008
MT,Mr. Marshall Brachman,KALISPELL REGIONAL MEDICAL CENTER,REGISTRATION,,11/29/2004,2004
MT,Ms. Tami Wahl,"OSRX, Inc.",REGISTRATION,,10/9/2019,2019
MT,Ms. Tami Wahl,"OSRX, Inc.",THIRD QUARTER TERMINATION,,10/10/2019,2019
MT,Rocky Mountain Capitol Consulting,COMMUNITY MEDICAL CENTER,REGISTRATION,,2/10/2005,2004
MT,Rocky Mountain Capitol Consulting,COMMUNITY MEDICAL CENTER,MID-YEAR REPORT,"$50,000.00 ",8/12/2005,2005
MT,Rocky Mountain Capitol Consulting,"Opportunity Resources, Inc",REGISTRATION,,1/16/2015,2014
MT,Rocky Mountain Capitol Consulting,"Opportunity Resources, Inc",FIRST QUARTER TERMINATION,"$6,000.00 ",6/2/2015,2015
MT,Russ Reid Company,Kalispell Regional Medical Center,REGISTRATION,,1/18/2011,2010
MT,Russ Reid Company,Kalispell Regional Medical Center,THIRD QUARTER REPORT,,1/24/2012,2011
MT,Russ Reid Company,Kalispell Regional Medical Center,FOURTH QUARTER REPORT,,2/3/2011,2010
MT,Russ Reid Company,Kalispell Regional Medical Center,FOURTH QUARTER REPORT,"$12,000.00 ",4/25/2012,2011
MT,Russ Reid Company,Kalispell Regional Medical Center,FIRST QUARTER REPORT,,5/19/2011,2011
MT,Russ Reid Company,Kalispell Regional Medical Center,SECOND QUARTER REPORT,"$98,000.00 ",8/10/2011,2011
MT,Russ Reid Company,Kalispell Regional Medical Center,FIRST QUARTER REPORT,,9/21/2012,2012
MT,Russ Reid Company,Kalispell Regional Medical Center,SECOND QUARTER REPORT,"$72,000.00 ",9/21/2012,2012
MT,Russ Reid Company,Kalispell Regional Medical Center,THIRD QUARTER REPORT,"$48,000.00 ",11/14/2012,2012
MT,Russ Reid Company,Kalispell Regional Medical Center,FOURTH QUARTER TERMINATION,,11/30/2012,2012
MT,Russ Reid Company,Mineral Community Hospital,THIRD QUARTER REPORT,"$10,000.00 ",1/24/2012,2011
MT,Russ Reid Company,Mineral Community Hospital,FOURTH QUARTER REPORT,"$15,000.00 ",4/25/2012,2011
MT,Russ Reid Company,Mineral Community Hospital,REGISTRATION,,8/10/2011,2011
MT,Russ Reid Company,Mineral Community Hospital,SECOND QUARTER REPORT,"$15,000.00 ",8/19/2011,2011
MT,Russ Reid Company,Mineral Community Hospital,FIRST QUARTER REPORT,"$20,000.00 ",9/21/2012,2012
MT,Russ Reid Company,Mineral Community Hospital,SECOND QUARTER REPORT,,9/21/2012,2012
MT,Russ Reid Company,Mineral Community Hospital,THIRD QUARTER REPORT,"$20,000.00 ",11/14/2012,2012
MT,Russ Reid Company,Mineral Community Hospital,FOURTH QUARTER TERMINATION,"$11,000.00 ",11/30/2012,2012
MT,"Sonosky, Chambers, Sachse, Endreson & Perry, LLP",ASSINIBOINE AND SIOUX TRIBES OF THE FORT PECK RESERVATION,THIRD QUARTER REPORT,"$10,000.00 ",10/20/2009,2009
MT,"Sonosky, Chambers, Sachse, Endreson & Perry, LLP",The Confederated Salish and Kootenai Tribes,THIRD QUARTER REPORT,"$10,000.00 ",10/10/2017,2017
MT,"Sonosky, Chambers, Sachse, Endreson & Perry, LLP",The Confederated Salish and Kootenai Tribes,FOURTH QUARTER REPORT,"$10,000.00 ",12/21/2017,2017
MT,STAN ULLMAN,ROCKY BAY RESERVATION,REGISTRATION,,8/23/2005,2005
MT,Strategic Health Care,KALISPELL REGIONAL MEDICAL CENTER,REGISTRATION,,3/2/2006,2006
MT,Strategic Marketing Innovations,UNIVERSITY OF MONTANA,FOURTH QUARTER REPORT,"$20,000.00 ",1/2/2018,2017
MT,Strategic Marketing Innovations,UNIVERSITY OF MONTANA,FOURTH QUARTER REPORT,"$20,000.00 ",1/13/2010,2009
MT,Strategic Marketing Innovations,UNIVERSITY OF MONTANA,FOURTH QUARTER REPORT,"$20,000.00 ",1/13/2011,2010
MT,Strategic Marketing Innovations,UNIVERSITY OF MONTANA,FOURTH QUARTER TERMINATION AMENDMENT,"$20,000.00 ",1/13/2011,2010
MT,Strategic Marketing Innovations,UNIVERSITY OF MONTANA,FOURTH QUARTER REPORT,"$20,000.00 ",1/13/2017,2016
MT,Strategic Marketing Innovations,UNIVERSITY OF MONTANA,FOURTH QUARTER REPORT,"$30,000.00 ",1/21/2009,2008
MT,Strategic Marketing Innovations,UNIVERSITY OF MONTANA,YEAR-END REPORT,"$60,000.00 ",1/31/2007,2006
MT,Strategic Marketing Innovations,UNIVERSITY OF MONTANA,YEAR-END REPORT,"$40,000.00 ",2/10/2006,2005
MT,Strategic Marketing Innovations,UNIVERSITY OF MONTANA,REGISTRATION,,2/14/2005,2005
MT,Strategic Marketing Innovations,UNIVERSITY OF MONTANA,YEAR-END REPORT,"$60,000.00 ",2/14/2008,2007
MT,Strategic Marketing Innovations,UNIVERSITY OF MONTANA,FIRST QUARTER REPORT,"$20,000.00 ",4/7/2017,2017
MT,Strategic Marketing Innovations,UNIVERSITY OF MONTANA,FIRST QUARTER REPORT,"$20,000.00 ",4/13/2010,2010
MT,Strategic Marketing Innovations,UNIVERSITY OF MONTANA,FIRST QUARTER REPORT,"$14,500.00 ",4/14/2009,2009
MT,Strategic Marketing Innovations,UNIVERSITY OF MONTANA,FIRST QUARTER REPORT,"$40,000.00 ",4/21/2008,2008
MT,Strategic Marketing Innovations,UNIVERSITY OF MONTANA,SECOND QUARTER REPORT,"$20,000.00 ",7/13/2017,2017
MT,Strategic Marketing Innovations,UNIVERSITY OF MONTANA,SECOND QUARTER REPORT,"$20,000.00 ",7/15/2009,2009
MT,Strategic Marketing Innovations,UNIVERSITY OF MONTANA,SECOND QUARTER REPORT,"$20,000.00 ",7/15/2010,2010
MT,Strategic Marketing Innovations,UNIVERSITY OF MONTANA,SECOND QUARTER REPORT,"$30,000.00 ",7/21/2008,2008
MT,Strategic Marketing Innovations,UNIVERSITY OF MONTANA,MID-YEAR REPORT,"$40,000.00 ",7/22/2005,2005
MT,Strategic Marketing Innovations,UNIVERSITY OF MONTANA,MID-YEAR REPORT,"$60,000.00 ",8/7/2007,2007
MT,Strategic Marketing Innovations,UNIVERSITY OF MONTANA,MID-YEAR REPORT,"$60,000.00 ",9/13/2006,2006
MT,Strategic Marketing Innovations,UNIVERSITY OF MONTANA,THIRD QUARTER REPORT,"$20,000.00 ",10/8/2010,2010
MT,Strategic Marketing Innovations,UNIVERSITY OF MONTANA,THIRD QUARTER REPORT,"$20,000.00 ",10/16/2017,2017
MT,Strategic Marketing Innovations,UNIVERSITY OF MONTANA,THIRD QUARTER REPORT,"$30,000.00 ",10/20/2008,2008
MT,Strategic Marketing Innovations,UNIVERSITY OF MONTANA,THIRD QUARTER REPORT,"$20,000.00 ",10/20/2009,2009
MT,Strategies 360,Montana Health CO-OP,FOURTH QUARTER REPORT,,1/17/2020,2019
MT,Strategies 360,Montana Health CO-OP,REGISTRATION,,4/29/2019,2019
MT,Strategies 360,Montana Health CO-OP,THIRD QUARTER REPORT,,10/18/2019,2019
MT,The McManus Group,Microbion Corporation,REGISTRATION,,1/20/2015,2015
MT,The McManus Group,Microbion Corporation,FIRST QUARTER REPORT,"$10,000.00 ",4/20/2015,2015
MT,The McManus Group,Microbion Corporation,SECOND QUARTER REPORT,"$10,000.00 ",7/20/2015,2015
MT,Van Scoyoc Associates,BILLINGS CLINIC,YEAR-END REPORT,"$40,000.00 ",1/19/2007,2006
MT,Van Scoyoc Associates,BILLINGS CLINIC,YEAR-END TERMINATION,"$20,000.00 ",2/1/2008,2007
MT,Van Scoyoc Associates,BILLINGS CLINIC,YEAR-END REPORT,"$40,000.00 ",2/9/2006,2005
MT,Van Scoyoc Associates,BILLINGS CLINIC,YEAR-END REPORT,"$40,000.00 ",2/14/2005,2004
MT,Van Scoyoc Associates,BILLINGS CLINIC,YEAR-END REPORT,"$40,000.00 ",2/17/2004,2003
MT,Van Scoyoc Associates,BILLINGS CLINIC,MID-YEAR REPORT,"$40,000.00 ",7/20/2006,2006
MT,Van Scoyoc Associates,BILLINGS CLINIC,REGISTRATION,,7/30/2003,2003
MT,Van Scoyoc Associates,BILLINGS CLINIC,MID-YEAR REPORT,"$20,000.00 ",8/8/2005,2005
MT,Van Scoyoc Associates,BILLINGS CLINIC,MID-YEAR REPORT,"$40,000.00 ",8/9/2007,2007
MT,Van Scoyoc Associates,BILLINGS CLINIC,MID-YEAR REPORT,"$20,000.00 ",8/13/2004,2004
MT,"Woody and Associates, Inc.","A.W.A.R.E., Inc.",FIRST QUARTER REPORT,"$15,000.00 ",5/2/2011,2011
MT,"Woody and Associates, Inc.","A.W.A.R.E., Inc.",SECOND QUARTER REPORT,"$30,000.00 ",8/1/2011,2011
MT,"Woody and Associates, Inc.","A.W.A.R.E., Inc.",THIRD QUARTER REPORT,"$45,000.00 ",10/31/2011,2011
MT,"Woosley and Associates, Inc.",Harvest Community Foundation,SECOND QUARTER REPORT,,8/1/2011,2011
MT,"Woosley and Associates, Inc.",YOUTH DYNAMICS INC,REGISTRATION,,3/1/2005,2005
MT,"Woosley and Associates, Inc.",YOUTH DYNAMICS INC,SECOND QUARTER REPORT,,8/1/2011,2011
