State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
NC,56 CMD (formerly known as Benjamin Shrodinger LLC),"Melange Health Solutions, LLC",REGISTRATION,,7/12/2010,2010
NC,Akin Gump Strauss Hauer & Feld,CONSTELLA GROUP LLC,YEAR-END TERMINATION,"$80,000.00 ",2/12/2008,2007
NC,Akin Gump Strauss Hauer & Feld,CONSTELLA GROUP LLC,YEAR-END REPORT,"$100,000.00 ",2/13/2007,2006
NC,Akin Gump Strauss Hauer & Feld,CONSTELLA GROUP LLC,REGISTRATION,,3/8/2006,2006
NC,Akin Gump Strauss Hauer & Feld,CONSTELLA GROUP LLC,MID-YEAR REPORT,"$80,000.00 ",8/11/2006,2006
NC,Akin Gump Strauss Hauer & Feld,CONSTELLA GROUP LLC,MID-YEAR REPORT,"$100,000.00 ",8/12/2007,2007
NC,ALSTON & BIRD LLP,BGF INDUSTRIES,REGISTRATION,,6/4/2001,2001
NC,ALSTON & BIRD LLP,CaroMont Health,REGISTRATION,,12/8/2010,2010
NC,ALSTON & BIRD LLP,Cetero Research,FOURTH QUARTER REPORT,"$30,000.00 ",1/20/2012,2011
NC,ALSTON & BIRD LLP,Cetero Research,FIRST QUARTER REPORT,"$30,000.00 ",4/20/2012,2012
NC,ALSTON & BIRD LLP,Cetero Research,SECOND QUARTER REPORT,"$30,000.00 ",7/20/2012,2012
NC,ALSTON & BIRD LLP,Cetero Research,REGISTRATION,,9/8/2011,2011
NC,ALSTON & BIRD LLP,Cetero Research,SECOND QUARTER REPORT,"$30,000.00 ",9/12/2011,2011
NC,ALSTON & BIRD LLP,Cetero Research,THIRD QUARTER REPORT,"$30,000.00 ",10/20/2011,2011
NC,ALSTON & BIRD LLP,Cetero Research,THIRD QUARTER REPORT,"$30,000.00 ",10/22/2012,2012
NC,American Capitol Group,"Chimerix, Inc.",FOURTH QUARTER REPORT,"$15,000.00 ",1/8/2018,2017
NC,American Capitol Group,"Chimerix, Inc.",FOURTH QUARTER REPORT,"$15,000.00 ",1/11/2017,2016
NC,American Capitol Group,"Chimerix, Inc.",FOURTH QUARTER REPORT,"$30,000.00 ",1/13/2016,2015
NC,American Capitol Group,"Chimerix, Inc.",FOURTH QUARTER REPORT,"$20,000.00 ",1/14/2015,2014
NC,American Capitol Group,"Chimerix, Inc.",FOURTH QUARTER REPORT,"$15,000.00 ",1/17/2019,2018
NC,American Capitol Group,"Chimerix, Inc.",FIRST QUARTER REPORT,"$15,000.00 ",4/5/2017,2017
NC,American Capitol Group,"Chimerix, Inc.",FIRST QUARTER REPORT,"$15,000.00 ",4/12/2018,2018
NC,American Capitol Group,"Chimerix, Inc.",FIRST QUARTER REPORT,"$15,000.00 ",4/12/2019,2019
NC,American Capitol Group,"Chimerix, Inc.",FIRST QUARTER REPORT,"$30,000.00 ",4/19/2016,2016
NC,American Capitol Group,"Chimerix, Inc.",FIRST QUARTER REPORT,"$30,000.00 ",4/20/2015,2015
NC,American Capitol Group,"Chimerix, Inc.",SECOND QUARTER REPORT,"$15,000.00 ",7/6/2017,2017
NC,American Capitol Group,"Chimerix, Inc.",SECOND QUARTER REPORT,"$15,000.00 ",7/9/2018,2018
NC,American Capitol Group,"Chimerix, Inc.",SECOND QUARTER REPORT,"$15,000.00 ",7/9/2019,2019
