State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
ND,"American Defense International, Inc.",ALDEVRON LLC,YEAR-END REPORT,"$20,000.00 ",2/17/2004,2003
ND,"American Defense International, Inc.",ALDEVRON LLC,REGISTRATION,,9/30/2003,2003
ND,Carman Communications,State of North Dakota,FOURTH QUARTER AMENDMENT,"$16,500.00 ",2/4/2015,2014
ND,Carman Communications,State of North Dakota,FIRST QUARTER REPORT,"$16,500.00 ",4/29/2015,2015
ND,Carman Communications,State of North Dakota,REGISTRATION,,5/4/2006,2006
ND,Carman Communications,State of North Dakota,MID-YEAR REPORT,"$30,000.00 ",9/18/2007,2007
ND,Carman Communications,State of North Dakota,SECOND QUARTER REPORT,"$15,000.00 ",10/20/2009,2009
ND,Carman Communications,State of North Dakota,THIRD QUARTER REPORT,"$15,000.00 ",12/10/2009,2009
ND,"DOUCET CONSULTING SOLUTIONS, LLC",Noridian Healthcare Solutions,REGISTRATION,,5/24/2017,2017
ND,"DOUCET CONSULTING SOLUTIONS, LLC",Noridian Healthcare Solutions,SECOND QUARTER REPORT,"$10,000.00 ",7/10/2017,2017
ND,"DOUCET CONSULTING SOLUTIONS, LLC",Noridian Healthcare Solutions,THIRD QUARTER REPORT,"$10,000.00 ",10/3/2017,2017
ND,Greystone Group LLC,MINOT STATE UNIVERSITY,FOURTH QUARTER REPORT,,1/21/2018,2017
ND,Greystone Group LLC,MINOT STATE UNIVERSITY,FOURTH QUARTER REPORT,,1/21/2019,2018
ND,Greystone Group LLC,MINOT STATE UNIVERSITY,FIRST QUARTER REPORT,,4/18/2017,2017
ND,Greystone Group LLC,MINOT STATE UNIVERSITY,FIRST QUARTER REPORT,,4/19/2018,2018
ND,Greystone Group LLC,MINOT STATE UNIVERSITY,SECOND QUARTER REPORT,,7/14/2018,2018
ND,Greystone Group LLC,MINOT STATE UNIVERSITY,SECOND QUARTER REPORT,,7/16/2017,2017
ND,Greystone Group LLC,MINOT STATE UNIVERSITY,THIRD QUARTER REPORT,,10/19/2017,2017
ND,Greystone Group LLC,MINOT STATE UNIVERSITY,THIRD QUARTER REPORT,,10/20/2018,2018
ND,Greystone Group LLC,UNIVERSITY OF NORTH DAKOTA,FOURTH QUARTER REPORT,"$32,400.00 ",1/18/2010,2009
ND,Greystone Group LLC,UNIVERSITY OF NORTH DAKOTA,REGISTRATION,,4/11/2005,2005
ND,Greystone Group LLC,UNIVERSITY OF NORTH DAKOTA,FIRST QUARTER REPORT,"$32,400.00 ",4/16/2010,2010
ND,Greystone Group LLC,UNIVERSITY OF NORTH DAKOTA,FIRST QUARTER AMENDMENT,"$32,400.00 ",4/27/2010,2010
ND,Greystone Group LLC,UNIVERSITY OF NORTH DAKOTA,SECOND QUARTER REPORT,"$32,400.00 ",7/18/2008,2008
ND,Greystone Group LLC,UNIVERSITY OF NORTH DAKOTA,SECOND QUARTER REPORT,"$33,000.00 ",7/19/2011,2011
