State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
NE,Akin Gump Strauss Hauer & Feld,Ponca Tribe of Nebraska,REGISTRATION,,6/30/2008,2008
NE,Akin Gump Strauss Hauer & Feld,Ponca Tribe of Nebraska,SECOND QUARTER REPORT,"$10,000.00 ",7/19/2008,2008
NE,"Appo-G, LLC",Pennfield Animal Health,REGISTRATION AMENDMENT,,10/1/2009,2003
NE,"Appo-G, LLC",Pennfield Animal Health,REGISTRATION AMENDMENT,,10/1/2009,2003
NE,"Appo-G, LLC",Pennfield Animal Health,REGISTRATION,,12/19/2003,2003
NE,BLANK ROME GOVERNMENT RELATIONS,Mosaic,FOURTH QUARTER REPORT,"$20,000.00 ",1/17/2012,2011
NE,BLANK ROME GOVERNMENT RELATIONS,Mosaic,YEAR-END TERMINATION,"$60,000.00 ",2/11/2007,2006
NE,BLANK ROME GOVERNMENT RELATIONS,Mosaic,YEAR-END REPORT,"$60,000.00 ",2/13/2006,2005
NE,BLANK ROME GOVERNMENT RELATIONS,Mosaic,REGISTRATION AMENDMENT,,2/13/2008,2008
NE,BLANK ROME GOVERNMENT RELATIONS,Mosaic,REGISTRATION,,2/14/2005,2005
NE,BLANK ROME GOVERNMENT RELATIONS,Mosaic,FIRST QUARTER REPORT,"$20,000.00 ",4/11/2012,2012
NE,BLANK ROME GOVERNMENT RELATIONS,Mosaic,FIRST QUARTER REPORT,,4/18/2008,2008
NE,BLANK ROME GOVERNMENT RELATIONS,Mosaic,FIRST QUARTER REPORT,"$20,000.00 ",4/20/2011,2011
NE,BLANK ROME GOVERNMENT RELATIONS,Mosaic,SECOND QUARTER TERMINATION,"$10,000.00 ",7/18/2012,2012
NE,BLANK ROME GOVERNMENT RELATIONS,Mosaic,SECOND QUARTER REPORT,,7/19/2008,2008
NE,BLANK ROME GOVERNMENT RELATIONS,Mosaic,SECOND QUARTER REPORT,"$20,000.00 ",7/20/2011,2011
NE,BLANK ROME GOVERNMENT RELATIONS,Mosaic,FIRST QUARTER AMENDMENT,,8/3/2010,2008
NE,BLANK ROME GOVERNMENT RELATIONS,Mosaic,MID-YEAR REPORT,"$60,000.00 ",8/11/2006,2006
NE,BLANK ROME GOVERNMENT RELATIONS,Mosaic,MID-YEAR REPORT,"$60,000.00 ",8/24/2005,2005
NE,BLANK ROME GOVERNMENT RELATIONS,Mosaic,THIRD QUARTER REPORT,"$20,000.00 ",10/18/2011,2011
NE,BLANK ROME GOVERNMENT RELATIONS,Mosaic,THIRD QUARTER REPORT,"$20,000.00 ",10/19/2011,2011
NE,BLANK ROME GOVERNMENT RELATIONS,Mosaic,THIRD QUARTER REPORT,,10/20/2008,2008
NE,"Cassidy & Associates, Inc.",University of Nebraska,FOURTH QUARTER REPORT,"$50,000.00 ",1/20/2020,2019
NE,"Cassidy & Associates, Inc.",University of Nebraska,FOURTH QUARTER REPORT,"$50,000.00 ",1/22/2019,2018
NE,"Cassidy & Associates, Inc.",University of Nebraska,FIRST QUARTER AMENDMENT,"$50,000.00 ",1/22/2020,2019
NE,"Cassidy & Associates, Inc.",University of Nebraska,FIRST QUARTER AMENDMENT,"$50,000.00 ",1/22/2020,2019
NE,"Cassidy & Associates, Inc.",University of Nebraska,FOURTH QUARTER AMENDMENT,"$50,000.00 ",1/22/2020,2019
NE,"Cassidy & Associates, Inc.",University of Nebraska,FOURTH QUARTER AMENDMENT,"$50,000.00 ",1/22/2020,2018
NE,"Cassidy & Associates, Inc.",University of Nebraska,SECOND QUARTER AMENDMENT,"$50,000.00 ",1/22/2020,2019
NE,"Cassidy & Associates, Inc.",University of Nebraska,THIRD QUARTER AMENDMENT,"$20,000.00 ",1/22/2020,2018
NE,"Cassidy & Associates, Inc.",University of Nebraska,THIRD QUARTER AMENDMENT,"$50,000.00 ",1/22/2020,2019
NE,"Cassidy & Associates, Inc.",University of Nebraska,THIRD QUARTER AMENDMENT,"$20,000.00 ",1/22/2020,2018
NE,"Cassidy & Associates, Inc.",University of Nebraska,FIRST QUARTER REPORT,"$50,000.00 ",4/17/2019,2019
NE,"Cassidy & Associates, Inc.",University of Nebraska,FIRST QUARTER AMENDMENT,"$50,000.00 ",7/16/2019,2019
NE,"Cassidy & Associates, Inc.",University of Nebraska,FOURTH QUARTER AMENDMENT,"$50,000.00 ",7/16/2019,2018
NE,"Cassidy & Associates, Inc.",University of Nebraska,SECOND QUARTER REPORT,"$50,000.00 ",7/16/2019,2019
NE,"Cassidy & Associates, Inc.",University of Nebraska,THIRD QUARTER AMENDMENT,"$20,000.00 ",7/16/2019,2018
NE,"Cassidy & Associates, Inc.",University of Nebraska,FIRST QUARTER AMENDMENT,"$50,000.00 ",7/17/2019,2019
NE,"Cassidy & Associates, Inc.",University of Nebraska,SECOND QUARTER AMENDMENT,"$50,000.00 ",7/17/2019,2019
NE,"Cassidy & Associates, Inc.",University of Nebraska,THIRD QUARTER REPORT,"$50,000.00 ",10/16/2019,2019
