State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
NV,"Alliance for Generational Equity, Inc.","Alliance for Generational Equity (AGE), Inc.",FOURTH QUARTER REPORT,,1/20/2010,2009
NV,"Alliance for Generational Equity, Inc.","Alliance for Generational Equity (AGE), Inc.",FOURTH QUARTER REPORT,,1/20/2011,2010
NV,"Alliance for Generational Equity, Inc.","Alliance for Generational Equity (AGE), Inc.",FOURTH QUARTER REPORT,"$115,000.00 ",1/22/2009,2008
NV,"Alliance for Generational Equity, Inc.","Alliance for Generational Equity (AGE), Inc.",FOURTH QUARTER REPORT,,1/22/2013,2012
NV,"Alliance for Generational Equity, Inc.","Alliance for Generational Equity (AGE), Inc.",FIRST QUARTER REPORT,,4/20/2009,2009
NV,"Alliance for Generational Equity, Inc.","Alliance for Generational Equity (AGE), Inc.",FIRST QUARTER REPORT,,4/20/2010,2010
NV,"Alliance for Generational Equity, Inc.","Alliance for Generational Equity (AGE), Inc.",FIRST QUARTER REPORT,,4/29/2012,2011
NV,"Alliance for Generational Equity, Inc.","Alliance for Generational Equity (AGE), Inc.",FOURTH QUARTER REPORT,,4/29/2012,2011
NV,"Alliance for Generational Equity, Inc.","Alliance for Generational Equity (AGE), Inc.",SECOND QUARTER REPORT,,4/29/2012,2011
NV,"Alliance for Generational Equity, Inc.","Alliance for Generational Equity (AGE), Inc.",THIRD QUARTER REPORT,,4/29/2012,2011
NV,"Alliance for Generational Equity, Inc.","Alliance for Generational Equity (AGE), Inc.",SECOND QUARTER REPORT,,7/20/2009,2009
NV,"Alliance for Generational Equity, Inc.","Alliance for Generational Equity (AGE), Inc.",SECOND QUARTER REPORT,,7/20/2010,2010
NV,"Alliance for Generational Equity, Inc.","Alliance for Generational Equity (AGE), Inc.",REGISTRATION AMENDMENT,,9/29/2011,2008
NV,"Alliance for Generational Equity, Inc.","Alliance for Generational Equity (AGE), Inc.",THIRD QUARTER REPORT,,10/20/2010,2010
NV,"Alliance for Generational Equity, Inc.","Alliance for Generational Equity (AGE), Inc.",REGISTRATION,,10/24/2008,2008
NV,"Alliance for Generational Equity, Inc.","Alliance for Generational Equity (AGE), Inc.",FIRST QUARTER AMENDMENT,,10/28/2009,2009
NV,"Alliance for Generational Equity, Inc.","Alliance for Generational Equity (AGE), Inc.",FOURTH QUARTER AMENDMENT,"$115,000.00 ",10/28/2009,2008
NV,"Alliance for Generational Equity, Inc.","Alliance for Generational Equity (AGE), Inc.",SECOND QUARTER AMENDMENT,,10/28/2009,2009
NV,"Alliance for Generational Equity, Inc.","Alliance for Generational Equity (AGE), Inc.",THIRD QUARTER REPORT,,10/28/2009,2009
NV,"American Defense International, Inc.",Cytta Corp,REGISTRATION,,3/12/2014,2014
NV,"American Defense International, Inc.",Cytta Corp,FIRST QUARTER REPORT,,4/16/2014,2014
NV,"American Defense International, Inc.",Cytta Corp,SECOND QUARTER REPORT,"$10,000.00 ",7/17/2014,2014
NV,"Armitage Consulting, LLC",Las Vegas Paiute Tribe,FOURTH QUARTER REPORT,"$20,000.00 ",1/28/2019,2018
NV,"Armitage Consulting, LLC",Las Vegas Paiute Tribe,FIRST QUARTER REPORT,"$20,000.00 ",4/26/2018,2018
NV,"Armitage Consulting, LLC",Las Vegas Paiute Tribe,REGISTRATION,,5/27/2015,2015
NV,"Armitage Consulting, LLC",Las Vegas Paiute Tribe,SECOND QUARTER REPORT,"$20,000.00 ",7/23/2018,2018
NV,"Armitage Consulting, LLC",Las Vegas Paiute Tribe,THIRD QUARTER REPORT,"$20,000.00 ",10/24/2018,2018
NV,Ball Janik LLP,"CITY OF LAS VEGAS, NEVADA",FOURTH QUARTER REPORT,"$40,000.00 ",1/9/2011,2010
NV,Ball Janik LLP,"CITY OF LAS VEGAS, NEVADA",FOURTH QUARTER REPORT,"$45,000.00 ",1/20/2010,2009
NV,Ball Janik LLP,"CITY OF LAS VEGAS, NEVADA",FIRST QUARTER REPORT,"$40,000.00 ",4/20/2010,2010
NV,Ball Janik LLP,"CITY OF LAS VEGAS, NEVADA",SECOND QUARTER REPORT,"$40,000.00 ",7/20/2010,2010
NV,Ball Janik LLP,"CITY OF LAS VEGAS, NEVADA",THIRD QUARTER REPORT,"$40,000.00 ",10/20/2010,2010
NV,Bose Public Affairs Group,National Council of Juvenile and Family Court Judges,SECOND QUARTER REPORT,"$10,000.00 ",7/25/2019,2019
NV,"Cansler Consulting, LLC","The LifeCare Group, LLC",FOURTH QUARTER REPORT,"$20,000.00 ",1/20/2012,2011
NV,"Cansler Consulting, LLC","The LifeCare Group, LLC",FOURTH QUARTER REPORT,"$20,000.00 ",1/21/2013,2012
NV,"Cansler Consulting, LLC","The LifeCare Group, LLC",FIRST QUARTER AMENDMENT,"$20,000.00 ",4/19/2013,2013
NV,"Cansler Consulting, LLC","The LifeCare Group, LLC",FIRST QUARTER REPORT,"$20,000.00 ",4/19/2013,2013
NV,"Cansler Consulting, LLC","The LifeCare Group, LLC",FIRST QUARTER REPORT,"$20,000.00 ",4/20/2012,2012
NV,"Cansler Consulting, LLC","The LifeCare Group, LLC",REGISTRATION,,7/14/2011,2011
NV,"Cansler Consulting, LLC","The LifeCare Group, LLC",SECOND QUARTER REPORT,"$20,000.00 ",7/19/2012,2012
NV,"Cansler Consulting, LLC","The LifeCare Group, LLC",SECOND QUARTER REPORT,"$20,000.00 ",7/19/2013,2013
NV,"Cansler Consulting, LLC","The LifeCare Group, LLC",THIRD QUARTER REPORT,"$20,000.00 ",10/18/2012,2012
NV,"Capitol Associates, Inc.",INAMED,REGISTRATION AMENDMENT,,4/16/1999,1999
NV,"Capitol Associates, Inc.","The Lifecare Group, LLC",FOURTH QUARTER REPORT,"$40,000.00 ",1/19/2012,2011
NV,"Capitol Associates, Inc.","The Lifecare Group, LLC",FIRST QUARTER REPORT,"$20,000.00 ",4/19/2012,2012
NV,"Capitol Associates, Inc.","The Lifecare Group, LLC",REGISTRATION,,9/12/2011,2011
NV,"Capitol Associates, Inc.","The Lifecare Group, LLC",THIRD QUARTER REPORT,"$30,000.00 ",10/18/2011,2011
NV,"Cassidy & Associates, Inc.",AGASSI FOUNDATION ANDRE,YEAR-END REPORT,,2/14/2000,1999
NV,"Cassidy & Associates, Inc.",AGASSI FOUNDATION ANDRE,YEAR-END REPORT,,2/14/2001,2000
NV,"Cassidy & Associates, Inc.",AGASSI FOUNDATION ANDRE,MID-YEAR REPORT,,8/9/2000,2000
NV,"Cassidy & Associates, Inc.",AGASSI FOUNDATION ANDRE,MID-YEAR REPORT,"$20,000.00 ",8/16/1999,1999
NV,"Cassidy & Associates, Inc.",CLARK COUNTY HEALTH DISTRICT,REGISTRATION,,2/28/2001,2001
NV,"Cassidy & Associates, Inc.",UNIV MEDICAL CENTER OF SOUTHERN NEVADA,YEAR-END REPORT,"$40,000.00 ",2/14/2001,2000
NV,"Cassidy & Associates, Inc.",UNIV MEDICAL CENTER OF SOUTHERN NEVADA,REGISTRATION,,7/31/2000,2000
NV,"Cassidy & Associates, Inc.",UNIV MEDICAL CENTER OF SOUTHERN NEVADA,MID-YEAR REPORT,,8/9/2000,2000
NV,"Cassidy & Associates, Inc.",UNIV MEDICAL CENTER OF SOUTHERN NEVADA,MID-YEAR REPORT,"$40,000.00 ",8/13/2001,2001
NV,Cauthen Forbes & Williams,UNITEDHEALTH GROUP INC,FOURTH QUARTER REPORT,"$60,000.00 ",1/19/2011,2010
NV,Cauthen Forbes & Williams,UNITEDHEALTH GROUP INC,FOURTH QUARTER REPORT,"$60,000.00 ",1/20/2012,2011
NV,Cauthen Forbes & Williams,UNITEDHEALTH GROUP INC,FIRST QUARTER REPORT,"$60,000.00 ",4/17/2012,2012
NV,Cauthen Forbes & Williams,UNITEDHEALTH GROUP INC,FIRST QUARTER REPORT,"$60,000.00 ",4/19/2010,2010
NV,Cauthen Forbes & Williams,UNITEDHEALTH GROUP INC,FIRST QUARTER REPORT,"$60,000.00 ",4/19/2011,2011
NV,Cauthen Forbes & Williams,UNITEDHEALTH GROUP INC,SECOND QUARTER REPORT,"$60,000.00 ",7/19/2011,2011
NV,Cauthen Forbes & Williams,UNITEDHEALTH GROUP INC,SECOND QUARTER REPORT,"$60,000.00 ",7/20/2010,2010
NV,Cauthen Forbes & Williams,UNITEDHEALTH GROUP INC,SECOND QUARTER REPORT,"$60,000.00 ",7/20/2012,2012
NV,Cauthen Forbes & Williams,UNITEDHEALTH GROUP INC,REGISTRATION,,7/23/2009,2009
