State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
NY,1199SEIU Healthcare Education Project,1199SEIU Healthcare Education Project,FIRST QUARTER REPORT,"$234,004.00 ",4/22/2008,2008
NY,1199SEIU Healthcare Education Project,1199SEIU Healthcare Education Project,FIRST QUARTER AMENDMENT,"$234,004.00 ",9/16/2011,2008
NY,1199SEIU United Healthcare Workers East,1199SEIU United Healthcare Workers East,FIRST QUARTER REPORT,,4/21/2008,2008
NY,"Active Policy Solutions, LLC",United States Tennis Association,FIRST QUARTER REPORT,,4/16/2013,2013
NY,"Active Policy Solutions, LLC",United States Tennis Association,FIRST QUARTER REPORT,"$10,000.00 ",4/19/2012,2012
NY,"Aduston Consulting, LLC",Action Now Initiative,FIRST QUARTER REPORT,,4/21/2014,2014
NY,"Aduston Consulting, LLC",Action Now Initiative,FIRST QUARTER REPORT,"$60,000.00 ",4/23/2015,2015
NY,"Advanced Policy Consulting, LLC",HEALTH-E COMMERCE INCLUDING SUBSIDIARIES,FIRST QUARTER REPORT,"$10,000.00 ",4/15/2019,2019
NY,"Advanced Policy Consulting, LLC","PL Developments, Inc.",FIRST QUARTER TERMINATION,"$20,000.00 ",4/20/2018,2018
NY,Akin Gump Strauss Hauer & Feld,GUARDIAN LIFE INSURANCE COMPANY,FIRST QUARTER REPORT,"$120,000.00 ",4/18/2010,2010
NY,Akin Gump Strauss Hauer & Feld,GUARDIAN LIFE INSURANCE COMPANY,FIRST QUARTER REPORT,"$80,000.00 ",4/18/2011,2011
NY,Akin Gump Strauss Hauer & Feld,GUARDIAN LIFE INSURANCE COMPANY,FIRST QUARTER REPORT,"$30,000.00 ",4/19/2015,2015
NY,Akin Gump Strauss Hauer & Feld,GUARDIAN LIFE INSURANCE COMPANY,FIRST QUARTER REPORT,"$50,000.00 ",4/19/2016,2016
NY,Akin Gump Strauss Hauer & Feld,GUARDIAN LIFE INSURANCE COMPANY,FIRST QUARTER REPORT,"$80,000.00 ",4/20/2012,2012
NY,Akin Gump Strauss Hauer & Feld,GUARDIAN LIFE INSURANCE COMPANY,FIRST QUARTER REPORT,"$80,000.00 ",4/20/2014,2014
NY,Akin Gump Strauss Hauer & Feld,GUARDIAN LIFE INSURANCE COMPANY,FIRST QUARTER TERMINATION,"$40,000.00 ",4/20/2018,2018
NY,Akin Gump Strauss Hauer & Feld,GUARDIAN LIFE INSURANCE COMPANY,FIRST QUARTER REPORT,"$80,000.00 ",4/21/2013,2013
NY,Akin Gump Strauss Hauer & Feld,GUARDIAN LIFE INSURANCE COMPANY,FIRST QUARTER REPORT,"$20,000.00 ",4/21/2017,2017
NY,Akin Gump Strauss Hauer & Feld,GUARDIAN LIFE INSURANCE COMPANY,FIRST QUARTER TERMINATION,"$50,000.00 ",7/19/2016,2016
NY,Akin Gump Strauss Hauer & Feld,HealthCare Chaplaincy Network,FIRST QUARTER REPORT,"$10,000.00 ",4/14/2017,2017
NY,Akin Gump Strauss Hauer & Feld,HealthCare Chaplaincy Network,FIRST QUARTER REPORT,"$10,000.00 ",4/17/2018,2018
NY,Akin Gump Strauss Hauer & Feld,KALEIDA HEALTH,FIRST QUARTER REPORT,"$10,000.00 ",4/19/2008,2008
NY,Akin Gump Strauss Hauer & Feld,MEMORIAL SLOAN-KETTERING CANCER CENTER,FIRST QUARTER AMENDMENT,"$10,000.00 ",3/1/2018,2017
NY,Akin Gump Strauss Hauer & Feld,MEMORIAL SLOAN-KETTERING CANCER CENTER,FIRST QUARTER REPORT,"$20,000.00 ",4/18/2015,2015
NY,Akin Gump Strauss Hauer & Feld,MEMORIAL SLOAN-KETTERING CANCER CENTER,FIRST QUARTER REPORT,"$80,000.00 ",4/19/2010,2010
NY,Akin Gump Strauss Hauer & Feld,MEMORIAL SLOAN-KETTERING CANCER CENTER,FIRST QUARTER REPORT,"$80,000.00 ",4/19/2011,2011
NY,Akin Gump Strauss Hauer & Feld,MEMORIAL SLOAN-KETTERING CANCER CENTER,FIRST QUARTER REPORT,"$20,000.00 ",4/19/2016,2016
NY,Akin Gump Strauss Hauer & Feld,MEMORIAL SLOAN-KETTERING CANCER CENTER,FIRST QUARTER REPORT,"$10,000.00 ",4/19/2017,2017
NY,Akin Gump Strauss Hauer & Feld,MEMORIAL SLOAN-KETTERING CANCER CENTER,FIRST QUARTER REPORT,"$10,000.00 ",4/19/2018,2018
NY,Akin Gump Strauss Hauer & Feld,MEMORIAL SLOAN-KETTERING CANCER CENTER,FIRST QUARTER REPORT,"$10,000.00 ",4/20/2012,2012
NY,Akin Gump Strauss Hauer & Feld,MEMORIAL SLOAN-KETTERING CANCER CENTER,FIRST QUARTER REPORT,"$30,000.00 ",4/21/2013,2013
NY,Akin Gump Strauss Hauer & Feld,MEMORIAL SLOAN-KETTERING CANCER CENTER,FIRST QUARTER REPORT,"$10,000.00 ",4/21/2014,2014
NY,Akin Gump Strauss Hauer & Feld,MEMORIAL SLOAN-KETTERING CANCER CENTER,FIRST QUARTER REPORT,"$10,000.00 ",4/22/2019,2019
NY,Akin Gump Strauss Hauer & Feld,NFL MANAGEMENT COUNCIL,FIRST QUARTER REPORT,"$30,000.00 ",4/18/2010,2010
NY,Akin Gump Strauss Hauer & Feld,NFL MANAGEMENT COUNCIL,FIRST QUARTER REPORT,,4/18/2011,2011
NY,Akin Gump Strauss Hauer & Feld,ROCHESTER GENERAL HEALTH SYSTEM,FIRST QUARTER REPORT,"$10,000.00 ",4/19/2008,2008
NY,Akin Gump Strauss Hauer & Feld,Roswell Park Cancer Institute,FIRST QUARTER REPORT,"$20,000.00 ",4/19/2017,2017
NY,Akin Gump Strauss Hauer & Feld,Roswell Park Cancer Institute,FIRST QUARTER REPORT,"$80,000.00 ",4/20/2018,2018
NY,Akin Gump Strauss Hauer & Feld,Roswell Park Cancer Institute,FIRST QUARTER REPORT,"$50,000.00 ",4/22/2019,2019
NY,Akin Gump Strauss Hauer & Feld,Shatterproof,FIRST QUARTER REPORT,"$10,000.00 ",4/20/2018,2018
NY,Akin Gump Strauss Hauer & Feld,Shatterproof,FIRST QUARTER REPORT,"$30,000.00 ",4/22/2019,2019
NY,Akin Gump Strauss Hauer & Feld,"Welch Allyn, Inc.",FIRST QUARTER REPORT,"$80,000.00 ",4/19/2015,2015
NY,"ALPINE GROUP, INC.","MELA Sciences, Inc.",FIRST QUARTER REPORT,"$40,000.00 ",4/18/2011,2011
NY,"ALPINE GROUP, INC.","MELA Sciences, Inc.",FIRST QUARTER TERMINATION,,4/18/2012,2012
NY,ALSTON & BIRD LLP,CHE Senior Psychological Services,FIRST QUARTER REPORT,"$30,000.00 ",4/19/2018,2018
NY,ALSTON & BIRD LLP,CHE Senior Psychological Services,FIRST QUARTER REPORT,"$20,000.00 ",4/22/2019,2019
NY,ALSTON & BIRD LLP,CHE Senior Psychological Services,FIRST QUARTER REPORT,"$30,000.00 ",10/20/2017,2017
NY,ALSTON & BIRD LLP,Greater New York Hospital Association,FIRST QUARTER REPORT,"$40,000.00 ",4/20/2010,2010
NY,ALSTON & BIRD LLP,Health Republic Insurance of New York,FIRST QUARTER REPORT,"$50,000.00 ",4/19/2015,2015
NY,Alzheimer's Foundation of America,Alzheimer's Foundation of America,FIRST QUARTER REPORT,"$28,000.00 ",4/3/2015,2015
NY,Alzheimer's Foundation of America,Alzheimer's Foundation of America,FIRST QUARTER REPORT,"$29,500.00 ",4/7/2016,2016
NY,Alzheimer's Foundation of America,Alzheimer's Foundation of America,FIRST QUARTER REPORT,"$28,000.00 ",4/8/2017,2017
NY,Alzheimer's Foundation of America,Alzheimer's Foundation of America,FIRST QUARTER REPORT,"$35,000.00 ",4/10/2018,2018
NY,Alzheimer's Foundation of America,Alzheimer's Foundation of America,FIRST QUARTER REPORT,"$40,000.00 ",4/11/2019,2019
NY,Alzheimer's Foundation of America,Alzheimer's Foundation of America,FIRST QUARTER REPORT,"$21,250.00 ",4/16/2008,2008
NY,Alzheimer's Foundation of America,Alzheimer's Foundation of America,FIRST QUARTER REPORT,"$25,000.00 ",4/17/2013,2013
NY,Alzheimer's Foundation of America,Alzheimer's Foundation of America,FIRST QUARTER REPORT,"$22,500.00 ",4/20/2009,2009
NY,Alzheimer's Foundation of America,Alzheimer's Foundation of America,FIRST QUARTER REPORT,"$22,500.00 ",4/20/2010,2010
NY,Alzheimer's Foundation of America,Alzheimer's Foundation of America,FIRST QUARTER REPORT,"$26,500.00 ",4/20/2014,2014
NY,Alzheimer's Foundation of America,Alzheimer's Foundation of America,FIRST QUARTER REPORT,"$13,750.00 ",4/26/2011,2011
NY,Alzheimer's Foundation of America,Alzheimer's Foundation of America,FIRST QUARTER REPORT,"$27,500.00 ",4/29/2012,2012
NY,American Continental Group,COALITION TO PROTECT ACCESS TO AFFORDABLE HEALTH INSURANCE,FIRST QUARTER REPORT,"$30,000.00 ",4/11/2009,2009
NY,American Continental Group,COALITION TO PROTECT ACCESS TO AFFORDABLE HEALTH INSURANCE,FIRST QUARTER REPORT,"$30,000.00 ",4/20/2008,2008
NY,American Continental Group,ERIE COUNTY MEDICAL CENTER,FIRST QUARTER REPORT,"$20,000.00 ",4/7/2010,2010
NY,American Continental Group,ERIE COUNTY MEDICAL CENTER,FIRST QUARTER REPORT,"$20,000.00 ",4/11/2009,2009
NY,American Continental Group,ERIE COUNTY MEDICAL CENTER,FIRST QUARTER REPORT,"$20,000.00 ",4/18/2011,2011
NY,American Continental Group,ERIE COUNTY MEDICAL CENTER,FIRST QUARTER REPORT,"$20,000.00 ",4/20/2008,2008
NY,American Continental Group,JAMAICA HOSPITAL,FIRST QUARTER REPORT,"$30,000.00 ",4/20/2008,2008
NY,American Continental Group,"Pfizer, Inc.",FIRST QUARTER REPORT,"$20,000.00 ",4/7/2010,2010
NY,American Jewish Committee,AMERICAN JEWISH COMMITTEE,FIRST QUARTER REPORT,"$30,000.00 ",4/20/2010,2010
NY,AMERICAN THORACIC SOCIETY,AMERICAN THORACIC SOCIETY,FIRST QUARTER REPORT,"$25,000.00 ",4/17/2008,2008
NY,AMERICAN THORACIC SOCIETY,AMERICAN THORACIC SOCIETY,FIRST QUARTER REPORT,"$180,000.00 ",4/19/2016,2016
NY,AMERICAN THORACIC SOCIETY,AMERICAN THORACIC SOCIETY,FIRST QUARTER REPORT,"$25,000.00 ",4/20/2009,2009
NY,AMERICAN THORACIC SOCIETY,AMERICAN THORACIC SOCIETY,FIRST QUARTER REPORT,"$20,000.00 ",4/21/2011,2011
NY,AMERICAN THORACIC SOCIETY,AMERICAN THORACIC SOCIETY,FIRST QUARTER REPORT,"$28,000.00 ",4/23/2012,2012
NY,AMERICAN THORACIC SOCIETY,AMERICAN THORACIC SOCIETY,FIRST QUARTER REPORT,"$25,000.00 ",4/28/2010,2010
NY,AMERICAN THORACIC SOCIETY,AMERICAN THORACIC SOCIETY,FIRST QUARTER REPORT,"$180,000.00 ",4/29/2015,2015
NY,AMERICAN THORACIC SOCIETY,AMERICAN THORACIC SOCIETY,FIRST QUARTER REPORT,"$180,000.00 ",5/5/2014,2014
NY,AMERICAN THORACIC SOCIETY,AMERICAN THORACIC SOCIETY,FIRST QUARTER REPORT,"$180,000.00 ",5/8/2017,2017
NY,AMERICAN THORACIC SOCIETY,AMERICAN THORACIC SOCIETY,FIRST QUARTER REPORT,"$185,000.00 ",5/31/2018,2018
NY,AMERICAN THORACIC SOCIETY,AMERICAN THORACIC SOCIETY,FIRST QUARTER REPORT,"$183,000.00 ",7/2/2013,2013
NY,AMERICAN THORACIC SOCIETY,AMERICAN THORACIC SOCIETY,FIRST QUARTER AMENDMENT,"$25,000.00 ",9/9/2010,2008
NY,amfAR The Foundation for AIDS Research,AMFAR THE FOUNDATION FOR AIDS RESEARCH,FIRST QUARTER REPORT,"$90,000.00 ",4/14/2008,2008
NY,"Amnesty International of the USA, Inc.",AMNESTY INTERNATIONAL OF THE USA INC,FIRST QUARTER REPORT,"$543,019.00 ",4/20/2010,2010
NY,"Amnesty International of the USA, Inc.",AMNESTY INTERNATIONAL OF THE USA INC,FIRST QUARTER REPORT,"$210,026.00 ",4/25/2011,2011
NY,Arent Fox LLP,Greater New York Hospital Association,FIRST QUARTER REPORT,"$50,000.00 ",4/20/2017,2017
NY,Arnold & Porter Kaye Scholer LLP,American Geriatrics Society,FIRST QUARTER REPORT,"$20,000.00 ",4/19/2018,2018
