State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
PA,"Airgas, Inc.","Airgas, Inc.",FIRST QUARTER REPORT,"$40,000.00 ",4/13/2012,2012
PA,Akin Gump Strauss Hauer & Feld,CATALINA MARKETING,FIRST QUARTER REPORT,"$80,000.00 ",4/18/2010,2010
PA,Akin Gump Strauss Hauer & Feld,CATALINA MARKETING,FIRST QUARTER REPORT,"$80,000.00 ",4/18/2011,2011
PA,Akin Gump Strauss Hauer & Feld,CATALINA MARKETING,FIRST QUARTER REPORT,"$50,000.00 ",4/19/2008,2008
PA,Akin Gump Strauss Hauer & Feld,CATALINA MARKETING,FIRST QUARTER REPORT,"$80,000.00 ",4/20/2009,2009
PA,Akin Gump Strauss Hauer & Feld,CATALINA MARKETING,FIRST QUARTER REPORT,"$80,000.00 ",4/20/2012,2012
PA,Akin Gump Strauss Hauer & Feld,CATALINA MARKETING,FIRST QUARTER REPORT,"$30,000.00 ",4/21/2013,2013
PA,Alan Reuther,Retirees of the Goodyear Tire & Rubber Company Health Care Trust,FIRST QUARTER REPORT,"$7,500.00 ",3/31/2016,2016
PA,Alan Reuther,Retirees of the Goodyear Tire & Rubber Company Health Care Trust,FIRST QUARTER REPORT,"$7,500.00 ",4/1/2014,2014
PA,Alan Reuther,Retirees of the Goodyear Tire & Rubber Company Health Care Trust,FIRST QUARTER REPORT,"$7,500.00 ",4/1/2015,2015
PA,Alan Reuther,Retirees of the Goodyear Tire & Rubber Company Health Care Trust,FIRST QUARTER REPORT,"$7,500.00 ",4/1/2017,2017
PA,Alan Reuther,Retirees of the Goodyear Tire & Rubber Company Health Care Trust,FIRST QUARTER REPORT,"$7,500.00 ",4/1/2018,2018
PA,Alan Reuther,Retirees of the Goodyear Tire & Rubber Company Health Care Trust,FIRST QUARTER REPORT,"$7,500.00 ",4/6/2013,2013
PA,Alan Reuther,Retirees of the Goodyear Tire & Rubber Company Health Care Trust,FIRST QUARTER REPORT,"$7,500.00 ",4/6/2013,2013
PA,Alan Reuther,United Steelworkers,FIRST QUARTER REPORT,"$7,500.00 ",3/31/2016,2016
PA,Alan Reuther,United Steelworkers,FIRST QUARTER REPORT,"$7,500.00 ",4/1/2014,2014
PA,Alan Reuther,United Steelworkers,FIRST QUARTER REPORT,"$7,500.00 ",4/1/2015,2015
PA,Alan Reuther,United Steelworkers,FIRST QUARTER REPORT,"$7,500.00 ",4/1/2017,2017
PA,Alan Reuther,United Steelworkers,FIRST QUARTER REPORT,"$7,500.00 ",4/1/2018,2018
PA,Alan Reuther,United Steelworkers,FIRST QUARTER REPORT,"$7,500.00 ",4/6/2013,2013
PA,ALSTON & BIRD LLP,ECRI Institute,FIRST QUARTER REPORT,"$20,000.00 ",4/20/2011,2011
PA,ALSTON & BIRD LLP,ENDO PHARMACEUTICALS,FIRST QUARTER REPORT,"$50,000.00 ",4/20/2011,2011
PA,ALSTON & BIRD LLP,ENDO PHARMACEUTICALS,FIRST QUARTER REPORT,"$50,000.00 ",4/20/2012,2012
PA,ALSTON & BIRD LLP,ENDO PHARMACEUTICALS,FIRST QUARTER REPORT,"$50,000.00 ",4/21/2014,2014
PA,ALSTON & BIRD LLP,ENDO PHARMACEUTICALS,FIRST QUARTER REPORT,"$50,000.00 ",4/22/2013,2013
PA,ALSTON & BIRD LLP,"Lannett Company, Inc.",FIRST QUARTER REPORT,,4/19/2015,2015
PA,ALSTON & BIRD LLP,"Lannett Company, Inc.",FIRST QUARTER REPORT,"$20,000.00 ",4/19/2018,2018
PA,ALSTON & BIRD LLP,"Lannett Company, Inc.",FIRST QUARTER REPORT,,4/20/2010,2010
PA,ALSTON & BIRD LLP,"Lannett Company, Inc.",FIRST QUARTER REPORT,,4/20/2011,2011
PA,ALSTON & BIRD LLP,"Lannett Company, Inc.",FIRST QUARTER REPORT,,4/20/2012,2012
PA,ALSTON & BIRD LLP,"Lannett Company, Inc.",FIRST QUARTER REPORT,,4/20/2016,2016
PA,ALSTON & BIRD LLP,"Lannett Company, Inc.",FIRST QUARTER REPORT,,4/20/2017,2017
PA,ALSTON & BIRD LLP,"Lannett Company, Inc.",FIRST QUARTER REPORT,,4/21/2014,2014
PA,ALSTON & BIRD LLP,"Lannett Company, Inc.",FIRST QUARTER REPORT,,4/22/2013,2013
PA,American Capitol Group,SANOFI US SERVICES INC,FIRST QUARTER REPORT,"$40,000.00 ",3/31/2008,2008
PA,American Capitol Group,SANOFI US SERVICES INC,FIRST QUARTER REPORT,"$40,000.00 ",4/5/2017,2017
PA,American Capitol Group,SANOFI US SERVICES INC,FIRST QUARTER REPORT,"$40,000.00 ",4/7/2011,2011
PA,American Capitol Group,SANOFI US SERVICES INC,FIRST QUARTER REPORT,"$40,000.00 ",4/8/2009,2009
PA,American Capitol Group,SANOFI US SERVICES INC,FIRST QUARTER REPORT,"$40,000.00 ",4/15/2014,2014
PA,American Capitol Group,SANOFI US SERVICES INC,FIRST QUARTER REPORT,"$40,000.00 ",4/16/2013,2013
PA,American Capitol Group,SANOFI US SERVICES INC,FIRST QUARTER REPORT,"$40,000.00 ",4/18/2012,2012
PA,American Capitol Group,SANOFI US SERVICES INC,FIRST QUARTER REPORT,"$40,000.00 ",4/19/2010,2010
PA,American Capitol Group,SANOFI US SERVICES INC,FIRST QUARTER REPORT,"$40,000.00 ",4/19/2016,2016
PA,American Capitol Group,SANOFI US SERVICES INC,FIRST QUARTER REPORT,"$40,000.00 ",4/20/2015,2015
PA,American Continental Group,CEPHALON INC,FIRST QUARTER REPORT,"$90,000.00 ",4/7/2010,2010
PA,American Continental Group,CEPHALON INC,FIRST QUARTER REPORT,"$90,000.00 ",4/8/2011,2011
PA,American Continental Group,CEPHALON INC,FIRST QUARTER REPORT,"$90,000.00 ",4/11/2009,2009
PA,American Continental Group,CEPHALON INC,FIRST QUARTER REPORT,"$90,000.00 ",4/11/2009,2009
PA,American Continental Group,CITY OF PHILADELPHIA,FIRST QUARTER REPORT,"$20,000.00 ",4/10/2009,2009
PA,American Continental Group,Drexel University,FIRST QUARTER REPORT,"$30,000.00 ",4/20/2012,2012
PA,American Continental Group,HIGHMARK HEALTH,FIRST QUARTER REPORT,"$30,000.00 ",4/7/2010,2010
PA,American Continental Group,HIGHMARK HEALTH,FIRST QUARTER REPORT,"$30,000.00 ",4/8/2015,2015
PA,American Continental Group,HIGHMARK HEALTH,FIRST QUARTER REPORT,"$30,000.00 ",4/9/2014,2014
PA,American Continental Group,HIGHMARK HEALTH,FIRST QUARTER REPORT,"$50,000.00 ",4/15/2019,2019
PA,American Continental Group,HIGHMARK HEALTH,FIRST QUARTER REPORT,"$30,000.00 ",4/18/2011,2011
