State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
SC,Akin Gump Strauss Hauer & Feld,LIBERTY CORP,MID-YEAR REPORT,,8/14/2002,2002
SC,Alignment Government Strategies,BlueCross BlueShield of South Carolina,FOURTH QUARTER REPORT,"$50,000.00 ",1/21/2020,2019
SC,Alignment Government Strategies,BlueCross BlueShield of South Carolina,FOURTH QUARTER REPORT,"$50,000.00 ",1/22/2019,2018
SC,Alignment Government Strategies,BlueCross BlueShield of South Carolina,REGISTRATION,,2/2/2018,2018
SC,Alignment Government Strategies,BlueCross BlueShield of South Carolina,FIRST QUARTER REPORT,"$50,000.00 ",4/19/2018,2018
SC,Alignment Government Strategies,BlueCross BlueShield of South Carolina,FIRST QUARTER REPORT,"$50,000.00 ",4/22/2019,2019
SC,Alignment Government Strategies,BlueCross BlueShield of South Carolina,SECOND QUARTER REPORT,"$50,000.00 ",7/20/2018,2018
SC,Alignment Government Strategies,BlueCross BlueShield of South Carolina,SECOND QUARTER REPORT,"$50,000.00 ",7/22/2019,2019
SC,Alignment Government Strategies,BlueCross BlueShield of South Carolina,THIRD QUARTER REPORT,"$50,000.00 ",10/21/2019,2019
SC,Alignment Government Strategies,BlueCross BlueShield of South Carolina,THIRD QUARTER REPORT,"$50,000.00 ",10/22/2018,2018
SC,American Continental Group,MARTINI COLOR-FI,MID-YEAR REPORT,"$40,000.00 ",8/8/2000,2000
SC,"American Defense International, Inc.","Greenville Hospital System, Inc.",REGISTRATION,,7/9/2009,2009
SC,"American Defense International, Inc.","HS Pharmaceuticals, LLC",REGISTRATION,,3/11/2016,2016
SC,"American Defense International, Inc.","HS Pharmaceuticals, LLC",FIRST QUARTER REPORT,,4/20/2016,2016
SC,"American Defense International, Inc.","HS Pharmaceuticals, LLC",SECOND QUARTER REPORT,,7/18/2016,2016
SC,Arnold & Porter Kaye Scholer LLP,Society for Excellence in Eyecare,REGISTRATION AMENDMENT,,1/2/2019,2019
SC,Arnold & Porter Kaye Scholer LLP,Society for Excellence in Eyecare,FOURTH QUARTER REPORT,"$10,000.00 ",1/16/2020,2019
