State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
TX,A.G. Kaffes and Associates LLC,Hispanic Dental Association,FIRST QUARTER REPORT,,4/20/2012,2012
TX,A.G. Kaffes and Associates LLC,Hispanic Dental Association,FIRST QUARTER REPORT,,4/22/2013,2013
TX,A.G. Kaffes and Associates LLC,Hispanic Dental Association,FIRST QUARTER REPORT,,4/22/2014,2014
TX,Akin Gump Strauss Hauer & Feld,CHRISTUS Health System,FIRST QUARTER REPORT,"$100,000.00 ",4/18/2015,2015
TX,Akin Gump Strauss Hauer & Feld,CHRISTUS Health System,FIRST QUARTER REPORT,"$100,000.00 ",4/19/2017,2017
TX,Akin Gump Strauss Hauer & Feld,CHRISTUS Health System,FIRST QUARTER REPORT,"$100,000.00 ",4/20/2016,2016
TX,Akin Gump Strauss Hauer & Feld,CHRISTUS Health System,FIRST QUARTER REPORT,"$100,000.00 ",4/20/2018,2018
TX,Akin Gump Strauss Hauer & Feld,CHRISTUS Health System,FIRST QUARTER REPORT,"$110,000.00 ",4/22/2019,2019
TX,Akin Gump Strauss Hauer & Feld,"Xenex Disinfection Services, LLC",FIRST QUARTER REPORT,"$50,000.00 ",4/18/2015,2015
TX,Akin Gump Strauss Hauer & Feld,"Xenex Disinfection Services, LLC",FIRST QUARTER REPORT,"$50,000.00 ",4/19/2017,2017
TX,Akin Gump Strauss Hauer & Feld,"Xenex Disinfection Services, LLC",FIRST QUARTER REPORT,"$50,000.00 ",4/20/2016,2016
TX,"ALCON LABORATORIES, INC.",ALCON LABORATORIES INC,FIRST QUARTER REPORT,"$240,000.00 ",4/18/2008,2008
TX,"ALCON LABORATORIES, INC.",ALCON LABORATORIES INC,FIRST QUARTER REPORT,"$290,000.00 ",4/20/2010,2010
TX,"ALCON LABORATORIES, INC.",ALCON LABORATORIES INC,FIRST QUARTER REPORT,"$540,000.00 ",4/20/2011,2011
TX,"ALCON LABORATORIES, INC.",ALCON LABORATORIES INC,FIRST QUARTER REPORT,"$180,000.00 ",4/23/2009,2009
TX,"ALPINE GROUP, INC.",Grace Health System,FIRST QUARTER REPORT,"$10,000.00 ",4/15/2013,2013
TX,"ALPINE GROUP, INC.",Grace Health System,FIRST QUARTER REPORT,"$10,000.00 ",4/15/2014,2014
TX,"ALPINE GROUP, INC.",Grace Health System,FIRST QUARTER REPORT,"$10,000.00 ",4/17/2015,2015
TX,"ALPINE GROUP, INC.",Grace Health System,FIRST QUARTER REPORT,"$10,000.00 ",4/19/2018,2018
TX,"ALPINE GROUP, INC.",Grace Health System,FIRST QUARTER REPORT,"$10,000.00 ",4/20/2016,2016
TX,"ALPINE GROUP, INC.",Grace Health System,FIRST QUARTER REPORT,"$10,000.00 ",4/22/2019,2019
TX,"ALPINE GROUP, INC.",Grace Health System,FIRST QUARTER REPORT,"$10,000.00 ",5/26/2017,2017
TX,"ALPINE GROUP, INC.",Robokind,FIRST QUARTER REPORT,"$40,000.00 ",4/19/2018,2018
TX,"ALPINE GROUP, INC.",Robokind,FIRST QUARTER REPORT,"$40,000.00 ",4/22/2019,2019
TX,ALSTON & BIRD LLP,"American College of Emergency Physicians (""ACEP"")",FIRST QUARTER REPORT,"$20,000.00 ",4/19/2015,2015
TX,ALSTON & BIRD LLP,"American College of Emergency Physicians (""ACEP"")",FIRST QUARTER REPORT,"$30,000.00 ",4/20/2011,2011
TX,ALSTON & BIRD LLP,"American College of Emergency Physicians (""ACEP"")",FIRST QUARTER REPORT,"$20,000.00 ",4/20/2012,2012
TX,ALSTON & BIRD LLP,"American College of Emergency Physicians (""ACEP"")",FIRST QUARTER REPORT,"$20,000.00 ",4/21/2014,2014
TX,ALSTON & BIRD LLP,"American College of Emergency Physicians (""ACEP"")",FIRST QUARTER REPORT,"$20,000.00 ",4/22/2013,2013
TX,ALSTON & BIRD LLP,Conexis,FIRST QUARTER REPORT,,4/20/2010,2010
TX,ALSTON & BIRD LLP,National Cardiovascular Partners,FIRST QUARTER REPORT,"$30,000.00 ",4/20/2016,2016
TX,ALSTON & BIRD LLP,National Cardiovascular Partners,FIRST QUARTER REPORT,"$30,000.00 ",4/20/2017,2017
TX,ALSTON & BIRD LLP,Seton Healthcare Family,FIRST QUARTER REPORT,"$50,000.00 ",4/20/2012,2012
TX,ALSTON & BIRD LLP,"USHEALTH Group, Inc.",FIRST QUARTER REPORT,"$50,000.00 ",4/19/2018,2018
TX,ALSTON & BIRD LLP,"USHEALTH Group, Inc.",FIRST QUARTER REPORT,"$50,000.00 ",4/20/2017,2017
TX,ALSTON & BIRD LLP,"Wright Medical Technology, Inc.",FIRST QUARTER REPORT,"$60,000.00 ",7/20/2009,2009
TX,American Association for Respiratory Care,AMERICAN ASSOCIATION FOR RESPIRATORY CARE,FIRST QUARTER REPORT,"$50,000.00 ",4/7/2008,2008
TX,American Association for Respiratory Care,AMERICAN ASSOCIATION FOR RESPIRATORY CARE,FIRST QUARTER REPORT,"$20,000.00 ",4/14/2010,2010
TX,American Association for Respiratory Care,AMERICAN ASSOCIATION FOR RESPIRATORY CARE,FIRST QUARTER REPORT,"$20,000.00 ",4/27/2009,2009
TX,"American Cancer Society, High Plains Division, Inc.",AMERICAN CANCER SOCIETY HIGH PLAINS DIVISION INC,FIRST QUARTER REPORT,"$20,000.00 ",4/19/2010,2010
TX,"American Cancer Society, High Plains Division, Inc.",AMERICAN CANCER SOCIETY HIGH PLAINS DIVISION INC,FIRST QUARTER REPORT,"$20,000.00 ",4/20/2009,2009
TX,"American Cancer Society, High Plains Division, Inc.",AMERICAN CANCER SOCIETY HIGH PLAINS DIVISION INC,FIRST QUARTER REPORT,"$20,000.00 ",4/21/2008,2008
TX,American Continental Group,CENTRAL HEALTH,FIRST QUARTER REPORT,"$20,000.00 ",4/7/2010,2010
TX,American Continental Group,CENTRAL HEALTH,FIRST QUARTER REPORT,"$20,000.00 ",4/10/2013,2013
TX,American Continental Group,CENTRAL HEALTH,FIRST QUARTER REPORT,"$20,000.00 ",4/14/2014,2014
TX,American Continental Group,CENTRAL HEALTH,FIRST QUARTER REPORT,"$20,000.00 ",4/18/2011,2011
TX,American Continental Group,CENTRAL HEALTH,FIRST QUARTER REPORT,"$20,000.00 ",4/20/2012,2012
TX,American Continental Group,Harris County Healthcare Alliance,FIRST QUARTER REPORT,"$30,000.00 ",4/10/2013,2013
TX,American Continental Group,Harris County Healthcare Alliance,FIRST QUARTER REPORT,"$30,000.00 ",4/18/2011,2011
TX,American Continental Group,Harris County Healthcare Alliance,FIRST QUARTER REPORT,"$30,000.00 ",4/20/2012,2012
TX,American Continental Group,National Multi-Share Coalition,FIRST QUARTER REPORT,"$20,000.00 ",4/7/2010,2010
TX,American Continental Group,North Cypress Medical Center,FIRST QUARTER REPORT,"$40,000.00 ",4/7/2010,2010
TX,American Continental Group,North Cypress Medical Center,FIRST QUARTER REPORT,"$20,000.00 ",4/20/2008,2008
TX,American Continental Group,North Cypress Medical Center,FIRST QUARTER REPORT,"$20,000.00 ",4/20/2009,2009
TX,American Continental Group,The San Antonio Orthopedic Group,FIRST QUARTER REPORT,"$20,000.00 ",4/7/2010,2010
TX,American Continental Group,The San Antonio Orthopedic Group,FIRST QUARTER TERMINATION,"$10,000.00 ",4/18/2011,2011
TX,Armory Hill Advocates (formerly known as Rawlson Policy Group),Interim Health Care of West Texas,FIRST QUARTER REPORT,"$15,000.00 ",5/22/2019,2019
TX,Armory Hill Advocates (formerly known as Rawlson Policy Group),Interim Health Care of West Texas,FIRST QUARTER REPORT,"$15,000.00 ",5/29/2018,2018
TX,Arnold & Porter Kaye Scholer LLP,Childrens Health System of Texas,FIRST QUARTER REPORT,"$80,000.00 ",4/18/2019,2019
TX,Arnold & Porter Kaye Scholer LLP,Childrens Health System of Texas,FIRST QUARTER REPORT,"$70,000.00 ",4/19/2016,2016
TX,Arnold & Porter Kaye Scholer LLP,Childrens Health System of Texas,FIRST QUARTER REPORT,"$80,000.00 ",4/20/2017,2017
TX,Arnold & Porter Kaye Scholer LLP,Childrens Health System of Texas,FIRST QUARTER REPORT,"$80,000.00 ",4/20/2018,2018
TX,Arnold & Porter Kaye Scholer LLP,Hance Scarborough LLP,FIRST QUARTER REPORT,"$30,000.00 ",4/20/2010,2010
TX,Arnold & Porter Kaye Scholer LLP,Hance Scarborough LLP,FIRST QUARTER REPORT,"$20,000.00 ",4/20/2011,2011
TX,Arnold & Porter Kaye Scholer LLP,Hance Scarborough LLP,FIRST QUARTER REPORT,"$30,000.00 ",7/20/2010,2010
TX,Arnold & Porter Kaye Scholer LLP,Texas Medical Liability Trust,FIRST QUARTER REPORT,"$60,000.00 ",4/19/2012,2012
TX,Arnold & Porter Kaye Scholer LLP,Texas Medical Liability Trust,FIRST QUARTER REPORT,"$60,000.00 ",4/19/2013,2013
TX,Arnold & Porter Kaye Scholer LLP,Texas Medical Liability Trust,FIRST QUARTER REPORT,"$90,000.00 ",4/20/2010,2010
TX,Arnold & Porter Kaye Scholer LLP,Texas Medical Liability Trust,FIRST QUARTER REPORT,"$60,000.00 ",4/20/2011,2011
TX,Arnold & Porter Kaye Scholer LLP,Texas Medical Liability Trust,FIRST QUARTER REPORT,"$20,000.00 ",4/20/2015,2015
TX,Arnold & Porter Kaye Scholer LLP,Texas Medical Liability Trust,FIRST QUARTER REPORT,"$50,000.00 ",4/21/2014,2014
TX,Arnold & Porter Kaye Scholer LLP,Texas Tech University System,FIRST QUARTER REPORT,"$50,000.00 ",4/19/2012,2012
TX,Arnold & Porter Kaye Scholer LLP,Texas Tech University System,FIRST QUARTER REPORT,"$50,000.00 ",4/19/2013,2013
TX,Arnold & Porter Kaye Scholer LLP,Texas Tech University System,FIRST QUARTER REPORT,"$20,000.00 ",4/20/2011,2011
TX,Arnold & Porter Kaye Scholer LLP,Texas Tech University System,FIRST QUARTER REPORT,"$20,000.00 ",4/20/2015,2015
TX,Arnold & Porter Kaye Scholer LLP,Texas Tech University System,FIRST QUARTER REPORT,"$20,000.00 ",4/21/2014,2014
TX,"AUSTIN COPELIN & REYES, LLC",U S /MEXICO BORDER COUNTIES COALITION,FIRST QUARTER REPORT,"$20,000.00 ",4/7/2008,2008
TX,"AUSTIN COPELIN & REYES, LLC",U S /MEXICO BORDER COUNTIES COALITION,FIRST QUARTER REPORT,"$20,000.00 ",4/19/2010,2010
TX,"AUSTIN COPELIN & REYES, LLC",U S /MEXICO BORDER COUNTIES COALITION,FIRST QUARTER REPORT,"$20,000.00 ",4/20/2009,2009
TX,"AUSTIN COPELIN & REYES, LLC",U S /MEXICO BORDER COUNTIES COALITION,FIRST QUARTER REPORT,"$20,000.00 ",4/25/2011,2011
