State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
UT,"1-800 Contacts, Inc.","1-800 Contacts, Inc.",FOURTH QUARTER REPORT,"$650,000.00 ",1/19/2017,2016
UT,"1-800 Contacts, Inc.","1-800 Contacts, Inc.",FOURTH QUARTER REPORT,"$240,000.00 ",1/21/2020,2019
UT,"1-800 Contacts, Inc.","1-800 Contacts, Inc.",FOURTH QUARTER REPORT,"$420,000.00 ",1/22/2018,2017
UT,"1-800 Contacts, Inc.","1-800 Contacts, Inc.",FOURTH QUARTER REPORT,"$290,000.00 ",1/22/2019,2018
UT,"1-800 Contacts, Inc.","1-800 Contacts, Inc.",FIRST QUARTER REPORT,"$340,000.00 ",4/17/2018,2018
UT,"1-800 Contacts, Inc.","1-800 Contacts, Inc.",FIRST QUARTER REPORT,"$510,000.00 ",4/20/2017,2017
UT,"1-800 Contacts, Inc.","1-800 Contacts, Inc.",FIRST QUARTER REPORT,"$180,000.00 ",4/22/2019,2019
UT,"1-800 Contacts, Inc.","1-800 Contacts, Inc.",REGISTRATION,,4/29/2016,2016
UT,"1-800 Contacts, Inc.","1-800 Contacts, Inc.",FIRST QUARTER AMENDMENT,"$210,000.00 ",5/20/2016,2016
UT,"1-800 Contacts, Inc.","1-800 Contacts, Inc.",FIRST QUARTER AMENDMENT,"$320,000.00 ",6/28/2016,2016
UT,"1-800 Contacts, Inc.","1-800 Contacts, Inc.",SECOND QUARTER REPORT,"$490,000.00 ",7/19/2016,2016
UT,"1-800 Contacts, Inc.","1-800 Contacts, Inc.",SECOND QUARTER REPORT,"$500,000.00 ",7/20/2017,2017
UT,"1-800 Contacts, Inc.","1-800 Contacts, Inc.",SECOND QUARTER REPORT,"$290,000.00 ",7/20/2018,2018
UT,"1-800 Contacts, Inc.","1-800 Contacts, Inc.",SECOND QUARTER REPORT,"$190,000.00 ",7/22/2019,2019
UT,"1-800 Contacts, Inc.","1-800 Contacts, Inc.",THIRD QUARTER REPORT,"$300,000.00 ",10/18/2018,2018
UT,"1-800 Contacts, Inc.","1-800 Contacts, Inc.",THIRD QUARTER REPORT,"$430,000.00 ",10/20/2016,2016
