State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
VA,60 Plus Association,60 PLUS ASSOCIATION,FIRST QUARTER REPORT,"$100,000.00 ",1/21/2009,2008
VA,60 Plus Association,60 PLUS ASSOCIATION,FIRST QUARTER REPORT,,4/12/2019,2019
VA,60 Plus Association,60 PLUS ASSOCIATION,FIRST QUARTER REPORT,"$27,000.00 ",4/16/2010,2010
VA,60 Plus Association,60 PLUS ASSOCIATION,FIRST QUARTER REPORT,"$33,000.00 ",4/19/2012,2012
VA,60 Plus Association,60 PLUS ASSOCIATION,FIRST QUARTER REPORT,"$34,000.00 ",4/19/2013,2013
VA,60 Plus Association,60 PLUS ASSOCIATION,FIRST QUARTER REPORT,"$37,000.00 ",4/19/2016,2016
VA,60 Plus Association,60 PLUS ASSOCIATION,FIRST QUARTER REPORT,"$49,118.00 ",4/20/2015,2015
VA,60 Plus Association,60 PLUS ASSOCIATION,FIRST QUARTER REPORT,,4/20/2017,2017
VA,60 Plus Association,60 PLUS ASSOCIATION,FIRST QUARTER REPORT,,4/20/2018,2018
VA,60 Plus Association,60 PLUS ASSOCIATION,FIRST QUARTER REPORT,"$26,500.00 ",4/21/2014,2014
VA,60 Plus Association,60 PLUS ASSOCIATION,FIRST QUARTER REPORT,"$27,000.00 ",4/26/2011,2011
VA,60 Plus Association,60 PLUS ASSOCIATION,FIRST QUARTER REPORT,"$100,000.00 ",6/26/2009,2009
VA,60 Plus Association,60 PLUS ASSOCIATION,FIRST QUARTER REPORT,"$100,000.00 ",12/17/2008,2008
VA,ACADEMY OF CLINICAL RESEARCH PROFESSIONALS,ACADEMY OF CLINICAL RESEARCH PROFESSIONALS,FIRST QUARTER REPORT,"$20,000.00 ",4/17/2008,2008
VA,ACADEMY OF MANAGED CARE PHARMACY,ACADEMY OF MANAGED CARE PHARMACY,FIRST QUARTER REPORT,"$190,000.00 ",4/13/2012,2012
VA,ACADEMY OF MANAGED CARE PHARMACY,ACADEMY OF MANAGED CARE PHARMACY,FIRST QUARTER REPORT,"$46,688.00 ",4/14/2008,2008
VA,ACADEMY OF MANAGED CARE PHARMACY,ACADEMY OF MANAGED CARE PHARMACY,FIRST QUARTER REPORT,"$178,000.00 ",4/19/2011,2011
VA,ACADEMY OF MANAGED CARE PHARMACY,ACADEMY OF MANAGED CARE PHARMACY,FIRST QUARTER REPORT,"$170,000.00 ",4/20/2010,2010
VA,ACADEMY OF MANAGED CARE PHARMACY,ACADEMY OF MANAGED CARE PHARMACY,FIRST QUARTER REPORT,"$135,478.00 ",4/22/2009,2009
VA,ACADEMY OF MANAGED CARE PHARMACY,ACADEMY OF MANAGED CARE PHARMACY,FIRST QUARTER AMENDMENT,"$79,000.00 ",8/6/2009,2008
VA,ACADEMY OF MANAGED CARE PHARMACY,ACADEMY OF MANAGED CARE PHARMACY,FIRST QUARTER AMENDMENT,"$66,000.00 ",8/6/2009,2009
VA,ACADEMY OF PHARMACEUTICAL PHYSICIANS & INVESTIGATORS (APPI),ACADEMY OF PHARMACEUTICAL PHYSICIANS & INVESTIGATORS (APPI),FIRST QUARTER REPORT,,4/17/2008,2008
VA,ACCENTURE FEDERAL SERVICES LLC,ACCENTURE FEDERAL SERVICES LLC,FIRST QUARTER REPORT,"$170,000.00 ",4/22/2019,2019
VA,AIR CONDITIONING CONTRACTORS OF AMERICA,AIR CONDITIONING CONTRACTORS OF AMERICA,FIRST QUARTER REPORT,"$25,000.00 ",4/19/2010,2010
VA,AIR CONDITIONING CONTRACTORS OF AMERICA,AIR CONDITIONING CONTRACTORS OF AMERICA,FIRST QUARTER REPORT,"$25,000.00 ",4/19/2012,2012
VA,AIR CONDITIONING CONTRACTORS OF AMERICA,AIR CONDITIONING CONTRACTORS OF AMERICA,FIRST QUARTER REPORT,"$25,000.00 ",4/20/2011,2011
VA,AIR CONDITIONING CONTRACTORS OF AMERICA,AIR CONDITIONING CONTRACTORS OF AMERICA,FIRST QUARTER REPORT,"$25,000.00 ",4/23/2013,2013
VA,AIR CONDITIONING CONTRACTORS OF AMERICA,AIR CONDITIONING CONTRACTORS OF AMERICA,FIRST QUARTER REPORT,,10/31/2017,2017
VA,"ALFRED W. CORS, JR",RETIRESAFE,FIRST QUARTER REPORT,,4/14/2016,2016
VA,"ALFRED W. CORS, JR",RETIRESAFE,FIRST QUARTER REPORT,"$7,040.00 ",4/15/2013,2013
VA,"ALFRED W. CORS, JR",RETIRESAFE,FIRST QUARTER REPORT,"$12,238.00 ",4/17/2012,2012
VA,"ALFRED W. CORS, JR",RETIRESAFE,FIRST QUARTER REPORT,"$6,600.00 ",4/17/2014,2014
VA,"ALFRED W. CORS, JR",RETIRESAFE,FIRST QUARTER REPORT,"$25,403.00 ",4/18/2010,2010
VA,"ALFRED W. CORS, JR",RETIRESAFE,FIRST QUARTER REPORT,"$12,925.00 ",4/18/2011,2011
VA,"ALFRED W. CORS, JR",RETIRESAFE,FIRST QUARTER REPORT,"$13,150.00 ",4/20/2009,2009
VA,"ALFRED W. CORS, JR",RETIRESAFE,FIRST QUARTER AMENDMENT,"$12,701.00 ",4/26/2010,2010
VA,ALLIANCE FOR QUALITY IMPROVEMENT AND PATIENT SAFETY,ALLIANCE FOR QUALITY IMPROVEMENT AND PATIENT SAFETY,FIRST QUARTER REPORT,,5/8/2018,2018
VA,ALSTON & BIRD LLP,AMERICAN COLLEGE OF GASTROENTEROLOGY,FIRST QUARTER REPORT,"$50,000.00 ",4/20/2018,2018
VA,ALSTON & BIRD LLP,AMERICAN COLLEGE OF GASTROENTEROLOGY,FIRST QUARTER REPORT,"$50,000.00 ",4/22/2019,2019
VA,ALSTON & BIRD LLP,Celgene Corporation,FIRST QUARTER REPORT,"$90,000.00 ",4/20/2009,2009
VA,ALSTON & BIRD LLP,Celgene Corporation,FIRST QUARTER REPORT,"$80,000.00 ",4/20/2010,2010
VA,ALSTON & BIRD LLP,Celgene Corporation,FIRST QUARTER REPORT,"$60,000.00 ",4/20/2011,2011
VA,ALSTON & BIRD LLP,Celgene Corporation,FIRST QUARTER REPORT,"$80,000.00 ",4/20/2012,2012
VA,ALSTON & BIRD LLP,Celgene Corporation,FIRST QUARTER REPORT,"$30,000.00 ",4/20/2015,2015
VA,ALSTON & BIRD LLP,Celgene Corporation,FIRST QUARTER REPORT,"$70,000.00 ",4/21/2014,2014
VA,ALSTON & BIRD LLP,Celgene Corporation,FIRST QUARTER REPORT,"$120,000.00 ",4/22/2013,2013
VA,ALSTON & BIRD LLP,Convenience Distribution Association,FIRST QUARTER REPORT,"$40,000.00 ",4/19/2018,2018
VA,ALSTON & BIRD LLP,Convenience Distribution Association,FIRST QUARTER TERMINATION,"$10,000.00 ",4/22/2019,2019
VA,ALSTON & BIRD LLP,National Association of Children's Hospitals,FIRST QUARTER REPORT,"$80,000.00 ",4/19/2015,2015
VA,ALSTON & BIRD LLP,National Association of Children's Hospitals,FIRST QUARTER REPORT,"$30,000.00 ",4/20/2012,2012
VA,ALSTON & BIRD LLP,National Association of Children's Hospitals,FIRST QUARTER REPORT,"$80,000.00 ",4/21/2014,2014
VA,ALSTON & BIRD LLP,National Association of Children's Hospitals,FIRST QUARTER REPORT,"$80,000.00 ",4/22/2013,2013
VA,ALSTON & BIRD LLP,NATIONAL ELECTRICAL MANUFACTURERS ASSOCIATION,FIRST QUARTER REPORT,"$120,000.00 ",4/20/2012,2012
VA,ALSTON & BIRD LLP,Society of Interventional Radiology,FIRST QUARTER REPORT,"$30,000.00 ",4/20/2010,2010
VA,ALSTON & BIRD LLP,Society of Interventional Radiology,FIRST QUARTER REPORT,"$10,000.00 ",4/20/2011,2011
VA,ALSTON & BIRD LLP,Society of Interventional Radiology,FIRST QUARTER REPORT,"$10,000.00 ",4/20/2012,2012
VA,Ambulatory Surgery Center Association,AMBULATORY SURGERY CENTER ASSOCIATION,FIRST QUARTER REPORT,"$215,465.00 ",4/20/2012,2012
VA,Ambulatory Surgery Center Association,AMBULATORY SURGERY CENTER ASSOCIATION,FIRST QUARTER REPORT,"$134,323.00 ",4/21/2014,2014
VA,Ambulatory Surgery Center Association,AMBULATORY SURGERY CENTER ASSOCIATION,FIRST QUARTER REPORT,"$215,821.00 ",7/31/2013,2013
VA,AMERICAN ACADEMY OF AUDIOLOGY,AMERICAN ACADEMY OF AUDIOLOGY,FIRST QUARTER REPORT,"$30,000.00 ",4/1/2016,2016
VA,AMERICAN ACADEMY OF AUDIOLOGY,AMERICAN ACADEMY OF AUDIOLOGY,FIRST QUARTER REPORT,"$130,000.00 ",4/9/2010,2010
VA,AMERICAN ACADEMY OF AUDIOLOGY,AMERICAN ACADEMY OF AUDIOLOGY,FIRST QUARTER REPORT,"$30,000.00 ",4/12/2018,2018
VA,AMERICAN ACADEMY OF AUDIOLOGY,AMERICAN ACADEMY OF AUDIOLOGY,FIRST QUARTER REPORT,"$110,000.00 ",4/16/2014,2014
VA,AMERICAN ACADEMY OF AUDIOLOGY,AMERICAN ACADEMY OF AUDIOLOGY,FIRST QUARTER REPORT,"$85,000.00 ",4/16/2015,2015
VA,AMERICAN ACADEMY OF AUDIOLOGY,AMERICAN ACADEMY OF AUDIOLOGY,FIRST QUARTER REPORT,"$131,000.00 ",4/17/2009,2009
VA,AMERICAN ACADEMY OF AUDIOLOGY,AMERICAN ACADEMY OF AUDIOLOGY,FIRST QUARTER REPORT,"$130,000.00 ",4/18/2008,2008
VA,AMERICAN ACADEMY OF AUDIOLOGY,AMERICAN ACADEMY OF AUDIOLOGY,FIRST QUARTER REPORT,"$160,000.00 ",4/19/2012,2012
VA,AMERICAN ACADEMY OF AUDIOLOGY,AMERICAN ACADEMY OF AUDIOLOGY,FIRST QUARTER REPORT,"$130,000.00 ",4/19/2013,2013
VA,AMERICAN ACADEMY OF AUDIOLOGY,AMERICAN ACADEMY OF AUDIOLOGY,FIRST QUARTER REPORT,"$125,000.00 ",4/20/2011,2011
VA,AMERICAN ACADEMY OF AUDIOLOGY,AMERICAN ACADEMY OF AUDIOLOGY,FIRST QUARTER REPORT,"$31,000.00 ",4/20/2017,2017
