State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
VT,AMERICAN CONTACT GROUP,TOWN OF NEW HAVEN VERMONT,REGISTRATION,,8/14/2002,2002
VT,COMMONWEALTH GROUP,MOBILE MEDICAL INTL CORP,REGISTRATION,,1/27/2003,2003
VT,COUNCIL ON ADMINISTRATIVE RIGHTS,COUNCIL ON ADMINISTRATIVE RIGHTS,REGISTRATION,,2/13/2001,2001
VT,COUNCIL ON ADMINISTRATIVE RIGHTS,COUNCIL ON ADMINISTRATIVE RIGHTS,MID-YEAR REPORT,,8/17/2001,2001
VT,Fabiani & Company,TRIOSYN CORP,YEAR-END TERMINATION,"$60,000.00 ",2/13/2007,2006
VT,Fabiani & Company,TRIOSYN CORP,REGISTRATION,,3/17/2006,2005
VT,Fabiani & Company,TRIOSYN CORP,YEAR-END AMENDMENT,"$10,000.00 ",11/15/2006,2005
VT,Fabiani & Company,TRIOSYN CORP,YEAR-END REPORT,"$10,000.00 ",11/15/2006,2005
VT,Hague Associates,TrioMed Innovations,REGISTRATION,,7/28/2011,2011
VT,Hague Associates,Triosyn Corp.,REGISTRATION,,5/9/2008,2008
VT,Ridge Policy Group,National Association of State Head Injury Administrators,FOURTH QUARTER REPORT,"$30,000.00 ",1/18/2012,2011
VT,Ridge Policy Group,National Association of State Head Injury Administrators,FOURTH QUARTER REPORT,"$10,000.00 ",1/19/2016,2015
VT,Ridge Policy Group,National Association of State Head Injury Administrators,FOURTH QUARTER REPORT,"$10,000.00 ",1/20/2015,2014
VT,Ridge Policy Group,National Association of State Head Injury Administrators,FOURTH QUARTER REPORT,"$10,000.00 ",1/20/2020,2019
VT,Ridge Policy Group,National Association of State Head Injury Administrators,FOURTH QUARTER REPORT,"$10,000.00 ",1/21/2014,2013
VT,Ridge Policy Group,National Association of State Head Injury Administrators,FOURTH QUARTER REPORT,"$10,000.00 ",1/21/2018,2017
VT,Ridge Policy Group,National Association of State Head Injury Administrators,FOURTH QUARTER REPORT,"$10,000.00 ",1/21/2019,2018
VT,Ridge Policy Group,National Association of State Head Injury Administrators,FOURTH QUARTER REPORT,"$10,000.00 ",1/22/2013,2012
VT,Ridge Policy Group,National Association of State Head Injury Administrators,FOURTH QUARTER REPORT,"$10,000.00 ",1/22/2017,2016
VT,Ridge Policy Group,National Association of State Head Injury Administrators,REGISTRATION,,1/30/2011,2011
VT,Ridge Policy Group,National Association of State Head Injury Administrators,FIRST QUARTER REPORT,"$10,000.00 ",4/14/2017,2017
VT,Ridge Policy Group,National Association of State Head Injury Administrators,FIRST QUARTER REPORT,,4/19/2011,2011
VT,Ridge Policy Group,National Association of State Head Injury Administrators,FIRST QUARTER REPORT,"$10,000.00 ",4/19/2016,2016
VT,Ridge Policy Group,National Association of State Head Injury Administrators,FIRST QUARTER REPORT,"$10,000.00 ",4/20/2012,2012
VT,Ridge Policy Group,National Association of State Head Injury Administrators,FIRST QUARTER REPORT,"$10,000.00 ",4/20/2015,2015
VT,Ridge Policy Group,National Association of State Head Injury Administrators,FIRST QUARTER REPORT,"$10,000.00 ",4/20/2018,2018
VT,Ridge Policy Group,National Association of State Head Injury Administrators,FIRST QUARTER REPORT,"$10,000.00 ",4/21/2014,2014
VT,Ridge Policy Group,National Association of State Head Injury Administrators,FIRST QUARTER REPORT,"$10,000.00 ",4/21/2019,2019
VT,Ridge Policy Group,National Association of State Head Injury Administrators,FIRST QUARTER REPORT,"$10,000.00 ",4/22/2013,2013
VT,Ridge Policy Group,National Association of State Head Injury Administrators,FOURTH QUARTER AMENDMENT,"$10,000.00 ",5/9/2012,2011
VT,Ridge Policy Group,National Association of State Head Injury Administrators,SECOND QUARTER REPORT,"$10,000.00 ",7/11/2018,2018
VT,Ridge Policy Group,National Association of State Head Injury Administrators,SECOND QUARTER REPORT,,7/19/2011,2011
VT,Ridge Policy Group,National Association of State Head Injury Administrators,SECOND QUARTER REPORT,"$10,000.00 ",7/19/2012,2012
VT,Ridge Policy Group,National Association of State Head Injury Administrators,SECOND QUARTER REPORT,"$10,000.00 ",7/19/2016,2016
VT,Ridge Policy Group,National Association of State Head Injury Administrators,SECOND QUARTER REPORT,"$10,000.00 ",7/19/2017,2017
VT,Ridge Policy Group,National Association of State Head Injury Administrators,SECOND QUARTER REPORT,"$10,000.00 ",7/20/2015,2015
VT,Ridge Policy Group,National Association of State Head Injury Administrators,SECOND QUARTER REPORT,"$10,000.00 ",7/21/2014,2014
VT,Ridge Policy Group,National Association of State Head Injury Administrators,SECOND QUARTER REPORT,"$10,000.00 ",7/21/2019,2019
VT,Ridge Policy Group,National Association of State Head Injury Administrators,SECOND QUARTER REPORT,"$10,000.00 ",7/22/2013,2013
VT,Ridge Policy Group,National Association of State Head Injury Administrators,THIRD QUARTER REPORT,"$10,000.00 ",10/18/2011,2011
VT,Ridge Policy Group,National Association of State Head Injury Administrators,THIRD QUARTER REPORT,"$10,000.00 ",10/18/2019,2019
VT,Ridge Policy Group,National Association of State Head Injury Administrators,THIRD QUARTER REPORT,"$10,000.00 ",10/20/2014,2014
VT,Ridge Policy Group,National Association of State Head Injury Administrators,THIRD QUARTER REPORT,"$10,000.00 ",10/20/2015,2015
VT,Ridge Policy Group,National Association of State Head Injury Administrators,THIRD QUARTER REPORT,"$10,000.00 ",10/20/2016,2016
VT,Ridge Policy Group,National Association of State Head Injury Administrators,THIRD QUARTER REPORT,"$10,000.00 ",10/20/2017,2017
VT,Ridge Policy Group,National Association of State Head Injury Administrators,THIRD QUARTER REPORT,"$10,000.00 ",10/21/2012,2012
VT,Ridge Policy Group,National Association of State Head Injury Administrators,THIRD QUARTER REPORT,"$10,000.00 ",10/21/2013,2013
VT,Ridge Policy Group,National Association of State Head Injury Administrators,THIRD QUARTER REPORT,"$10,000.00 ",10/22/2018,2018
VT,THE PMA GROUP,TRIOSYN CORP,MID-YEAR REPORT,"$40,000.00 ",8/19/2002,2002
VT,The Raben Group,Seventh Generation,FOURTH QUARTER TERMINATION,,1/18/2018,2017
VT,The Raben Group,Seventh Generation,FOURTH QUARTER REPORT,,1/21/2016,2015
VT,The Raben Group,Seventh Generation,FOURTH QUARTER REPORT,"$30,000.00 ",1/23/2017,2016
VT,The Raben Group,Seventh Generation,FIRST QUARTER AMENDMENT,,2/1/2017,2016
VT,The Raben Group,Seventh Generation,FOURTH QUARTER AMENDMENT,,2/1/2017,2015
VT,The Raben Group,Seventh Generation,SECOND QUARTER AMENDMENT,,2/1/2017,2016
VT,The Raben Group,Seventh Generation,FIRST QUARTER REPORT,"$30,000.00 ",4/20/2017,2017
VT,The Raben Group,Seventh Generation,REGISTRATION,,7/20/2015,2015
VT,The Raben Group,Seventh Generation,SECOND QUARTER REPORT,,7/20/2015,2015
VT,The Raben Group,Seventh Generation,SECOND QUARTER REPORT,"$30,000.00 ",7/20/2017,2017
VT,The Raben Group,Seventh Generation,THIRD QUARTER REPORT,,10/20/2015,2015
VT,The Raben Group,Seventh Generation,THIRD QUARTER REPORT,,10/20/2017,2017
VT,The Raben Group,Seventh Generation,THIRD QUARTER AMENDMENT,,10/21/2016,2016
