State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
WA,Alcalde & Fay,"City of Kenmore, Washington",SECOND QUARTER REPORT,"$20,000.00 ",7/17/2014,2014
WA,Alcalde & Fay,"City of Kenmore, Washington",THIRD QUARTER REPORT,"$20,000.00 ",10/20/2014,2014
WA,ALSTON & BIRD LLP,WASHINGTON2 ADVOCATES,MID-YEAR AMENDMENT (NO ACTIVITY),,1/3/2005,2004
WA,ALSTON & BIRD LLP,WASHINGTON2 ADVOCATES,YEAR-END REPORT,"$20,000.00 ",2/17/2005,2004
WA,ALSTON & BIRD LLP,WASHINGTON2 ADVOCATES,REGISTRATION,,6/7/2004,2004
WA,ALSTON & BIRD LLP,WASHINGTON2 ADVOCATES,MID-YEAR (NO ACTIVITY),,8/25/2004,2004
WA,"American Cancer Society, Great West Division, Inc.",AMERICAN CANCER SOCIETY GREAT WEST DIVISION INC,YEAR-END REPORT,,2/14/2008,2007
WA,"American Cancer Society, Great West Division, Inc.",AMERICAN CANCER SOCIETY GREAT WEST DIVISION INC,REGISTRATION,,2/26/2007,2006
WA,"American Cancer Society, Great West Division, Inc.",AMERICAN CANCER SOCIETY GREAT WEST DIVISION INC,YEAR-END REPORT,"$117,841.00 ",2/26/2007,2006
WA,"American Cancer Society, Great West Division, Inc.",AMERICAN CANCER SOCIETY GREAT WEST DIVISION INC,FIRST QUARTER REPORT,,4/21/2008,2008
WA,"American Cancer Society, Great West Division, Inc.",AMERICAN CANCER SOCIETY GREAT WEST DIVISION INC,FIRST QUARTER AMENDMENT,,8/1/2008,2008
WA,"American Cancer Society, Great West Division, Inc.",AMERICAN CANCER SOCIETY GREAT WEST DIVISION INC,MID-YEAR REPORT,,8/14/2007,2007
WA,American Capitol Group,EPI PHARMACEUTICALS,YEAR-END REPORT,"$40,000.00 ",1/29/2004,2003
WA,American Capitol Group,EPI PHARMACEUTICALS,YEAR-END REPORT,"$60,000.00 ",2/11/2005,2004
WA,American Capitol Group,EPI PHARMACEUTICALS,MID-YEAR REPORT,"$60,000.00 ",7/9/2004,2004
WA,American Capitol Group,EPI PHARMACEUTICALS,MID-YEAR TERMINATION,,7/29/2005,2005
WA,American Capitol Group,EPI PHARMACEUTICALS,REGISTRATION,,10/29/2003,2003
WA,American Continental Group,"Juno Therapeutics, Inc.",FOURTH QUARTER REPORT,"$50,000.00 ",1/10/2018,2017
WA,American Continental Group,"Juno Therapeutics, Inc.",FOURTH QUARTER REPORT,"$50,000.00 ",1/23/2017,2016
WA,American Continental Group,"Juno Therapeutics, Inc.",FOURTH QUARTER AMENDMENT,"$50,000.00 ",2/2/2017,2016
WA,American Continental Group,"Juno Therapeutics, Inc.",FIRST QUARTER REPORT,"$50,000.00 ",4/11/2018,2018
WA,American Continental Group,"Juno Therapeutics, Inc.",FIRST QUARTER REPORT,"$50,000.00 ",4/20/2017,2017
WA,American Continental Group,"Juno Therapeutics, Inc.",SECOND QUARTER TERMINATION,"$20,000.00 ",5/10/2018,2018
WA,American Continental Group,"Juno Therapeutics, Inc.",SECOND QUARTER REPORT,"$50,000.00 ",7/20/2017,2017
WA,American Continental Group,"Juno Therapeutics, Inc.",THIRD QUARTER REPORT,"$50,000.00 ",10/11/2017,2017
WA,American Continental Group,"Juno Therapeutics, Inc.",REGISTRATION,,10/14/2016,2016
WA,American Continental Group,"Juno Therapeutics, Inc.",THIRD QUARTER REPORT,"$50,000.00 ",10/17/2016,2016
WA,APCO Worldwide LLC,Kennewick General Hospital,FOURTH QUARTER REPORT,"$10,000.00 ",1/18/2011,2010
WA,APCO Worldwide LLC,Kennewick General Hospital,FOURTH QUARTER REPORT,"$10,000.00 ",1/19/2010,2009
