State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
WV,ALSTON & BIRD LLP,MYLAN LABORATORIES,FOURTH QUARTER REPORT,"$50,000.00 ",1/20/2011,2010
WV,ALSTON & BIRD LLP,MYLAN LABORATORIES,YEAR-END AMENDMENT,"$40,000.00 ",2/14/2006,2005
WV,ALSTON & BIRD LLP,MYLAN LABORATORIES,YEAR-END REPORT,"$40,000.00 ",2/14/2006,2005
WV,ALSTON & BIRD LLP,MYLAN LABORATORIES,YEAR-END REPORT,"$40,000.00 ",2/18/2005,2004
WV,ALSTON & BIRD LLP,MYLAN LABORATORIES,FIRST QUARTER REPORT,"$50,000.00 ",4/20/2010,2010
WV,ALSTON & BIRD LLP,MYLAN LABORATORIES,FIRST QUARTER REPORT,"$50,000.00 ",4/20/2011,2011
WV,ALSTON & BIRD LLP,MYLAN LABORATORIES,SECOND QUARTER REPORT,"$50,000.00 ",7/20/2010,2010
WV,ALSTON & BIRD LLP,MYLAN LABORATORIES,MID-YEAR REPORT,"$10,000.00 ",8/7/2006,2006
WV,ALSTON & BIRD LLP,MYLAN LABORATORIES,MID-YEAR REPORT,"$60,000.00 ",8/12/2005,2005
WV,ALSTON & BIRD LLP,MYLAN LABORATORIES,REGISTRATION,,9/16/2004,2004
WV,ALSTON & BIRD LLP,MYLAN LABORATORIES,THIRD QUARTER REPORT,"$50,000.00 ",10/20/2010,2010
WV,"American Freedom Innovations, LLC",Patriot Coal Corporation,FOURTH QUARTER REPORT,"$570,000.00 ",1/19/2012,2011
WV,"American Freedom Innovations, LLC",Patriot Coal Corporation,FOURTH QUARTER REPORT,"$400,000.00 ",1/20/2010,2009
WV,"American Freedom Innovations, LLC",Patriot Coal Corporation,FOURTH QUARTER REPORT,"$570,000.00 ",1/20/2011,2010
WV,"American Freedom Innovations, LLC",Patriot Coal Corporation,FIRST QUARTER REPORT,"$600,000.00 ",4/16/2010,2010
WV,"American Freedom Innovations, LLC",Patriot Coal Corporation,FIRST QUARTER REPORT,"$570,000.00 ",4/19/2012,2012
WV,"American Freedom Innovations, LLC",Patriot Coal Corporation,SECOND QUARTER REPORT,"$570,000.00 ",7/18/2011,2011
WV,"American Freedom Innovations, LLC",Patriot Coal Corporation,SECOND QUARTER REPORT,"$600,000.00 ",7/19/2010,2010
