State,Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
WY,Howell Consulting Corporation,NORTHERN ARAPAHO INDIAN TRIBE,FOURTH QUARTER REPORT,"$60,000.00 ",1/21/2009,2008
WY,Howell Consulting Corporation,NORTHERN ARAPAHO INDIAN TRIBE,FIRST QUARTER REPORT,"$50,000.00 ",4/9/2008,2008
WY,Howell Consulting Corporation,NORTHERN ARAPAHO INDIAN TRIBE,FIRST QUARTER REPORT,"$60,000.00 ",4/20/2009,2009
WY,Howell Consulting Corporation,NORTHERN ARAPAHO INDIAN TRIBE,SECOND QUARTER REPORT,"$60,000.00 ",7/15/2008,2008
WY,Howell Consulting Corporation,NORTHERN ARAPAHO INDIAN TRIBE,SECOND QUARTER REPORT,"$60,000.00 ",7/21/2009,2009
WY,Howell Consulting Corporation,NORTHERN ARAPAHO INDIAN TRIBE,FIRST QUARTER AMENDMENT,"$50,000.00 ",7/24/2008,2008
WY,Howell Consulting Corporation,NORTHERN ARAPAHO INDIAN TRIBE,THIRD QUARTER REPORT,"$60,000.00 ",10/14/2008,2008
WY,Howell Consulting Corporation,NORTHERN ARAPAHO INDIAN TRIBE,THIRD QUARTER REPORT,"$60,000.00 ",10/20/2009,2009
WY,JLF,NORTHERN ARAPAHO TRIBE,REGISTRATION,,2/16/2006,2006
WY,JLF,NORTHERN ARAPAHO TRIBE,REGISTRATION AMENDMENT,,2/27/2007,2007
WY,JLF,NORTHERN ARAPAHO TRIBE,MID-YEAR REPORT,"$130,000.00 ",8/15/2006,2006
WY,Keller McIntyre & Associates,Memorial Hospital of Sweetwater County,REGISTRATION,,1/20/2016,2015
WY,Keller McIntyre & Associates,Memorial Hospital of Sweetwater County,FOURTH QUARTER REPORT,"$20,000.00 ",1/23/2017,2016
WY,Keller McIntyre & Associates,Memorial Hospital of Sweetwater County,FIRST QUARTER REPORT,"$20,000.00 ",4/15/2017,2017
WY,Keller McIntyre & Associates,Memorial Hospital of Sweetwater County,FIRST QUARTER REPORT,"$20,000.00 ",4/20/2016,2016
WY,Keller McIntyre & Associates,Memorial Hospital of Sweetwater County,SECOND QUARTER REPORT,"$20,000.00 ",7/20/2016,2016
WY,Keller McIntyre & Associates,Memorial Hospital of Sweetwater County,FOURTH QUARTER REPORT,"$20,000.00 ",8/16/2016,2015
WY,Keller McIntyre & Associates,Memorial Hospital of Sweetwater County,THIRD QUARTER REPORT,"$20,000.00 ",10/19/2016,2016
WY,McDermott Will & Emery LLP,UNION TELEPHONE COMPANY,MID-YEAR REPORT,,8/21/2002,2002
WY,Potomac Group,United Energy Workers Health Care,FOURTH QUARTER REPORT,"$15,000.00 ",1/26/2019,2018
WY,Potomac Group,United Energy Workers Health Care,FOURTH QUARTER REPORT,"$15,000.00 ",2/5/2018,2017
WY,Potomac Group,United Energy Workers Health Care,FOURTH QUARTER REPORT,"$15,000.00 ",2/23/2020,2019
WY,Potomac Group,United Energy Workers Health Care,REGISTRATION,,3/6/2017,2017
WY,Potomac Group,United Energy Workers Health Care,FIRST QUARTER REPORT,"$15,000.00 ",5/25/2018,2018
WY,Potomac Group,United Energy Workers Health Care,FIRST QUARTER REPORT,"$15,000.00 ",5/28/2019,2019
WY,Potomac Group,United Energy Workers Health Care,SECOND QUARTER REPORT,"$15,000.00 ",8/13/2019,2019
WY,Potomac Group,United Energy Workers Health Care,SECOND QUARTER REPORT,"$15,000.00 ",8/14/2017,2017
WY,Potomac Group,United Energy Workers Health Care,SECOND QUARTER REPORT,"$15,000.00 ",8/14/2018,2018
WY,Potomac Group,United Energy Workers Health Care,THIRD QUARTER REPORT,"$15,000.00 ",11/8/2018,2018
WY,Potomac Group,United Energy Workers Health Care,THIRD QUARTER REPORT,"$15,000.00 ",11/15/2017,2017
WY,Potomac Group,United Energy Workers Health Care,THIRD QUARTER REPORT,"$15,000.00 ",12/3/2019,2019
WY,"The Clark Group, LLC dba Vela Environmental",WYSTAR,REGISTRATION,,6/1/2004,2004
WY,"The Clark Group, LLC dba Vela Environmental",WYSTAR,MID-YEAR REPORT,"$20,000.00 ",8/17/2004,2004
WY,The Roman Catholic Diocese of Cheyenne,The Roman Catholic Diocese of Cheyenne,REGISTRATION,,9/19/2014,2014
WY,"WASHINGTON STRATEGIES, LLC",VOICEVIEWER TECHNOLOGIES,YEAR-END REPORT,"$20,000.00 ",2/24/2005,2004
WY,"WASHINGTON STRATEGIES, LLC",VOICEVIEWER TECHNOLOGIES,YEAR-END REPORT,,3/15/2004,2003
WY,"WASHINGTON STRATEGIES, LLC",VOICEVIEWER TECHNOLOGIES,REGISTRATION,,5/29/2003,2003
WY,"WASHINGTON STRATEGIES, LLC",VOICEVIEWER TECHNOLOGIES,MID-YEAR REPORT,,6/17/2005,2005
WY,"WASHINGTON STRATEGIES, LLC",VOICEVIEWER TECHNOLOGIES,MID-YEAR REPORT,,8/16/2004,2004
WY,"WASHINGTON STRATEGIES, LLC",VOICEVIEWER TECHNOLOGIES,MID-YEAR REPORT,,8/25/2003,2003
